Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.8253239774556557,0.5,0.9752497324295398,0.9982174688057041,0.05321100917431193,0.4264705882352941,0.05321100917431193,0.09461663947797716
Emphysema,0.8437560646217124,0.5,0.9778362468783446,0.9983576642335766,0.08531746031746032,0.5443037974683544,0.08531746031746032,0.14751286449399656
Effusion,0.8421815509720546,0.5,0.882714948269711,1.0,0.0007598784194528875,1.0,0.0007598784194528875,0.0015186028853454822
Hernia,0.7482654937200393,0.5,0.011683910096325365,0.009962028143846325,1.0,0.0017566776271339128,1.0,0.0035071942446043163
Infiltration,0.6739924572061814,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.773234618418417,0.5,0.949607563325009,1.0,0.0,0.0,0.0,0.0
Nodule,0.6893441383014447,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7632003736337314,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8471200784464198,0.5,0.9541562611487692,0.9999065333208711,0.0,0.0,0.0,0.0
Pleural_Thickening,0.7270479872106109,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.6146926789553748,0.5,0.986086336068498,0.9997739295564498,0.0,0.0,0.0,0.0
Fibrosis,0.7258623804201698,0.5,0.9857295754548698,0.9998190700199023,0.0,0.0,0.0,0.0
Edema,0.8163156899976922,0.5,0.9796646450231894,0.999544896008738,0.011086474501108648,0.3333333333333333,0.011086474501108648,0.02145922746781116
Consolidation,0.7437050977481471,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
