Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8538473698754324,-0.06525363012456753,No,0.198765,0.0693240901213171,-0.1294409098786829,No,0.863322,0.036697247706422,-0.826624752293578,No
Emphysema,0.916227,0.8760535696182365,-0.040173430381763464,No,0.184152,0.096947935368043,-0.08720406463195701,No,0.864245,0.0535714285714285,-0.8106735714285715,No
Effusion,0.888239,0.8626419550559865,-0.02559704494401349,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.5895528713710532,-0.2324671286289468,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6997434857593827,-0.016127514240617313,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.8114768504319221,-0.058105149568077885,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.7229182994227052,-0.06938870057729474,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7836668544565827,-0.0346701455434173,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.873770972383238,-0.012481027616762064,No,0.277599,0.0077369439071566,-0.26986205609284336,No,0.830119,0.0038986354775828,-0.8262203645224172,No
Pleural_Thickening,0.812256,0.7536071849492538,-0.05864881505074615,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.6406074947285822,-0.12451150527141774,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7519955975613388,-0.07433140243866121,No,0.0797738,0.0243161094224924,-0.0554576905775076,No,0.795252,0.0126582278481012,-0.7825937721518987,No
Edema,0.908537,0.8329600841508471,-0.07557691584915294,No,0.132596,0.0372670807453416,-0.09532891925465839,No,0.908511,0.0199556541019955,-0.8885553458980044,No
Consolidation,0.812462,0.7575228614683858,-0.05493913853161425,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
