Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.844514093569679,-0.07458690643032095,No,0.198765,0.0963455149501661,-0.10241948504983389,No,0.863322,0.0532110091743119,-0.8101109908256882,No
Emphysema,0.916227,0.8629698271492294,-0.053257172850770584,No,0.184152,0.1912751677852349,0.007123167785234891,Yes,0.864245,0.1130952380952381,-0.7511497619047619,No
Effusion,0.888239,0.840557239823035,-0.047681760176965016,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.7444362353453262,-0.07758376465467376,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6747604029342046,-0.04111059706579545,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7702138663847309,-0.09936813361526908,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.6874473082040996,-0.10485969179590038,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7661418264821175,-0.0521951735178825,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8539080960181554,-0.03234390398184461,No,0.277599,0.0192678227360308,-0.2583311772639692,No,0.830119,0.0097465886939571,-0.820372411306043,No
Pleural_Thickening,0.812256,0.7165688024044276,-0.09568719759557243,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.6495383818275299,-0.11558061817247012,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7273810328124536,-0.09894596718754645,No,0.0797738,0.0298507462686567,-0.04992305373134331,No,0.795252,0.0158227848101265,-0.7794292151898734,No
Edema,0.908537,0.8375689959346398,-0.07096800406536019,No,0.132596,0.0043763676148796,-0.12821963238512038,No,0.908511,0.0022172949002217,-0.9062937050997782,No
Consolidation,0.812462,0.7553633904569659,-0.05709860954303414,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
