Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.844514093569679,0.5,0.9757402782732786,0.9987202340143516,0.05321100917431193,0.5087719298245614,0.05321100917431193,0.09634551495016612
Emphysema,0.8629698271492294,0.5,0.9785051730288976,0.9984032846715328,0.1130952380952381,0.6195652173913043,0.1130952380952381,0.1912751677852349
Effusion,0.840557239823035,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.7444362353453262,0.5,0.0017392079914377453,0.0,1.0,0.0017392079914377453,1.0,0.003472376797400169
Infiltration,0.6747604029342046,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.7702138663847309,0.5,0.949607563325009,1.0,0.0,0.0,0.0,0.0
Nodule,0.6874473082040996,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7661418264821175,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8539080960181554,0.5,0.9546022119158045,0.9999065333208711,0.009746588693957114,0.8333333333333334,0.009746588693957114,0.019267822736030827
Pleural_Thickening,0.7165688024044276,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.6495383818275299,0.5,0.9862647163753122,0.99995478591129,0.0,0.0,0.0,0.0
Fibrosis,0.7273810328124536,0.5,0.9855066000713522,0.9993667450696581,0.015822784810126583,0.2631578947368421,0.015822784810126583,0.029850746268656716
Edema,0.8375689959346398,0.5,0.979709240099893,0.999772448004369,0.0022172949002217295,0.16666666666666666,0.0022172949002217295,0.00437636761487965
Consolidation,0.7553633904569659,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
