Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.8501612077435068,0.5,0.9752497324295398,0.9984002925179396,0.045871559633027525,0.4166666666666667,0.045871559633027525,0.08264462809917356
Emphysema,0.8757290670982505,0.5,0.9773902961113093,0.9949817518248175,0.2123015873015873,0.4930875576036866,0.2123015873015873,0.29680998613037446
Effusion,0.8497840401113833,0.5,0.8825811630396004,0.9999494745351657,0.0,0.0,0.0,0.0
Hernia,0.733166669530306,0.5,0.0017838030681412772,4.467277194549922e-05,1.0,0.0017392855550104802,1.0,0.0034725313863413765
Infiltration,0.6843543603778998,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.79547951103431,0.5,0.949785943631823,0.9999530384145768,0.004424778761061947,0.8333333333333334,0.004424778761061947,0.008802816901408451
Nodule,0.7070635672931082,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7761070352252492,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8546810864071208,0.5,0.954557616839101,0.9998597999813067,0.009746588693957114,0.7692307692307693,0.009746588693957114,0.019249278152069296
Pleural_Thickening,0.750430912506369,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.6579032091546305,0.5,0.9862647163753122,0.99995478591129,0.0,0.0,0.0,0.0
Fibrosis,0.7393951985992813,0.5,0.9856849803781662,0.9997738375248779,0.0,0.0,0.0,0.0
Edema,0.8493975623984404,0.5,0.9796200499464859,0.9991353024166022,0.028824833702882482,0.40625,0.028824833702882482,0.053830227743271224
Consolidation,0.7565005526807035,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
