Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.910529932980014,0.2,0.9609793078844096,0.9742218565747978,0.42935779816513764,0.2932330827067669,0.42935779816513764,0.3484735666418466,234,564,21315,311
Emphysema,0.908930200729927,0.1,0.9735551195148056,0.985492700729927,0.45436507936507936,0.4186471663619744,0.45436507936507936,0.4357754519505233,229,318,21602,275
Effusion,0.8727395037570062,0.2,0.867374241883696,0.9020816491511722,0.6063829787234043,0.45161290322580644,0.6063829787234043,0.5176775867661368,1596,1938,17854,1036
Hernia,0.7797426161062524,0.5,0.9982607920085622,1.0,0.0,0.0,0.0,0.0,0,0,22385,39
Infiltration,0.6920952195521384,0.2,0.637665001783803,0.6387397646548452,0.632688927943761,0.27445001089087345,0.632688927943761,0.38283327003418155,2520,6662,11779,1463
Mass,0.8602039213339419,0.1,0.9187031751694613,0.9393256316333239,0.5300884955752212,0.31676361713379164,0.5300884955752212,0.3965574313141344,599,1292,20002,531
Nodule,0.7509104106016117,0.2,0.9198180520870496,0.9593023255813954,0.2610410094637224,0.27768456375838924,0.2610410094637224,0.26910569105691057,331,861,20295,937
Atelectasis,0.8031821527497524,0.15,0.8237156617909382,0.8561657414750198,0.5324733096085409,0.2920224444986582,0.5324733096085409,0.3771860721600756,1197,2902,17274,1051
Pneumothorax,0.8814956609050744,0.1,0.9227613271494827,0.9395737919431723,0.5721247563352827,0.3122340425531915,0.5721247563352827,0.4039917412250516,587,1293,20105,439
Pleural_Thickening,0.7818564391762359,0.1,0.9260613628255441,0.9440029399604943,0.3297709923664122,0.1505226480836237,0.3297709923664122,0.20669856459330144,216,1219,20550,439
Pneumonia,0.7410534647025981,0.1,0.9753389225829469,0.988199122846679,0.048859934853420196,0.05434782608695652,0.048859934853420196,0.051457975986277875,15,261,21856,292
Fibrosis,0.7950278036703593,0.15,0.9767659650374598,0.9887371087389181,0.13924050632911392,0.15017064846416384,0.13924050632911392,0.1444991789819376,44,249,21859,272
Edema,0.8887119376400568,0.1,0.9637887977167321,0.9776088836299094,0.29046563192904656,0.2102728731942215,0.29046563192904656,0.24394785847299813,131,492,21481,320
Consolidation,0.8028835879637098,0.35,0.8761148769175883,0.8933135077366293,0.46622369878183834,0.15495031284504968,0.46622369878183834,0.23259668508287293,421,2296,19225,482
