Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.8404593068381521,0.25,0.9530413842311809,0.9676859088623795,0.3651376146788991,0.2196467991169978,0.3651376146788991,0.2742935906271537,199,707,21172,346
Emphysema,0.8506402701743716,0.15,0.9681145201569746,0.9829835766423358,0.32142857142857145,0.30280373831775703,0.32142857142857145,0.31183830606352264,162,373,21547,342
Effusion,0.8380327326689977,0.15,0.8438280413842312,0.8778799514955538,0.5877659574468085,0.39026236125126135,0.5877659574468085,0.4690721649484536,1547,2417,17375,1085
Hernia,0.6566994839722112,0.95,0.26560827684623617,0.26441813714540985,0.9487179487179487,0.002242016603041871,0.9487179487179487,0.00447346149195986,37,16466,5919,2
Infiltration,0.6352910408251391,0.1,0.5110149839457724,0.46515915622797027,0.7233241275420538,0.22606716886377903,0.7233241275420538,0.3444730077120823,2881,9863,8578,1102
Mass,0.8111836937738912,0.15,0.9130841955048162,0.9395604395604396,0.41415929203539825,0.26666666666666666,0.41415929203539825,0.3244367417677643,468,1287,20007,662
Nodule,0.7001041310666206,0.15,0.8784784159828755,0.9138778597088296,0.28785488958990535,0.16689529035208048,0.28785488958990535,0.21128798842257598,365,1822,19334,903
Atelectasis,0.7542441351515913,0.15,0.789154477345701,0.8192902458366376,0.5186832740213523,0.242310889443059,0.5186832740213523,0.33031161473087817,1166,3646,16530,1082
Pneumothorax,0.8416916548831238,0.15,0.9284249018908313,0.9516309935507992,0.4444444444444444,0.3058350100603622,0.4444444444444444,0.36233611442193087,456,1035,20363,570
Pleural_Thickening,0.7210126873462122,0.25,0.9406885479843026,0.9632964307042124,0.18931297709923664,0.13434452871072589,0.18931297709923664,0.15716096324461343,124,799,20970,531
Pneumonia,0.6668698109653444,0.05,0.9259275775954334,0.936564633539811,0.15960912052117263,0.0337465564738292,0.15960912052117263,0.0557134735645253,49,1403,20714,258
Fibrosis,0.7098783474909134,0.1,0.956742775597574,0.9675683010674869,0.19936708860759494,0.08076923076923077,0.19936708860759494,0.11496350364963503,63,717,21391,253
Edema,0.8257379571764298,0.15,0.9645023189439886,0.9793837891958312,0.2394678492239468,0.1925133689839572,0.2394678492239468,0.2134387351778656,108,453,21520,343
Consolidation,0.7364558236481065,0.15,0.8706296824830538,0.8925235816179545,0.3488372093023256,0.11986301369863013,0.3488372093023256,0.1784197111299915,315,2313,19208,588
