Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.7155592204162091,-0.20354177958379083,No,0.198765,0.0750087017055342,-0.1237562982944658,No,0.863322,0.7908256880733945,-0.07249631192660555,No,0.820225,0.5259543346414556,-0.2942706653585444,No,0.819083,0.5193564605329312,-0.29972653946706884,No,0.112312,0.0393715173106787,-0.0729404826893213,No,0.865,0.7908256880733945,-0.07417431192660551,No,0.489469,0.15,-0.339469,No
Emphysema,0.916227,0.6899112302311435,-0.22631576976885648,No,0.184152,0.0743066457352171,-0.10984535426478291,No,0.864245,0.1408730158730158,-0.7233719841269842,No,0.82103,0.921111309311452,0.10008130931145198,Yes,0.819995,0.939051094890511,0.11905609489051094,Yes,0.103055,0.0504619758351101,-0.052593024164889896,No,0.866,0.1408730158730158,-0.7251269841269842,No,0.445399,0.25,-0.195399,No
Effusion,0.888239,0.7596178159392638,-0.1286211840607362,No,0.497818,0.3454106280193236,-0.1524073719806764,No,0.838296,0.4346504559270516,-0.40364554407294845,No,0.799491,0.8066357474134855,0.007144747413485586,Yes,0.794271,0.8561034761519806,0.06183247615198062,Yes,0.354027,0.2865731462925852,-0.0674538537074148,No,0.839,0.4346504559270516,-0.4043495440729484,No,0.484694,0.25,-0.234694,No
Hernia,0.82202,0.7882693882693883,-0.03375061173061167,No,0.0142476,0.0111392405063291,-0.003108359493670899,No,0.695652,0.5641025641025641,-0.13154943589743595,No,0.802127,0.8258116303960042,0.023684630396004214,Yes,0.802346,0.8262675899039535,0.023921589903953544,Yes,0.00719748,0.0056251598056762,-0.0015723201943238004,No,0.717,0.5641025641025641,-0.15289743589743587,No,0.581222,0.1,-0.48122200000000004,No
Infiltration,0.715871,0.663711098071037,-0.052159901928963026,No,0.402838,0.3321008403361344,-0.07073715966386557,No,0.665575,0.8681898066783831,0.20261480667838305,Yes,0.648673,0.3797270781305744,-0.2689459218694257,No,0.645026,0.2742259096578276,-0.3708000903421724,No,0.288003,0.2053200332502078,-0.0826829667497922,No,0.666,0.8681898066783831,0.20218980667838304,Yes,0.476786,0.25,-0.226786,No
Mass,0.869582,0.6080206024215554,-0.26156139757844454,No,0.308678,0.1231198968629136,-0.18555810313708643,No,0.757089,0.5070796460176992,-0.25000935398230084,No,0.821655,0.6360149839457724,-0.18564001605422764,No,0.825244,0.6428571428571429,-0.18238685714285707,No,0.193864,0.07006603081438,-0.12379796918562001,No,0.758,0.5070796460176992,-0.25092035398230084,No,0.585565,0.2,-0.385565,No
Nodule,0.792307,0.5840728450751604,-0.20823415492483954,No,0.228502,0.1284370477568741,-0.10006495224312592,No,0.703614,0.279968454258675,-0.42364554574132496,No,0.735723,0.7851409204423832,0.049417920442383134,Yes,0.737614,0.815418793722821,0.07780479372282101,Yes,0.136427,0.0833333333333333,-0.05309366666666669,No,0.7,0.279968454258675,-0.42003154574132495,No,0.485297,0.3,-0.185297,No
Atelectasis,0.818337,0.6839583021722013,-0.13437869782779865,No,0.345336,0.2538707008627822,-0.09146529913721779,No,0.799911,0.4777580071174377,-0.32215299288256233,No,0.694521,0.718471280770603,0.023950280770602905,Yes,0.682717,0.745291435368755,0.06257443536875495,Yes,0.2282,0.1728633510381458,-0.055336648961854196,No,0.8,0.4777580071174377,-0.32224199288256233,No,0.458412,0.25,-0.208412,No
Pneumothorax,0.886252,0.7538220447266301,-0.13242995527336998,No,0.277599,0.204406364749082,-0.07319263525091799,No,0.830119,0.3255360623781676,-0.5045829376218325,No,0.789749,0.884052800570817,0.094303800570817,Yes,0.787684,0.9108327881110384,0.12314878811103835,Yes,0.166667,0.1489741302408563,-0.01769286975914372,No,0.831,0.3255360623781676,-0.5054639376218324,No,0.465026,0.25,-0.215026,No
Pleural_Thickening,0.812256,0.6741356063791251,-0.13812039362087492,No,0.136327,0.1031350717843539,-0.03319192821564611,No,0.828691,0.2687022900763359,-0.559988709923664,No,0.663107,0.8634944702104888,0.20038747021048875,Yes,0.657618,0.8813909688088566,0.22377296880885655,Yes,0.0742729,0.0638143582306018,-0.0104585417693982,No,0.83,0.2687022900763359,-0.561297709923664,No,0.441709,0.25,-0.19170900000000002,No
Pneumonia,0.765119,0.6654239174281754,-0.09969508257182458,No,0.056197,0.0426770126091173,-0.013519987390882698,No,0.726619,0.1433224755700325,-0.5832965244299675,No,0.6968,0.911969318587228,0.215169318587228,Yes,0.696425,0.922638694217118,0.226213694217118,Yes,0.0292288,0.025071225071225,-0.004157574928774999,No,0.73,0.1433224755700325,-0.5866775244299675,No,0.51558,0.25,-0.26558000000000004,No
Fibrosis,0.826327,0.6652410319421573,-0.1610859680578427,No,0.0797738,0.0470491126702435,-0.03272468732975651,No,0.795252,0.180379746835443,-0.614872253164557,No,0.723782,0.8970299678915448,0.17324796789154473,Yes,0.722608,0.9072733851999276,0.1846653851999276,Yes,0.0419931,0.0270526815377313,-0.0149404184622687,No,0.798,0.180379746835443,-0.617620253164557,No,0.585557,0.25,-0.335557,No
Edema,0.908537,0.8259486572060873,-0.0825883427939127,No,0.132596,0.1316648531011969,-0.0009311468988030813,No,0.908511,0.5365853658536586,-0.3719256341463414,No,0.750156,0.8576525151623261,0.10749651516232606,Yes,0.746759,0.8642424794065444,0.11748347940654447,Yes,0.0714644,0.0750387596899224,0.003574359689922396,Yes,0.911,0.5365853658536586,-0.37441463414634146,No,0.413506,0.25,-0.16350599999999998,No
Consolidation,0.812462,0.7234689977797575,-0.08899300222024253,No,0.192298,0.1426501727404435,-0.04964782725955649,No,0.772632,0.70874861572536,-0.06388338427464002,No,0.724462,0.6569300749197289,-0.06753192508027117,No,0.722326,0.654755819896845,-0.06757018010315508,No,0.109814,0.0793060718711276,-0.03050792812887239,No,0.774,0.70874861572536,-0.06525138427464006,No,0.546624,0.75,0.203376,Yes
