Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.91121053198765,-0.007890468012349938,No,0.198765,0.0,-0.198765,No,0.863322,0.0,-0.863322,No
Emphysema,0.916227,0.90798973178079,-0.008237268219210003,No,0.184152,0.0348837209302325,-0.1492682790697675,No,0.864245,0.0178571428571428,-0.8463878571428572,No
Effusion,0.888239,0.8693888131092234,-0.018850186890776555,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.5319249955613592,-0.2900950044386408,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.7031497388111829,-0.012721261188817112,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.8536908065839313,-0.015891193416068705,No,0.308678,0.0017683465959328,-0.30690965340406723,No,0.757089,0.0008849557522123,-0.7562040442477878,No
Nodule,0.792307,0.7433058866297709,-0.049001113370229055,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7997398030781083,-0.018597196921891657,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8812473729577395,-0.005004627042260568,No,0.277599,0.0,-0.277599,No,0.830119,0.0,-0.830119,No
Pleural_Thickening,0.812256,0.7807245333461443,-0.031531466653855644,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.7400245864494113,-0.025094413550588723,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7975545251962174,-0.028772474803782644,No,0.0797738,0.0,-0.0797738,No,0.795252,0.0,-0.795252,No
Edema,0.908537,0.895061294233005,-0.013475705766995083,No,0.132596,0.0,-0.132596,No,0.908511,0.0,-0.908511,No
Consolidation,0.812462,0.7973013096018964,-0.015160690398103638,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
