Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.9112105319876501,0.5,0.9756956831965751,1.0,0.0,0.0,0.0,0.0
Emphysema,0.9079897317807901,0.5,0.9777916518016411,0.9998631386861314,0.017857142857142856,0.75,0.017857142857142856,0.03488372093023256
Effusion,0.8693888131092234,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.5319249955613592,0.5,0.0017392079914377453,0.0,1.0,0.0017392079914377453,1.0,0.003472376797400169
Infiltration,0.7031497388111829,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.8536908065839313,0.5,0.9496521584017125,1.0,0.0008849557522123894,1.0,0.0008849557522123894,0.0017683465959328027
Nodule,0.7433058866297709,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7997398030781083,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8812473729577395,0.5,0.9542454513021762,1.0,0.0,0.0,0.0,0.0
Pleural_Thickening,0.7807245333461443,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.7400245864494113,0.5,0.9861309311452016,0.9998191436451598,0.0,0.0,0.0,0.0
Fibrosis,0.7975545251962174,0.5,0.9858633606849804,0.9999547675049756,0.0,0.0,0.0,0.0
Edema,0.895061294233005,0.5,0.9798876204067071,1.0,0.0,0.0,0.0,0.0
Consolidation,0.7973013096018964,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
