Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8088985248726208,-0.11020247512737913,No,0.198765,0.1736526946107784,-0.0251123053892216,No,0.863322,0.1064220183486238,-0.7568999816513762,No
Emphysema,0.916227,0.8371174762484069,-0.07910952375159308,No,0.184152,0.1538461538461538,-0.03030584615384621,No,0.864245,0.0912698412698412,-0.7729751587301589,No
Effusion,0.888239,0.8332766873508808,-0.054962312649119216,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.6977234068143159,-0.12429659318568409,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6752345589791264,-0.040636441020873604,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7686018787958883,-0.1009801212041117,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.6810460285110518,-0.1112609714889482,No,0.228502,0.0031496062992125,-0.22535239370078752,No,0.703614,0.001577287066246,-0.7020367129337539,No
Atelectasis,0.818337,0.7638426420453744,-0.05449435795462554,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8438221212490573,-0.04242987875094273,No,0.277599,0.0229885057471264,-0.2546104942528736,No,0.830119,0.0116959064327485,-0.8184230935672515,No
Pleural_Thickening,0.812256,0.7063717612306035,-0.10588423876939645,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.6458641111919008,-0.1192548888080992,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.696504487178019,-0.12982251282198098,No,0.0797738,0.0177514792899408,-0.062022320710059205,No,0.795252,0.0094936708860759,-0.7857583291139241,No
Edema,0.908537,0.8107672558833796,-0.09776974411662043,No,0.132596,0.041407867494824,-0.09118813250517599,No,0.908511,0.0221729490022172,-0.8863380509977827,No
Consolidation,0.812462,0.7547501955775973,-0.05771180442240276,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
