Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.8088985248726208,-0.11020247512737913,No,0.198765,0.1736526946107784,-0.0251123053892216,No,0.863322,0.1064220183486238,-0.7568999816513762,No,0.820225,0.9753835176596504,0.15515851765965039,Yes,0.819083,0.9970291146761736,0.1779461146761736,Yes,0.112312,0.4715447154471545,0.3592327154471545,Yes,0.865,0.1064220183486238,-0.7585779816513762,No,0.489469,0.5,0.010531000000000013,Yes
Emphysema,0.916227,0.8371174762484069,-0.07910952375159308,No,0.184152,0.1538461538461538,-0.03030584615384621,No,0.864245,0.0912698412698412,-0.7729751587301589,No,0.82103,0.9774348911880129,0.15640489118801282,Yes,0.819995,0.9978102189781022,0.17781521897810215,Yes,0.103055,0.4893617021276595,0.3863067021276595,Yes,0.866,0.0912698412698412,-0.7747301587301588,No,0.445399,0.5,0.05460100000000001,Yes
Effusion,0.888239,0.8332766873508808,-0.054962312649119216,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No,0.799491,0.882625758116304,0.083134758116304,Yes,0.794271,1.0,0.20572900000000005,Yes,0.354027,0.0,-0.354027,No,0.839,0.0,-0.839,No,0.484694,0.5,0.015305999999999986,Yes
Hernia,0.82202,0.6977234068143159,-0.12429659318568409,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes,0.802127,0.0017392079914377,-0.8003877920085624,No,0.802346,0.0,-0.802346,No,0.00719748,0.0017392079914377,-0.0054582720085623,No,0.717,1.0,0.28300000000000003,Yes,0.581222,0.5,-0.08122200000000002,No
Infiltration,0.715871,0.6752345589791264,-0.040636441020873604,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No,0.648673,0.8223778094898323,0.17370480948983225,Yes,0.645026,1.0,0.354974,Yes,0.288003,0.0,-0.288003,No,0.666,0.0,-0.666,No,0.476786,0.5,0.023214000000000012,Yes
Mass,0.869582,0.7686018787958883,-0.1009801212041117,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No,0.821655,0.949607563325009,0.12795256332500893,Yes,0.825244,1.0,0.17475600000000002,Yes,0.193864,0.0,-0.193864,No,0.758,0.0,-0.758,No,0.585565,0.5,-0.085565,No
Nodule,0.792307,0.6810460285110518,-0.1112609714889482,No,0.228502,0.0031496062992125,-0.22535239370078752,No,0.703614,0.001577287066246,-0.7020367129337539,No,0.735723,0.9435426328933286,0.2078196328933286,Yes,0.737614,1.0,0.262386,Yes,0.136427,1.0,0.863573,Yes,0.7,0.001577287066246,-0.6984227129337539,No,0.485297,0.5,0.014703000000000022,Yes
Atelectasis,0.818337,0.7638426420453744,-0.05449435795462554,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No,0.694521,0.8997502675704602,0.20522926757046012,Yes,0.682717,1.0,0.317283,Yes,0.2282,0.0,-0.2282,No,0.8,0.0,-0.8,No,0.458412,0.5,0.041588000000000014,Yes
Pneumothorax,0.886252,0.8438221212490573,-0.04242987875094273,No,0.277599,0.0229885057471264,-0.2546104942528736,No,0.830119,0.0116959064327485,-0.8184230935672515,No,0.789749,0.9545130217623974,0.16476402176239735,Yes,0.787684,0.9997195999626132,0.21203559996261312,Yes,0.166667,0.6666666666666666,0.4999996666666666,Yes,0.831,0.0116959064327485,-0.8193040935672514,No,0.465026,0.5,0.034974000000000005,Yes
Pleural_Thickening,0.812256,0.7063717612306035,-0.10588423876939645,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No,0.663107,0.9707902247591866,0.30768322475918664,Yes,0.657618,1.0,0.34238199999999996,Yes,0.0742729,0.0,-0.0742729,No,0.83,0.0,-0.83,No,0.441709,0.5,0.05829099999999998,Yes
