Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.8577683514542661,-0.06133264854573384,No,0.198765,0.0216606498194945,-0.1771043501805055,No,0.863322,0.0110091743119266,-0.8523128256880734,No,0.820225,0.9758294684266856,0.15560446842668563,Yes,0.819083,0.9998628822158234,0.18077988221582342,Yes,0.112312,0.6666666666666666,0.5543546666666667,Yes,0.865,0.0110091743119266,-0.8539908256880734,No,0.489469,0.5,0.010531000000000013,Yes
Emphysema,0.916227,0.8639307076236822,-0.05229629237631783,No,0.184152,0.0456273764258555,-0.13852462357414452,No,0.864245,0.0238095238095238,-0.8404354761904762,No,0.82103,0.977613271494827,0.15658327149482698,Yes,0.819995,0.999543795620438,0.17954879562043802,Yes,0.103055,0.5454545454545454,0.4423995454545454,Yes,0.866,0.0238095238095238,-0.8421904761904762,No,0.445399,0.5,0.05460100000000001,Yes
Effusion,0.888239,0.8388962727564236,-0.049342727243576356,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No,0.799491,0.882625758116304,0.083134758116304,Yes,0.794271,1.0,0.20572900000000005,Yes,0.354027,0.0,-0.354027,No,0.839,0.0,-0.839,No,0.484694,0.5,0.015305999999999986,Yes
Hernia,0.82202,0.725886725886726,-0.09613327411327399,No,0.0142476,0.0034733045375606,-0.010774295462439399,No,0.695652,1.0,0.30434799999999995,Yes,0.802127,0.0020067784516589,-0.8001202215483412,No,0.802346,0.0002680366316729,-0.8020779633683272,No,0.00719748,0.0017396734766705,-0.0054578065233295,No,0.717,1.0,0.28300000000000003,Yes,0.581222,0.5,-0.08122200000000002,No
Infiltration,0.715871,0.6658200693329492,-0.0500509306670508,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No,0.648673,0.8223778094898323,0.17370480948983225,Yes,0.645026,1.0,0.354974,Yes,0.288003,0.0,-0.288003,No,0.666,0.0,-0.666,No,0.476786,0.5,0.023214000000000012,Yes
Mass,0.869582,0.7689153162093938,-0.10066668379060617,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No,0.821655,0.949607563325009,0.12795256332500893,Yes,0.825244,1.0,0.17475600000000002,Yes,0.193864,0.0,-0.193864,No,0.758,0.0,-0.758,No,0.585565,0.5,-0.085565,No
Nodule,0.792307,0.6885494930851663,-0.10375750691483365,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No,0.735723,0.9434534427399216,0.20773044273992158,Yes,0.737614,1.0,0.262386,Yes,0.136427,0.0,-0.136427,No,0.7,0.0,-0.7,No,0.485297,0.5,0.014703000000000022,Yes
Atelectasis,0.818337,0.7646143210212762,-0.05372267897872374,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No,0.694521,0.8997502675704602,0.20522926757046012,Yes,0.682717,1.0,0.317283,Yes,0.2282,0.0,-0.2282,No,0.8,0.0,-0.8,No,0.458412,0.5,0.041588000000000014,Yes
Pneumothorax,0.886252,0.8458157354524944,-0.040436264547505596,No,0.277599,0.0019474196689386,-0.2756515803310614,No,0.830119,0.0009746588693957,-0.8291443411306043,No,0.789749,0.9542900463788798,0.16454104637887979,Yes,0.787684,1.0,0.21231599999999995,Yes,0.166667,1.0,0.833333,Yes,0.831,0.0009746588693957,-0.8300253411306042,No,0.465026,0.5,0.034974000000000005,Yes
Pleural_Thickening,0.812256,0.7471799838624783,-0.06507601613752168,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No,0.663107,0.9707902247591866,0.30768322475918664,Yes,0.657618,1.0,0.34238199999999996,Yes,0.0742729,0.0,-0.0742729,No,0.83,0.0,-0.83,No,0.441709,0.5,0.05829099999999998,Yes
Pneumonia,0.765119,0.6614844742625059,-0.1036345257374941,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No,0.6968,0.9863093114520156,0.28950931145201564,Yes,0.696425,1.0,0.30357500000000004,Yes,0.0292288,0.0,-0.0292288,No,0.73,0.0,-0.73,No,0.51558,0.5,-0.015580000000000038,No
Fibrosis,0.826327,0.7455954857969964,-0.08073151420300362,No,0.0797738,0.0,-0.0797738,No,0.795252,0.0,-0.795252,No,0.723782,0.985907955761684,0.26212595576168396,Yes,0.722608,1.0,0.27739199999999997,Yes,0.0419931,0.0,-0.0419931,No,0.798,0.0,-0.798,No,0.585557,0.5,-0.085557,No
Edema,0.908537,0.8575347914892122,-0.05100220851078785,No,0.132596,0.0,-0.132596,No,0.908511,0.0,-0.908511,No,0.750156,0.9798876204067072,0.22973162040670714,Yes,0.746759,1.0,0.25324100000000005,Yes,0.0714644,0.0,-0.0714644,No,0.911,0.0,-0.911,No,0.413506,0.5,0.08649400000000002,Yes
Consolidation,0.812462,0.7559659078775615,-0.05649609212243856,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No,0.724462,0.9597306457367106,0.23526864573671058,Yes,0.722326,1.0,0.277674,Yes,0.109814,0.0,-0.109814,No,0.774,0.0,-0.774,No,0.546624,0.5,-0.046624,No
