Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8577683514542661,-0.06133264854573384,No,0.198765,0.0216606498194945,-0.1771043501805055,No,0.863322,0.0110091743119266,-0.8523128256880734,No
Emphysema,0.916227,0.8639307076236822,-0.05229629237631783,No,0.184152,0.0456273764258555,-0.13852462357414452,No,0.864245,0.0238095238095238,-0.8404354761904762,No
Effusion,0.888239,0.8388962727564236,-0.049342727243576356,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.725886725886726,-0.09613327411327399,No,0.0142476,0.0034733045375606,-0.010774295462439399,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6658200693329492,-0.0500509306670508,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7689153162093938,-0.10066668379060617,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.6885494930851663,-0.10375750691483365,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7646143210212762,-0.05372267897872374,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8458157354524944,-0.040436264547505596,No,0.277599,0.0019474196689386,-0.2756515803310614,No,0.830119,0.0009746588693957,-0.8291443411306043,No
Pleural_Thickening,0.812256,0.7471799838624783,-0.06507601613752168,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.6614844742625059,-0.1036345257374941,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7455954857969964,-0.08073151420300362,No,0.0797738,0.0,-0.0797738,No,0.795252,0.0,-0.795252,No
Edema,0.908537,0.8575347914892122,-0.05100220851078785,No,0.132596,0.0,-0.132596,No,0.908511,0.0,-0.908511,No
Consolidation,0.812462,0.7559659078775615,-0.05649609212243856,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
