iteration,phase,config_source,description,parent_iteration,loss_type,loss_gamma,loss_alpha,use_class_weights,architecture,backbone,dropout_rate,head_type,head_hidden_features,head_dropout,batch_size,learning_rate,num_epochs,freeze_backbone,weight_decay,scheduler_type,scheduler_patience,scheduler_factor,scheduler_mode,early_stopping_enabled,early_stopping_patience,early_stopping_monitor,early_stopping_min_delta,rare_class_aug_enabled,threshold_optimization,auc_improvement_enabled,auc_improvement_strategy,hernia_oversample_enabled,hernia_oversample_factor,config_file,description
17,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,1.00e-05,100,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
19,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.50,0.8000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.4000,-,-,-,64,1.00e-05,120,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
20,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.4000,-,-,-,64,1.00e-05,150,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
20,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.4000,-,-,-,64,1.00e-05,150,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
22,-,standalone,Baseline configuration from v1.1 implementation,-,focal,2.00,0.8000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.5000,-,-,-,64,1.00e-05,200,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class,-,-,-,-,config_iteration_022.yaml,Baseline configuration from v1.1 implementation
22,-,iteration_dir,Baseline configuration from v1.1 implementation,-,focal,2.00,0.8000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.5000,-,-,-,64,1.00e-05,200,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
22,-,iteration_dir,Baseline configuration from v1.1 implementation,-,focal,2.00,0.8000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.5000,-,-,-,64,1.00e-05,200,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
22,-,iteration_dir,Baseline configuration from v1.1 implementation,-,focal,2.00,0.8000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.5000,-,-,-,64,1.00e-05,200,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
22,-,iteration_dir,Baseline configuration from v1.1 implementation,-,focal,2.00,0.8000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.5000,-,-,-,64,1.00e-05,200,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
27,-,iteration_dir,Baseline configuration from v1.1 implementation,-,focal,2.00,0.8000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.5000,-,-,-,64,1.00e-05,200,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
28,-,iteration_dir,Baseline configuration from v1.1 implementation,-,focal,2.00,0.8000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.5000,-,-,-,64,1.00e-05,200,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
32,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
33,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
33,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
35,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
36,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
36,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
