Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.7793343791185129,-0.13976662088148706,No,0.198765,0.0,-0.198765,No,0.863322,0.0,-0.863322,No
Emphysema,0.916227,0.7453530062420345,-0.17087399375796553,No,0.184152,0.0038095238095238,-0.18034247619047622,No,0.864245,0.0019841269841269,-0.8622608730158732,No
Effusion,0.888239,0.770269580230138,-0.11796941976986197,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.5984249984249984,-0.22359500157500156,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6663837414428598,-0.0494872585571402,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.6649283399453583,-0.2046536600546417,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.6461593626555443,-0.14614763734445568,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7116880019000059,-0.10664899809999406,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.7877676212475088,-0.09848437875249128,No,0.277599,0.0,-0.277599,No,0.830119,0.0,-0.830119,No
Pleural_Thickening,0.812256,0.6931935215670156,-0.11906247843298434,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.6515378165777825,-0.11358118342221746,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.6991508028481586,-0.12717619715184147,No,0.0797738,0.0,-0.0797738,No,0.795252,0.0,-0.795252,No
Edema,0.908537,0.856380885914915,-0.052156114085085026,No,0.132596,0.0,-0.132596,No,0.908511,0.0,-0.908511,No
Consolidation,0.812462,0.7358732717889755,-0.07658872821102447,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
