Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.7793343791185129,0.5,0.9756956831965751,1.0,0.0,0.0,0.0,0.0
Emphysema,0.7453530062420345,0.5,0.9766767748840528,0.9990875912408759,0.001984126984126984,0.047619047619047616,0.001984126984126984,0.0038095238095238095
Effusion,0.770269580230138,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.5984249984249984,0.5,0.0017392079914377453,0.0,1.0,0.0017392079914377453,1.0,0.003472376797400169
Infiltration,0.6663837414428598,0.5,0.8221102390296111,0.9996746380348137,0.0,0.0,0.0,0.0
Mass,0.6649283399453583,0.5,0.949607563325009,1.0,0.0,0.0,0.0,0.0
Nodule,0.6461593626555443,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7116880019000059,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.7877676212475088,0.5,0.9542454513021762,1.0,0.0,0.0,0.0,0.0
Pleural_Thickening,0.6931935215670156,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.6515378165777825,0.5,0.9863093114520157,1.0,0.0,0.0,0.0,0.0
Fibrosis,0.6991508028481586,0.5,0.9859079557616839,1.0,0.0,0.0,0.0,0.0
Edema,0.856380885914915,0.5,0.9798876204067071,1.0,0.0,0.0,0.0,0.0
Consolidation,0.7358732717889755,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
