Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.8734994093871591,0.2,0.9468872636460934,0.9602358425887838,0.41100917431192663,0.20475319926873858,0.41100917431192663,0.2733374008541794,224,870,21009,321
Emphysema,0.8289942322732013,0.25,0.9723510524438101,0.9894616788321168,0.22817460317460317,0.33236994219653176,0.22817460317460317,0.27058823529411763,115,231,21689,389
Effusion,0.8292385566732928,0.2,0.8713877987870139,0.9319927243330639,0.4156534954407295,0.4483606557377049,0.4156534954407295,0.4313880126182965,1094,1346,18446,1538
Hernia,0.576998676998677,0.95,0.24696753478415984,0.2457449184721912,0.9487179487179487,0.0021866319957449323,0.9487179487179487,0.004363207547169811,37,16884,5501,2
Infiltration,0.682191420799392,0.15,0.606136282554406,0.592701046580988,0.6683404468993221,0.26167305612896885,0.6683404468993221,0.3760949420740322,2662,7511,10930,1321
Mass,0.7492809059180741,0.2,0.9270424545130218,0.9636986944679252,0.23628318584070795,0.2567307692307692,0.23628318584070795,0.24608294930875577,267,773,20521,863
Nodule,0.6350996957854913,0.15,0.5474937566892615,0.5415484968803176,0.6466876971608833,0.0779541781538169,0.6466876971608833,0.1391363366420633,820,9699,11457,448
Atelectasis,0.747684709520631,0.15,0.6950588655012486,0.6969666931007137,0.6779359430604982,0.199528672427337,0.6779359430604982,0.30831478858992517,1524,6114,14062,724
Pneumothorax,0.8196063258175557,0.2,0.9050570816981806,0.9257407234320965,0.47368421052631576,0.23421686746987952,0.47368421052631576,0.31344727507255726,486,1589,19809,540
Pleural_Thickening,0.7170709872116627,0.2,0.9414912593649661,0.9648582847167991,0.1648854961832061,0.12371134020618557,0.1648854961832061,0.14136125654450263,108,765,21004,547
Pneumonia,0.7058633541872885,0.2,0.9570549411344987,0.968847492878781,0.10749185667752444,0.045706371191135735,0.10749185667752444,0.0641399416909621,33,689,21428,274
Fibrosis,0.6824765449473585,0.2,0.9190599357830895,0.9294825402569206,0.189873417721519,0.03705991352686844,0.189873417721519,0.06201550387596899,60,1559,20549,256
Edema,0.870705763362272,0.25,0.9630752764894756,0.9777909252264142,0.24611973392461198,0.18530884808013356,0.24611973392461198,0.21142857142857144,111,488,21485,340
Consolidation,0.7615549786468835,0.15,0.7173118087763111,0.7186933692672274,0.6843853820598007,0.09262589928057553,0.6843853820598007,0.16316831683168317,618,6054,15467,285
