Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.6932553145720983,-0.22584568542790162,No,0.198765,0.0874403815580286,-0.1113246184419714,No,0.863322,0.4036697247706422,-0.4596522752293578,No,0.820225,0.7952194077773814,-0.025005592222618556,No,0.819083,0.804972804972805,-0.014110195027195016,No,0.112312,0.0490305326498774,-0.0632814673501226,No,0.865,0.4036697247706422,-0.46133027522935777,No,0.489469,0.1,-0.38946899999999995,No
Emphysema,0.916227,0.7175158042231491,-0.19871119577685092,No,0.184152,0.0894414548153646,-0.09471054518463541,No,0.864245,0.4781746031746032,-0.38607039682539684,No,0.82103,0.7811719586157688,-0.03985804138423121,No,0.819995,0.7881386861313868,-0.031856313868613206,No,0.103055,0.0493346980552712,-0.05372030194472879,No,0.866,0.4781746031746032,-0.3878253968253968,No,0.445399,0.15,-0.29539899999999997,No
Effusion,0.888239,0.7640443419311601,-0.12419465806883989,No,0.497818,0.3682144307567348,-0.12960356924326516,No,0.838296,0.5167173252279635,-0.3215786747720365,No,0.799491,0.7918747770246165,-0.0076162229753834465,No,0.794271,0.8284660468876314,0.03419504688763142,Yes,0.354027,0.2860147213459516,-0.06801227865404841,No,0.839,0.5167173252279635,-0.3222826747720364,No,0.484694,0.15,-0.33469400000000005,No
Hernia,0.82202,0.7779637234182688,-0.04405627658173117,No,0.0142476,0.0543806646525679,0.0401330646525679,Yes,0.695652,0.2307692307692307,-0.4648827692307693,No,0.802127,0.9860417409917944,0.1839147409917944,Yes,0.802346,0.9873576055394238,0.18501160553942375,Yes,0.00719748,0.0308219178082191,0.0236244378082191,Yes,0.717,0.2307692307692307,-0.48623076923076924,No,0.581222,0.05,-0.531222,No
Infiltration,0.715871,0.6618209612533218,-0.05405003874667824,No,0.402838,0.366724361748161,-0.036113638251839,No,0.665575,0.4255586241526488,-0.24001637584735125,No,0.648673,0.7389404209775241,0.09026742097752405,Yes,0.645026,0.8066265386909603,0.16160053869096036,Yes,0.288003,0.3221820946588101,0.03417909465881008,Yes,0.666,0.4255586241526488,-0.24044137584735126,No,0.476786,0.2,-0.276786,No
Mass,0.869582,0.6170071589404469,-0.2525748410595531,No,0.308678,0.1322934719815136,-0.17638452801848642,No,0.757089,0.2026548672566371,-0.554434132743363,No,0.821655,0.8660363895825901,0.04438138958259008,Yes,0.825244,0.9012397858551704,0.07599578585517042,Yes,0.193864,0.0981989708404802,-0.09566502915951981,No,0.758,0.2026548672566371,-0.555345132743363,No,0.585565,0.15,-0.435565,No
Nodule,0.792307,0.5807300566678177,-0.21157694333218224,No,0.228502,0.1215778628201354,-0.10692413717986461,No,0.703614,0.3257097791798107,-0.37790422082018926,No,0.735723,0.7338565822333214,-0.0018664177666786186,No,0.737614,0.7583191529589715,0.020705152958971462,Yes,0.136427,0.0747376040535649,-0.06168939594643509,No,0.7,0.3257097791798107,-0.37429022082018926,No,0.485297,0.2,-0.28529699999999997,No
Atelectasis,0.818337,0.7133488204159271,-0.10498817958407292,No,0.345336,0.2591613146958821,-0.08617468530411787,No,0.799911,0.7629003558718861,-0.037010644128113945,No,0.694521,0.5627452729218694,-0.13177572707813068,No,0.682717,0.5404440919904837,-0.1422729080095163,No,0.2282,0.1560935651224174,-0.07210643487758259,No,0.8,0.7629003558718861,-0.03709964412811395,No,0.458412,0.15,-0.308412,No
Pneumothorax,0.886252,0.7690324713810677,-0.11721952861893237,No,0.277599,0.2208520179372197,-0.05674698206278028,No,0.830119,0.3840155945419103,-0.44610340545808974,No,0.789749,0.8760256867641812,0.08627668676418121,Yes,0.787684,0.8996167866155715,0.11193278661557149,Yes,0.166667,0.1549960660896931,-0.011670933910306908,No,0.831,0.3840155945419103,-0.44698440545808965,No,0.465026,0.2,-0.265026,No
Pleural_Thickening,0.812256,0.6880987706097927,-0.12415722939020724,No,0.136327,0.1021711366538952,-0.034155863346104806,No,0.828691,0.1221374045801526,-0.7065535954198474,No,0.663107,0.937299322154834,0.274192322154834,Yes,0.657618,0.961826450457072,0.304208450457072,Yes,0.0742729,0.0878155872667398,0.013542687266739795,Yes,0.83,0.1221374045801526,-0.7078625954198474,No,0.441709,0.2,-0.241709,No
Pneumonia,0.765119,0.6727762142670626,-0.09234278573293742,No,0.056197,0.0477257745550428,-0.008471225444957195,No,0.726619,0.5895765472312704,-0.13704245276872962,No,0.6968,0.6778897609703889,-0.018910239029611087,No,0.696425,0.6791156124248315,-0.017309387575168422,No,0.0292288,0.0248694696345149,-0.004359330365485099,No,0.73,0.5895765472312704,-0.14042345276872958,No,0.51558,0.1,-0.41558000000000006,No
Fibrosis,0.826327,0.677403491605078,-0.14892350839492208,No,0.0797738,0.0522948539638386,-0.027478946036161404,No,0.795252,0.2974683544303797,-0.49778364556962024,No,0.723782,0.8480645736710667,0.12428257367106665,Yes,0.722608,0.8559345033472047,0.13332650334720464,Yes,0.0419931,0.0286672766087221,-0.0133258233912779,No,0.798,0.2974683544303797,-0.5005316455696203,No,0.585557,0.15,-0.43555699999999997,No
Edema,0.908537,0.8370907331039112,-0.0714462668960888,No,0.132596,0.1426985008328706,0.01010250083287062,Yes,0.908511,0.5698447893569845,-0.3386662106430155,No,0.750156,0.8622904031394935,0.11213440313949341,Yes,0.746759,0.8682929049287762,0.12153390492877625,Yes,0.0714644,0.0815614090764836,0.010097009076483601,Yes,0.911,0.5698447893569845,-0.34115521064301557,No,0.413506,0.15,-0.263506,No
Consolidation,0.812462,0.7288603940532884,-0.08360160594671162,No,0.192298,0.1542912246865959,-0.0380067753134041,No,0.772632,0.26578073089701,-0.50685126910299,No,0.724462,0.8826703531930075,0.1582083531930074,Yes,0.722326,0.9085544352028252,0.18622843520282517,Yes,0.109814,0.108695652173913,-0.0011183478260869961,No,0.774,0.26578073089701,-0.5082192691029901,No,0.546624,0.85,0.303376,Yes
