Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8795138063351771,-0.039587193664822884,No,0.198765,0.1217948717948717,-0.0769701282051283,No,0.863322,0.0697247706422018,-0.7935972293577982,No
Emphysema,0.916227,0.895482671474916,-0.02074432852508401,No,0.184152,0.2456692913385826,0.06151729133858258,Yes,0.864245,0.1547619047619047,-0.7094830952380953,No
Effusion,0.888239,0.8723244347597998,-0.015914565240200185,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.7452901725628999,-0.0767298274371001,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6930453355778925,-0.02282566442210754,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.8456580273973058,-0.023923972602694188,No,0.308678,0.0017667844522968,-0.30691121554770323,No,0.757089,0.0008849557522123,-0.7562040442477878,No
Nodule,0.792307,0.7395428685689542,-0.05276413143104575,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.797040767668009,-0.02129623233199096,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8724104901680525,-0.01384150983194754,No,0.277599,0.0154440154440154,-0.26215498455598457,No,0.830119,0.0077972709551656,-0.8223217290448345,No
Pleural_Thickening,0.812256,0.7642381368000367,-0.04801786319996326,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.7181224105913487,-0.04699658940865126,No,0.056197,0.0167597765363128,-0.03943722346368719,No,0.726619,0.009771986970684,-0.716847013029316,No
Fibrosis,0.826327,0.7463101162761404,-0.08001688372385962,No,0.0797738,0.0063091482649842,-0.0734646517350158,No,0.795252,0.0031645569620253,-0.7920874430379746,No
Edema,0.908537,0.8618883505790165,-0.04664864942098357,No,0.132596,0.042016806722689,-0.09057919327731098,No,0.908511,0.0221729490022172,-0.8863380509977827,No
Consolidation,0.812462,0.7986843878520262,-0.013777612147973795,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
