Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8168940012437045,-0.10220699875629546,No,0.198765,0.1393188854489164,-0.05944611455108359,No,0.863322,0.0825688073394495,-0.7807531926605505,No
Emphysema,0.916227,0.8493450208550574,-0.06688197914494265,No,0.184152,0.1582491582491582,-0.025902841750841815,No,0.864245,0.0932539682539682,-0.7709910317460318,No
Effusion,0.888239,0.8429908414532415,-0.045248158546758455,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.7351047805593262,-0.08691521944067382,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6739917220172066,-0.04187927798279345,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7708971158937121,-0.09868488410628784,No,0.308678,0.0052910052910052,-0.30338699470899483,No,0.757089,0.0026548672566371,-0.7544341327433629,No
Nodule,0.792307,0.6862191998093776,-0.10608780019062236,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7556019594296173,-0.0627350405703827,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8545714498103063,-0.031680550189693735,No,0.277599,0.0248091603053435,-0.25278983969465646,No,0.830119,0.0126705653021442,-0.8174484346978559,No
Pleural_Thickening,0.812256,0.7194172397964891,-0.0928387602035109,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.5838766265105666,-0.1812423734894334,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.6984408244452435,-0.12788617555475656,No,0.0797738,0.0119047619047619,-0.0678690380952381,No,0.795252,0.0063291139240506,-0.7889228860759494,No
Edema,0.908537,0.8121821146553274,-0.09635488534467263,No,0.132596,0.0338266384778012,-0.09876936152219878,No,0.908511,0.0177383592017738,-0.8907726407982262,No
Consolidation,0.812462,0.7444340723009584,-0.06802792769904165,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
