Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.8448544559715634,-0.07424654402843656,No,0.198765,0.2584167424931756,0.05965174249317559,Yes,0.863322,0.2605504587155963,-0.6027715412844037,No,0.820225,0.9636550124866214,0.14343001248662146,Yes,0.819083,0.981169157639746,0.162086157639746,Yes,0.112312,0.2563176895306859,0.1440056895306859,Yes,0.865,0.2605504587155963,-0.6044495412844038,No,0.489469,0.35,-0.139469,No
Emphysema,0.916227,0.8626097515496468,-0.053617248450353205,No,0.184152,0.3389021479713603,0.1547501479713603,Yes,0.864245,0.4226190476190476,-0.4416259523809524,No,0.82103,0.962941491259365,0.14191149125936497,Yes,0.819995,0.9753649635036497,0.15536996350364962,Yes,0.103055,0.2828685258964143,0.1798135258964143,Yes,0.866,0.4226190476190476,-0.4433809523809524,No,0.445399,0.15,-0.29539899999999997,No
Effusion,0.888239,0.8423499531909977,-0.0458890468090023,No,0.497818,0.4765027322404371,-0.021315267759562884,No,0.838296,0.5797872340425532,-0.2585087659574469,No,0.799491,0.8504727078130574,0.05098170781305744,Yes,0.794271,0.8864692805173807,0.09219828051738077,Yes,0.354027,0.4044526901669759,0.0504256901669759,Yes,0.839,0.5797872340425532,-0.2592127659574468,No,0.484694,0.2,-0.284694,No
Hernia,0.82202,0.6526795072249618,-0.16934049277503815,No,0.0142476,0.0046511627906976,-0.0095964372093024,No,0.695652,0.8974358974358975,0.20178389743589742,Yes,0.802127,0.3319657509810917,-0.4701612490189083,No,0.802346,0.3309805673442037,-0.4713654326557963,No,0.00719748,0.0023316234761175,-0.0048658565238825,No,0.717,0.8974358974358975,0.1804358974358975,Yes,0.581222,0.95,0.36877799999999994,Yes
Infiltration,0.715871,0.6546090841610711,-0.061261915838928926,No,0.402838,0.3518507151187772,-0.05098728488122278,No,0.665575,0.7195581220185789,0.05398312201857891,Yes,0.648673,0.5291205850874063,-0.11955241491259372,No,0.645026,0.4879887207852069,-0.1570372792147931,No,0.288003,0.2328566785830354,-0.0551463214169646,No,0.666,0.7195581220185789,0.0535581220185789,Yes,0.476786,0.15,-0.326786,No
Mass,0.869582,0.8014618144128015,-0.06812018558719846,No,0.308678,0.32,0.011321999999999999,Yes,0.757089,0.3893805309734513,-0.3677084690265487,No,0.821655,0.9166072065643952,0.09495220656439518,Yes,0.825244,0.9445853292007138,0.11934132920071383,Yes,0.193864,0.2716049382716049,0.07774093827160491,Yes,0.758,0.3893805309734513,-0.3686194690265487,No,0.585565,0.15,-0.435565,No
Nodule,0.792307,0.7090400594830173,-0.08326694051698269,No,0.228502,0.2233597021870637,-0.0051422978129363195,No,0.703614,0.3785488958990536,-0.32506510410094636,No,0.735723,0.8511416339636104,0.1154186339636104,Yes,0.737614,0.8794668179239932,0.14185281792399318,Yes,0.136427,0.1584158415841584,0.021988841584158397,Yes,0.7,0.3785488958990536,-0.32145110410094635,No,0.485297,0.15,-0.33529699999999996,No
Atelectasis,0.818337,0.7426221206232133,-0.07571487937678667,No,0.345336,0.3024158757549611,-0.04292012424503888,No,0.799911,0.6236654804270463,-0.17624551957295376,No,0.694521,0.7115590438815554,0.017038043881555387,Yes,0.682717,0.7213521015067407,0.038635101506740654,Yes,0.2282,0.1996013667425968,-0.028598633257403194,No,0.8,0.6236654804270463,-0.17633451957295376,No,0.458412,0.1,-0.35841199999999995,No
Pneumothorax,0.886252,0.8466375999870276,-0.03961440001297245,No,0.277599,0.3459677419354838,0.06836874193548381,Yes,0.830119,0.4181286549707602,-0.41199034502923987,No,0.789749,0.9276667855868712,0.13791778558687118,Yes,0.787684,0.9520983269464436,0.16441432694644353,Yes,0.166667,0.2950481430536451,0.12838114305364506,Yes,0.831,0.4181286549707602,-0.4128713450292398,No,0.465026,0.2,-0.265026,No
Pleural_Thickening,0.812256,0.7146494822983449,-0.09760651770165507,No,0.136327,0.1451414514145141,0.00881445141451409,Yes,0.828691,0.2702290076335877,-0.5584619923664123,No,0.663107,0.907019265073136,0.24391226507313601,Yes,0.657618,0.9261794294639166,0.2685614294639166,Yes,0.0742729,0.0992152466367713,0.024942346636771293,Yes,0.83,0.2702290076335877,-0.5597709923664123,No,0.441709,0.15,-0.291709,No
Pneumonia,0.765119,0.6633425965758943,-0.10177640342410565,No,0.056197,0.0591259640102827,0.0029289640102827044,Yes,0.726619,0.0749185667752443,-0.6517004332247557,No,0.6968,0.9673564038530146,0.2705564038530146,Yes,0.696425,0.9797440882579012,0.2833190882579012,Yes,0.0292288,0.048832271762208,0.019603471762208002,Yes,0.73,0.0749185667752443,-0.6550814332247556,No,0.51558,0.2,-0.31558,No
Fibrosis,0.826327,0.7215909871677129,-0.10473601283228717,No,0.0797738,0.0987012987012987,0.0189274987012987,Yes,0.795252,0.180379746835443,-0.614872253164557,No,0.723782,0.9535765251516232,0.22979452515162313,Yes,0.722608,0.9646281888908992,0.24202018889089916,Yes,0.0419931,0.067938021454112,0.025944921454112,Yes,0.798,0.180379746835443,-0.617620253164557,No,0.585557,0.15,-0.43555699999999997,No
Edema,0.908537,0.8210033620176668,-0.08753363798233327,No,0.132596,0.1834451901565995,0.0508491901565995,Yes,0.908511,0.3636363636363636,-0.5448746363636363,No,0.750156,0.9348911880128434,0.1847351880128434,Yes,0.746759,0.946616301824967,0.19985730182496708,Yes,0.0714644,0.1226626776364996,0.0511982776364996,Yes,0.911,0.3636363636363636,-0.5473636363636365,No,0.413506,0.1,-0.31350599999999995,No
