Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.8412240634582783,-0.07787693654172168,No,0.198765,0.297907949790795,0.09914294979079499,Yes,0.863322,0.326605504587156,-0.536716495412844,No,0.820225,0.9625847306457368,0.14235973064573682,Yes,0.819083,0.9784268019562136,0.15934380195621356,Yes,0.112312,0.2738461538461538,0.1615341538461538,Yes,0.865,0.326605504587156,-0.538394495412844,No,0.489469,0.3999999999999999,-0.08946900000000008,No
Emphysema,0.916227,0.8809150880546865,-0.03531191194531347,No,0.184152,0.3922294172062904,0.2080774172062904,Yes,0.864245,0.4206349206349206,-0.44361007936507946,No,0.82103,0.9707010346057796,0.14967103460577957,Yes,0.819995,0.9833485401459854,0.16335354014598535,Yes,0.103055,0.3674176776429809,0.2643626776429809,Yes,0.866,0.4206349206349206,-0.4453650793650794,No,0.445399,0.4999999999999999,0.0546009999999999,Yes
Effusion,0.888239,0.8303860625428469,-0.05785293745715314,No,0.497818,0.4604505837855616,-0.0373674162144384,No,0.838296,0.5319148936170213,-0.3063811063829788,No,0.799491,0.8536835533357118,0.054192553335711824,Yes,0.794271,0.8964733225545675,0.10220232255456752,Yes,0.354027,0.4059147579008408,0.051887757900840825,Yes,0.839,0.5319148936170213,-0.3070851063829787,No,0.484694,0.35,-0.13469400000000004,No
Hernia,0.82202,0.8126630126630127,-0.00935698733698731,No,0.0142476,0.3380281690140845,0.3237805690140845,Yes,0.695652,0.3076923076923077,-0.38795969230769234,No,0.802127,0.997904031394934,0.19577703139493396,Yes,0.802346,0.99910654456109,0.19676054456109004,Yes,0.00719748,0.375,0.36780252,Yes,0.717,0.3076923076923077,-0.40930769230769226,No,0.581222,0.25,-0.331222,No
Infiltration,0.715871,0.6605282812018319,-0.0553427187981681,No,0.402838,0.3660931730693691,-0.03674482693063086,No,0.665575,0.5849861913130806,-0.08058880868691942,No,0.648673,0.6401623260792009,-0.008510673920799183,No,0.645026,0.6520796052274822,0.007053605227482218,Yes,0.288003,0.2664075005716899,-0.021595499428310128,No,0.666,0.5849861913130806,-0.08101380868691943,No,0.476786,0.3999999999999999,-0.07678600000000008,No
Mass,0.869582,0.8027954818798931,-0.06678651812010683,No,0.308678,0.3226233852268963,0.013945385226896312,Yes,0.757089,0.4309734513274336,-0.3261155486725664,No,0.821655,0.9088030681412772,0.08714806814127718,Yes,0.825244,0.9341598572367804,0.10891585723678043,Yes,0.193864,0.2578083642138697,0.0639443642138697,Yes,0.758,0.4309734513274336,-0.3270265486725664,No,0.585565,0.3,-0.285565,No
Nodule,0.792307,0.699627630973874,-0.09267936902612595,No,0.228502,0.217479218153224,-0.01102278184677602,No,0.703614,0.3817034700315457,-0.32191052996845426,No,0.735723,0.8446753478415983,0.10895234784159824,Yes,0.737614,0.8724238986575912,0.1348098986575912,Yes,0.136427,0.1520578071002199,0.015630807100219912,Yes,0.7,0.3817034700315457,-0.31829652996845426,No,0.485297,0.35,-0.135297,No
Atelectasis,0.818337,0.761172919412374,-0.05716408058762601,No,0.345336,0.3379599741768883,-0.007376025823111698,No,0.799911,0.4657473309608541,-0.33416366903914596,No,0.694521,0.817070995362112,0.12254999536211197,Yes,0.682717,0.8562153053132434,0.1734983053132434,Yes,0.2282,0.2651975683890577,0.03699756838905774,Yes,0.8,0.4657473309608541,-0.33425266903914597,No,0.458412,0.4499999999999999,-0.008412000000000086,No
Pneumothorax,0.886252,0.8659923765442727,-0.020259623455727294,No,0.277599,0.380544747081712,0.102945747081712,Yes,0.830119,0.4766081871345029,-0.3535108128654971,No,0.789749,0.9290046378879772,0.13925563788797712,Yes,0.787684,0.9506963267595102,0.16301232675951016,Yes,0.166667,0.3167098445595855,0.1500428445595855,Yes,0.831,0.4766081871345029,-0.35439181286549704,No,0.465026,0.4499999999999999,-0.015026000000000095,No
Pleural_Thickening,0.812256,0.7470052483765169,-0.06525075162348304,No,0.136327,0.1687424668541583,0.032415466854158304,Yes,0.828691,0.3206106870229007,-0.5080803129770992,No,0.663107,0.9077327863003924,0.24462578630039244,Yes,0.657618,0.9253985024576232,0.2677805024576232,Yes,0.0742729,0.1145038167938931,0.040230916793893096,Yes,0.83,0.3206106870229007,-0.5093893129770992,No,0.441709,0.3,-0.14170900000000003,No
