Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.8003682052791605,-0.11873279472083942,No,0.198765,0.1814126394052044,-0.017352360594795585,No,0.863322,0.2238532110091743,-0.6394687889908257,No,0.820225,0.9509008205494114,0.1306758205494114,Yes,0.819083,0.9690113807760866,0.1499283807760866,Yes,0.112312,0.1525,0.040188,Yes,0.865,0.2238532110091743,-0.6411467889908257,No,0.489469,0.1,-0.38946899999999995,No
Emphysema,0.916227,0.7666278349843586,-0.1495991650156414,No,0.184152,0.1198706789355881,-0.06428132106441191,No,0.864245,0.4781746031746032,-0.38607039682539684,No,0.82103,0.8421780235462005,0.02114802354620049,Yes,0.819995,0.8505474452554744,0.030552445255474403,Yes,0.103055,0.0685243104918965,-0.03453068950810349,No,0.866,0.4781746031746032,-0.3878253968253968,No,0.445399,0.1,-0.345399,No
Effusion,0.888239,0.8211123457514381,-0.0671266542485619,No,0.497818,0.4148787061994609,-0.0829392938005391,No,0.838296,0.7310030395136778,-0.1072929604863222,No,0.799491,0.7579825187299322,-0.04150848127006779,No,0.794271,0.7615703314470493,-0.03270066855295062,No,0.354027,0.2896281800391389,-0.06439881996086105,No,0.839,0.7310030395136778,-0.10799696048632212,No,0.484694,0.1,-0.384694,No
Hernia,0.82202,0.8197052742507287,-0.0023147257492712736,No,0.0142476,0.0,-0.0142476,No,0.695652,0.0,-0.695652,No,0.802127,0.9982607920085622,0.19613379200856218,Yes,0.802346,1.0,0.197654,Yes,0.00719748,0.0,-0.00719748,No,0.717,0.0,-0.717,No,0.581222,0.5,-0.08122200000000002,No
Infiltration,0.715871,0.6809366710531581,-0.0349343289468419,No,0.402838,0.3739779084779802,-0.028860091522019793,No,0.665575,0.6545317599799146,-0.011043240020085388,No,0.648673,0.6107741705315733,-0.03789882946842671,No,0.645026,0.6013231386584241,-0.04370286134157586,No,0.288003,0.2617732704086756,-0.026229729591324413,No,0.666,0.6545317599799146,-0.011468240020085396,No,0.476786,0.15,-0.326786,No
Mass,0.869582,0.6981819217013228,-0.1714000782986772,No,0.308678,0.1950277576635288,-0.1136502423364712,No,0.757089,0.3575221238938053,-0.39956687610619473,No,0.821655,0.851275419193721,0.029620419193720937,Yes,0.825244,0.8774772236310698,0.05223322363106986,Yes,0.193864,0.1340856289412545,-0.059778371058745505,No,0.758,0.3575221238938053,-0.40047787610619473,No,0.585565,0.1,-0.485565,No
Nodule,0.792307,0.6456800108313606,-0.14662698916863937,No,0.228502,0.1518105849582172,-0.07669141504178281,No,0.703614,0.1719242902208202,-0.5316897097791797,No,0.735723,0.8913663931501962,0.15564339315019615,Yes,0.737614,0.9344866704481,0.19687267044809997,Yes,0.136427,0.1359102244389027,-0.0005167755610973046,No,0.7,0.1719242902208202,-0.5280757097791797,No,0.485297,0.2,-0.28529699999999997,No
Atelectasis,0.818337,0.7455647640620193,-0.07277223593798066,No,0.345336,0.3137136835766972,-0.031622316423302765,No,0.799911,0.4635231316725978,-0.33638786832740225,No,0.694521,0.7966910453085979,0.10217004530859786,Yes,0.682717,0.8338124504361618,0.1510954504361618,Yes,0.2282,0.2370875995449374,0.008887599544937425,Yes,0.8,0.4635231316725978,-0.33647686832740226,No,0.458412,0.15,-0.308412,No
Pneumothorax,0.886252,0.7959576162316457,-0.0902943837683543,No,0.277599,0.2567449956483899,-0.02085400435161011,No,0.830119,0.2875243664717349,-0.5425946335282652,No,0.789749,0.9238316089903674,0.1340826089903674,Yes,0.787684,0.954341527245537,0.16665752724553695,Yes,0.166667,0.2319182389937107,0.06525123899371069,Yes,0.831,0.2875243664717349,-0.5434756335282651,No,0.465026,0.15,-0.31502600000000003,No
Pleural_Thickening,0.812256,0.7118275550462367,-0.10042844495376324,No,0.136327,0.1267738883632923,-0.009553111636707717,No,0.828691,0.3068702290076336,-0.5218207709923663,No,0.663107,0.8765162326079201,0.2134092326079201,Yes,0.657618,0.8936561164959346,0.23603811649593454,Yes,0.0742729,0.0798887122416534,0.005615812241653403,Yes,0.83,0.3068702290076336,-0.5231297709923663,No,0.441709,0.15,-0.291709,No
Pneumonia,0.765119,0.6960214105646916,-0.06909758943530842,No,0.056197,0.0559210526315789,-0.0002759473684210978,No,0.726619,0.1107491856677524,-0.6158698143322476,No,0.6968,0.9488048519443454,0.2520048519443454,Yes,0.696425,0.9604376723787132,0.2640126723787133,Yes,0.0292288,0.0374037403740374,0.008174940374037404,Yes,0.73,0.1107491856677524,-0.6192508143322476,No,0.51558,0.1,-0.41558000000000006,No
Fibrosis,0.826327,0.6977726431579839,-0.1285543568420161,No,0.0797738,0.0593858043522473,-0.020387995647752705,No,0.795252,0.4620253164556962,-0.33322668354430374,No,0.723782,0.7937477702461648,0.0699657702461648,Yes,0.722608,0.7984892346661842,0.07588123466618413,Yes,0.0419931,0.0317322321234514,-0.010260867876548597,No,0.798,0.4620253164556962,-0.3359746835443038,No,0.585557,0.1,-0.485557,No
Edema,0.908537,0.8666459027572945,-0.041891097242705566,No,0.132596,0.2207468879668049,0.0881508879668049,Yes,0.908511,0.29490022172949,-0.61361077827051,No,0.750156,0.9581252229753836,0.20796922297538356,Yes,0.746759,0.9717380421426296,0.22497904214262965,Yes,0.0714644,0.176392572944297,0.104928172944297,Yes,0.911,0.29490022172949,-0.61609977827051,No,0.413506,0.15,-0.263506,No
Consolidation,0.812462,0.7513268736508774,-0.06113512634912266,No,0.192298,0.1550958243431907,-0.037202175656809305,No,0.772632,0.6766334440753046,-0.09599855592469542,No,0.724462,0.7031305743845879,-0.021331425615412125,No,0.722326,0.7042423679197063,-0.018083632080293732,No,0.109814,0.0875860091743119,-0.02222799082568809,No,0.774,0.6766334440753046,-0.09736655592469545,No,0.546624,0.85,0.303376,Yes
