Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.8271755707265692,-0.09192542927343073,No,0.198765,0.1269841269841269,-0.0717808730158731,No,0.863322,0.073394495412844,-0.789927504587156,No,0.820225,0.9754727078130574,0.1552477078130574,Yes,0.819083,0.9979432332373508,0.17886023323735079,Yes,0.112312,0.4705882352941176,0.35827623529411756,Yes,0.865,0.073394495412844,-0.791605504587156,No,0.489469,0.5,0.010531000000000013,Yes
Emphysema,0.916227,0.8634960009703396,-0.052730999029660386,No,0.184152,0.1946308724832214,0.01047887248322138,Yes,0.864245,0.115079365079365,-0.749165634920635,No,0.82103,0.9785943631823046,0.1575643631823046,Yes,0.819995,0.998448905109489,0.178453905109489,Yes,0.103055,0.6304347826086957,0.5273797826086957,Yes,0.866,0.115079365079365,-0.750920634920635,No,0.445399,0.5,0.05460100000000001,Yes
Effusion,0.888239,0.8384668542968452,-0.0497721457031548,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No,0.799491,0.8825811630396004,0.08309016303960048,Yes,0.794271,0.9999494745351656,0.20567847453516563,Yes,0.354027,0.0,-0.354027,No,0.839,0.0,-0.839,No,0.484694,0.5,0.015305999999999986,Yes
Hernia,0.82202,0.6889738435192981,-0.13304615648070184,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes,0.802127,0.0017392079914377,-0.8003877920085624,No,0.802346,0.0,-0.802346,No,0.00719748,0.0017392079914377,-0.0054582720085623,No,0.717,1.0,0.28300000000000003,Yes,0.581222,0.5,-0.08122200000000002,No
Infiltration,0.715871,0.6675393768236005,-0.048331623176399496,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No,0.648673,0.8223778094898323,0.17370480948983225,Yes,0.645026,1.0,0.354974,Yes,0.288003,0.0,-0.288003,No,0.666,0.0,-0.666,No,0.476786,0.5,0.023214000000000012,Yes
Mass,0.869582,0.7718228409515,-0.09775915904849997,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No,0.821655,0.9495183731716018,0.1278633731716018,Yes,0.825244,0.9999060768291538,0.1746620768291538,Yes,0.193864,0.0,-0.193864,No,0.758,0.0,-0.758,No,0.585565,0.5,-0.085565,No
Nodule,0.792307,0.680825923304901,-0.11148107669509899,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No,0.735723,0.9434534427399216,0.20773044273992158,Yes,0.737614,1.0,0.262386,Yes,0.136427,0.0,-0.136427,No,0.7,0.0,-0.7,No,0.485297,0.5,0.014703000000000022,Yes
Atelectasis,0.818337,0.7678284411238044,-0.05050855887619554,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No,0.694521,0.8997502675704602,0.20522926757046012,Yes,0.682717,1.0,0.317283,Yes,0.2282,0.0,-0.2282,No,0.8,0.0,-0.8,No,0.458412,0.5,0.041588000000000014,Yes
Pneumothorax,0.886252,0.8515240352389422,-0.03472796476105788,No,0.277599,0.003883495145631,-0.27371550485436896,No,0.830119,0.0019493177387914,-0.8281696822612087,No,0.789749,0.9542454513021762,0.16449645130217616,Yes,0.787684,0.9999065333208712,0.21222253332087115,Yes,0.166667,0.5,0.333333,Yes,0.831,0.0019493177387914,-0.8290506822612086,No,0.465026,0.5,0.034974000000000005,Yes
Pleural_Thickening,0.812256,0.7141973371335877,-0.0980586628664123,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No,0.663107,0.9707902247591866,0.30768322475918664,Yes,0.657618,1.0,0.34238199999999996,Yes,0.0742729,0.0,-0.0742729,No,0.83,0.0,-0.83,No,0.441709,0.5,0.05829099999999998,Yes
Pneumonia,0.765119,0.6286313577525741,-0.13648764224742593,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No,0.6968,0.9863093114520156,0.28950931145201564,Yes,0.696425,1.0,0.30357500000000004,Yes,0.0292288,0.0,-0.0292288,No,0.73,0.0,-0.73,No,0.51558,0.5,-0.015580000000000038,No
Fibrosis,0.826327,0.7204034194621112,-0.10592358053788886,No,0.0797738,0.0297619047619047,-0.05001189523809531,No,0.795252,0.0158227848101265,-0.7794292151898734,No,0.723782,0.9854620049946486,0.2616800049946486,Yes,0.722608,0.9993215125746336,0.2767135125746336,Yes,0.0419931,0.25,0.2080069,Yes,0.798,0.0158227848101265,-0.7821772151898736,No,0.585557,0.5,-0.085557,No
Edema,0.908537,0.7888262989157323,-0.11971070108426773,No,0.132596,0.0373443983402489,-0.09525160165975109,No,0.908511,0.0199556541019955,-0.8885553458980044,No,0.750156,0.9793078844095612,0.22915188440956114,Yes,0.746759,0.9989987712192236,0.2522397712192237,Yes,0.0714644,0.2903225806451613,0.21885818064516133,Yes,0.911,0.0199556541019955,-0.8910443458980045,No,0.413506,0.5,0.08649400000000002,Yes
Consolidation,0.812462,0.762281174487532,-0.05018082551246805,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No,0.724462,0.9597306457367106,0.23526864573671058,Yes,0.722326,1.0,0.277674,Yes,0.109814,0.0,-0.109814,No,0.774,0.0,-0.774,No,0.546624,0.5,-0.046624,No
