Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.8326029609893615,-0.08649803901063846,No,0.198765,0.2703639514731369,0.07159895147313691,Yes,0.863322,0.2862385321100917,-0.5770834678899084,No,0.820225,0.962450945415626,0.14222594541562605,Yes,0.819083,0.9792952145893322,0.1602122145893322,Yes,0.112312,0.2561576354679803,0.14384563546798032,Yes,0.865,0.2862385321100917,-0.5787614678899082,No,0.489469,0.1,-0.38946899999999995,No
Emphysema,0.916227,0.8394982928542463,-0.07672870714575375,No,0.184152,0.3081032947462155,0.1239512947462155,Yes,0.864245,0.3432539682539682,-0.5209910317460318,No,0.82103,0.9653496254013556,0.14431962540135557,Yes,0.819995,0.9796532846715328,0.15965828467153276,Yes,0.103055,0.2794830371567043,0.1764280371567043,Yes,0.866,0.3432539682539682,-0.5227460317460317,No,0.445399,0.2,-0.24539899999999998,No
Effusion,0.888239,0.8326615321378813,-0.0555774678621187,No,0.497818,0.4653875671527245,-0.03243043284727548,No,0.838296,0.5759878419452887,-0.2623081580547113,No,0.799491,0.8446753478415983,0.045184347841598305,Yes,0.794271,0.8804062247372676,0.08613522473726765,Yes,0.354027,0.3904197785217615,0.03639277852176154,Yes,0.839,0.5759878419452887,-0.26301215805471123,No,0.484694,0.15,-0.33469400000000005,No
Hernia,0.82202,0.6587263678172768,-0.1632936321827232,No,0.0142476,0.0041984046062496,-0.010049195393750399,No,0.695652,0.8974358974358975,0.20178389743589742,Yes,0.802127,0.2595879414912593,-0.5425390585087407,No,0.802346,0.2584766584766584,-0.5438693415233415,No,0.00719748,0.002104124083203,-0.005093355916797,No,0.717,0.8974358974358975,0.1804358974358975,Yes,0.581222,0.95,0.36877799999999994,Yes
Infiltration,0.715871,0.6445374581029077,-0.07133354189709229,No,0.402838,0.3463810075275043,-0.05645699247249569,No,0.665575,0.7509415013808687,0.08536650138086865,Yes,0.648673,0.4966107741705315,-0.15206222582946854,No,0.645026,0.4416788677403611,-0.2033471322596389,No,0.288003,0.2251072476857078,-0.0628957523142922,No,0.666,0.7509415013808687,0.08494150138086864,Yes,0.476786,0.1,-0.37678599999999995,No
Mass,0.869582,0.7634314913586527,-0.10615050864134723,No,0.308678,0.3011253395421032,-0.00755266045789682,No,0.757089,0.3433628318584071,-0.4137261681415929,No,0.821655,0.919684266856939,0.09802926685693902,Yes,0.825244,0.9502676810369118,0.12502368103691186,Yes,0.193864,0.2681409813407049,0.0742769813407049,Yes,0.758,0.3433628318584071,-0.4146371681415929,No,0.585565,0.15,-0.435565,No
Nodule,0.792307,0.679465871074601,-0.11284112892539899,No,0.228502,0.1970680124969959,-0.03143398750300411,No,0.703614,0.3233438485804416,-0.3802701514195584,No,0.735723,0.8510078487334998,0.11528484873349976,Yes,0.737614,0.8826337681981471,0.1450197681981471,Yes,0.136427,0.1417213964742482,0.005294396474248203,Yes,0.7,0.3233438485804416,-0.3766561514195584,No,0.485297,0.15,-0.33529699999999996,No
Atelectasis,0.818337,0.7537529394354591,-0.06458406056454091,No,0.345336,0.3171275646743978,-0.028208435325602188,No,0.799911,0.6325622775800712,-0.16734872241992882,No,0.694521,0.7268997502675705,0.03237875026757042,Yes,0.682717,0.7374107850911975,0.05469378509119749,Yes,0.2282,0.2116071428571428,-0.016592857142857187,No,0.8,0.6325622775800712,-0.16743772241992882,No,0.458412,0.1,-0.35841199999999995,No
Pneumothorax,0.886252,0.8338589239817096,-0.05239307601829046,No,0.277599,0.3417296389588581,0.06413063895885812,Yes,0.830119,0.3966861598440546,-0.43343284015594546,No,0.789749,0.930074919728862,0.140325919728862,Yes,0.787684,0.9556500607533416,0.16796606075334153,Yes,0.166667,0.3001474926253687,0.1334804926253687,Yes,0.831,0.3966861598440546,-0.4343138401559454,No,0.465026,0.2,-0.265026,No
Pleural_Thickening,0.812256,0.7052800764726365,-0.10697592352736351,No,0.136327,0.1448118586088939,0.008484858608893892,Yes,0.828691,0.1938931297709923,-0.6347978702290077,No,0.663107,0.933107384944702,0.270000384944702,Yes,0.657618,0.9553493499931096,0.2977313499931096,Yes,0.0742729,0.1155595996360327,0.041286699636032695,Yes,0.83,0.1938931297709923,-0.6361068702290077,No,0.441709,0.2,-0.241709,No
Pneumonia,0.765119,0.6263123315609509,-0.1388066684390491,No,0.056197,0.0461309523809523,-0.010066047619047697,No,0.726619,0.1009771986970684,-0.6256418013029317,No,0.6968,0.942829111666072,0.246029111666072,Yes,0.696425,0.9545146267576976,0.25808962675769764,Yes,0.0292288,0.0298939247830279,0.000665124783027899,Yes,0.73,0.1009771986970684,-0.6290228013029315,No,0.51558,0.15,-0.36558,No
Fibrosis,0.826327,0.7148975798897472,-0.11142942011025281,No,0.0797738,0.0897435897435897,0.009969789743589696,Yes,0.795252,0.1329113924050632,-0.6623406075949367,No,0.723782,0.9620049946485908,0.23822299464859076,Yes,0.722608,0.973855617875882,0.251247617875882,Yes,0.0419931,0.0677419354838709,0.025748835483870906,Yes,0.798,0.1329113924050632,-0.6650886075949368,No,0.585557,0.15,-0.43555699999999997,No
Edema,0.908537,0.819738455469891,-0.08879854453010905,No,0.132596,0.2,0.06740400000000002,Yes,0.908511,0.212860310421286,-0.695650689578714,No,0.750156,0.9657509810916874,0.2155949810916874,Yes,0.746759,0.9812042051608793,0.2344452051608793,Yes,0.0714644,0.1886051080550098,0.1171407080550098,Yes,0.911,0.212860310421286,-0.698139689578714,No,0.413506,0.15,-0.263506,No
Consolidation,0.812462,0.7054287750978815,-0.10703322490211853,No,0.192298,0.1577388963660834,-0.034559103633916594,No,0.772632,0.3244739756367663,-0.4481580243632337,No,0.724462,0.8604620049946486,0.1360000049946486,Yes,0.722326,0.8829515357093072,0.16062553570930715,Yes,0.109814,0.1041963015647226,-0.005617698435277402,No,0.774,0.3244739756367663,-0.44952602436323374,No,0.546624,0.15,-0.396624,No
