Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score
Cardiomegaly,0.919101,0.868589083160049,-0.05051191683995093,No,0.489469,0.25,-0.239469,No,0.820225,0.972841598287549,0.15261659828754903,Yes,0.819083,0.994012523424288,0.17492952342428802,Yes,0.863322,0.1229357798165137,-0.7403862201834863,No,0.112312,0.3383838383838384,0.2260718383838384,Yes,0.865,0.1229357798165137,-0.7420642201834863,No,0.198765,0.180349932705249,-0.01841506729475101,No
Emphysema,0.916227,0.7593433191403083,-0.15688368085969173,No,0.445399,0.25,-0.195399,No,0.82103,0.97752408134142,0.15649408134141995,Yes,0.819995,1.0,0.18000499999999997,Yes,0.864245,0.0,-0.864245,No,0.103055,0.0,-0.103055,No,0.866,0.0,-0.866,No,0.184152,0.0,-0.184152,No
Effusion,0.888239,0.8190602574525829,-0.06917874254741707,No,0.484694,0.35,-0.13469400000000004,No,0.799491,0.882625758116304,0.083134758116304,Yes,0.794271,1.0,0.20572900000000005,Yes,0.838296,0.0,-0.838296,No,0.354027,0.0,-0.354027,No,0.839,0.0,-0.839,No,0.497818,0.0,-0.497818,No
Hernia,0.82202,0.743948843948844,-0.078071156051156,No,0.581222,0.15,-0.431222,No,0.802127,0.0017392079914377,-0.8003877920085624,No,0.802346,0.0,-0.802346,No,0.695652,1.0,0.30434799999999995,Yes,0.00719748,0.0017392079914377,-0.0054582720085623,No,0.717,1.0,0.28300000000000003,Yes,0.0142476,0.0034723767974001,-0.010775223202599899,No
Infiltration,0.715871,0.6730384542090884,-0.04283254579091167,No,0.476786,0.45,-0.026785999999999976,No,0.648673,0.8214859079557617,0.17281290795576165,Yes,0.645026,0.997559785261103,0.352533785261103,Yes,0.665575,0.0062766758724579,-0.6592983241275421,No,0.288003,0.3571428571428571,0.06913985714285709,Yes,0.666,0.0062766758724579,-0.6597233241275421,No,0.402838,0.0123365408339501,-0.3905014591660499,No
Mass,0.869582,0.6946270543615677,-0.17495494563843228,No,0.585565,0.35,-0.23556500000000002,No,0.821655,0.949607563325009,0.12795256332500893,Yes,0.825244,1.0,0.17475600000000002,Yes,0.757089,0.0,-0.757089,No,0.193864,0.0,-0.193864,No,0.758,0.0,-0.758,No,0.308678,0.0,-0.308678,No
Nodule,0.792307,0.6075184203212071,-0.18478857967879292,No,0.485297,0.35,-0.135297,No,0.735723,0.9434534427399216,0.20773044273992158,Yes,0.737614,1.0,0.262386,Yes,0.703614,0.0,-0.703614,No,0.136427,0.0,-0.136427,No,0.7,0.0,-0.7,No,0.228502,0.0,-0.228502,No
Atelectasis,0.818337,0.7264933575637592,-0.09184364243624077,No,0.458412,0.35,-0.10841200000000001,No,0.694521,0.8997502675704602,0.20522926757046012,Yes,0.682717,1.0,0.317283,Yes,0.799911,0.0,-0.799911,No,0.2282,0.0,-0.2282,No,0.8,0.0,-0.8,No,0.345336,0.0,-0.345336,No
Pneumothorax,0.886252,0.7929167379509516,-0.0933352620490484,No,0.465026,0.25,-0.215026,No,0.789749,0.9542008562254728,0.16445185622547276,Yes,0.787684,0.9999065333208712,0.21222253332087115,Yes,0.830119,0.0009746588693957,-0.8291443411306043,No,0.166667,0.3333333333333333,0.1666663333333333,Yes,0.831,0.0009746588693957,-0.8300253411306042,No,0.277599,0.0019436345966958,-0.2756553654033042,No
Pleural_Thickening,0.812256,0.7078171950518614,-0.10443880494813862,No,0.441709,0.25,-0.19170900000000002,No,0.663107,0.9707902247591866,0.30768322475918664,Yes,0.657618,1.0,0.34238199999999996,Yes,0.828691,0.0,-0.828691,No,0.0742729,0.0,-0.0742729,No,0.83,0.0,-0.83,No,0.136327,0.0,-0.136327,No
Pneumonia,0.765119,0.6710539551355473,-0.09406504486445266,No,0.51558,0.25,-0.26558000000000004,No,0.6968,0.9863093114520156,0.28950931145201564,Yes,0.696425,1.0,0.30357500000000004,Yes,0.726619,0.0,-0.726619,No,0.0292288,0.0,-0.0292288,No,0.73,0.0,-0.73,No,0.056197,0.0,-0.056197,No
Fibrosis,0.826327,0.6884707093829371,-0.13785629061706295,No,0.585557,0.25,-0.335557,No,0.723782,0.985907955761684,0.26212595576168396,Yes,0.722608,1.0,0.27739199999999997,Yes,0.795252,0.0,-0.795252,No,0.0419931,0.0,-0.0419931,No,0.798,0.0,-0.798,No,0.0797738,0.0,-0.0797738,No
Edema,0.908537,0.8594206980286125,-0.0491163019713875,No,0.413506,0.25,-0.16350599999999998,No,0.750156,0.974759186585801,0.22460318658580092,Yes,0.746759,0.9942201793109724,0.24746117931097245,Yes,0.908511,0.0266075388026607,-0.8819034611973393,No,0.0714644,0.0863309352517985,0.014866535251798499,Yes,0.911,0.0266075388026607,-0.8843924611973394,No,0.132596,0.0406779661016949,-0.0919180338983051,No
Consolidation,0.812462,0.7532709430120612,-0.059191056987938806,No,0.546624,0.25,-0.296624,No,0.724462,0.9559400642169104,0.2314780642169103,Yes,0.722326,0.9954927744993264,0.27316677449932636,Yes,0.772632,0.0132890365448504,-0.7593429634551496,No,0.109814,0.110091743119266,0.0002777431192660107,Yes,0.774,0.0132890365448504,-0.7607109634551497,No,0.192298,0.0237154150197628,-0.1685825849802372,No
