Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.8676467024011547,0.3,0.9673118087763111,0.9837743955391014,0.30642201834862387,0.31992337164750956,0.30642201834862387,0.31302717900656046,167,355,21524,378
Emphysema,0.8739062862066969,0.25,0.9664199072422405,0.9788321167883212,0.42658730158730157,0.3166421207658321,0.42658730158730157,0.36348267117497884,215,464,21456,289
Effusion,0.8532629736800721,0.2,0.858232251159472,0.8932396928051738,0.5949848024316109,0.42565914650720305,0.5949848024316109,0.4962763428933608,1566,2113,17679,1066
Hernia,0.520003665458211,0.95,0.16932750624331075,0.16801429528702255,0.9230769230769231,0.0019292604501607716,0.9230769230769231,0.003850473287341569,36,18624,3761,3
Infiltration,0.6717937520455102,0.15,0.526578665715305,0.47942085570196846,0.744915892543309,0.23609453330150393,0.744915892543309,0.35854984894259817,2967,9600,8841,1016
Mass,0.81341856653293,0.25,0.9402871922939707,0.9744998591152437,0.29557522123893804,0.3808437856328392,0.29557522123893804,0.3328350772296961,334,543,20751,796
Nodule,0.688703207001258,0.2,0.9020246164823403,0.9407260351673284,0.25630914826498424,0.2058264724509183,0.25630914826498424,0.228310502283105,325,1254,19902,943
Atelectasis,0.7624307120471523,0.15,0.6716464502318944,0.6663858049167327,0.7188612099644128,0.19360249191326226,0.7188612099644128,0.30504955167531855,1616,6731,13445,632
Pneumothorax,0.8448692942281866,0.2,0.9090260435247949,0.9281708570894476,0.5097465886939572,0.2538834951456311,0.5097465886939572,0.338950097213221,523,1537,19861,503
Pleural_Thickening,0.7532640259154151,0.25,0.9447912950410274,0.966466075612109,0.22442748091603054,0.1676168757126568,0.22442748091603054,0.1919060052219321,147,730,21039,508
Pneumonia,0.6912926354497012,0.2,0.9305208704958973,0.9409956142333952,0.1758957654723127,0.039735099337748346,0.1758957654723127,0.06482593037214886,54,1305,20812,253
Fibrosis,0.7315915196515151,0.2,0.9286032821976454,0.9382576442916591,0.25316455696202533,0.05536332179930796,0.25316455696202533,0.09085746734809767,80,1365,20743,236
Edema,0.8642939434942482,0.25,0.9576792722083483,0.9713284485504938,0.2926829268292683,0.1732283464566929,0.2926829268292683,0.21764220939818632,132,630,21343,319
Consolidation,0.7689467132028913,0.2,0.9032732786300393,0.9277914595046699,0.31893687707641194,0.1563517915309446,0.31893687707641194,0.2098360655737705,288,1554,19967,615
