Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.9101307399202703,0.05,0.9542008562254727,0.9658576717400247,0.48623853211009177,0.2618577075098814,0.48623853211009177,0.340398201669878,265,747,21132,280
Emphysema,0.9091982208029197,0.15,0.9724848376739208,0.9840328467153284,0.47023809523809523,0.403747870528109,0.47023809523809523,0.4344637946837763,237,350,21570,267
Effusion,0.8732156083603826,0.15,0.8680877631109526,0.9039510913500404,0.598404255319149,0.45310701956271576,0.598404255319149,0.5157170923379175,1575,1901,17891,1057
Hernia,0.7698435880254062,0.5,0.9982607920085622,1.0,0.0,0.0,0.0,0.0,0,0,22385,39
Infiltration,0.7022258036816984,0.15,0.6864074206207634,0.7084214521989046,0.584484057243284,0.30214146658014274,0.584484057243284,0.39835728952772076,2328,5377,13064,1655
Mass,0.8577170975911617,0.1,0.922538351765965,0.94392786700479,0.5194690265486726,0.3295901179112858,0.5194690265486726,0.40329783579525935,587,1194,20100,543
Nodule,0.7511173568378631,0.1,0.8999286478772743,0.9331631688409907,0.34542586750788645,0.23650107991360692,0.34542586750788645,0.28076923076923077,438,1414,19742,830
Atelectasis,0.8022267480336738,0.15,0.8214859079557617,0.8531423473433782,0.5373665480427047,0.28961879645169025,0.5373665480427047,0.37638261411434804,1208,2963,17213,1040
Pneumothorax,0.8801475224862063,0.1,0.921780235462005,0.9387793251705767,0.5672514619883041,0.30761099365750527,0.5672514619883041,0.3989033584647019,582,1310,20088,444
Pleural_Thickening,0.7807519201441648,0.1,0.9456386014983946,0.9666038862602784,0.24885496183206107,0.18314606741573033,0.24885496183206107,0.21100323624595468,163,727,21042,492
Pneumonia,0.7418036945654285,0.1,0.9755618979664645,0.9883799792015192,0.05211726384364821,0.05860805860805861,0.05211726384364821,0.05517241379310345,16,257,21860,291
Fibrosis,0.7984805746473584,0.05,0.9405101676774884,0.9493848380676678,0.31962025316455694,0.08278688524590164,0.31962025316455694,0.13151041666666666,101,1119,20989,215
Edema,0.8869757815048767,0.05,0.9452372458080628,0.9551267464615665,0.4634146341463415,0.17489539748953975,0.4634146341463415,0.25394896719319565,209,986,20987,242
Consolidation,0.8042519750597205,0.35,0.8691580449518373,0.8854607127921565,0.4806201550387597,0.14970679544670576,0.4806201550387597,0.2283008942661757,434,2465,19056,469
