Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.8168940012437045,0.5,0.9752051373528362,0.9974404680287033,0.08256880733944955,0.44554455445544555,0.08256880733944955,0.1393188854489164
Emphysema,0.8493450208550574,0.5,0.977702461648234,0.9980383211678832,0.09325396825396826,0.5222222222222223,0.09325396825396826,0.15824915824915825
Effusion,0.8429908414532415,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.7351047805593262,0.5,0.0017392079914377453,0.0,1.0,0.0017392079914377453,1.0,0.003472376797400169
Infiltration,0.6739917220172066,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.7708971158937121,0.5,0.949696753478416,0.9999530384145768,0.002654867256637168,0.75,0.002654867256637168,0.005291005291005291
Nodule,0.6862191998093776,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7556019594296173,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8545714498103063,0.5,0.9544238316089904,0.99957939994392,0.012670565302144249,0.5909090909090909,0.012670565302144249,0.02480916030534351
Pleural_Thickening,0.7194172397964891,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.5838766265105666,0.5,0.9862201212986086,0.9999095718225799,0.0,0.0,0.0,0.0
Fibrosis,0.6984408244452435,0.5,0.9851944345344275,0.9991858150895604,0.006329113924050633,0.1,0.006329113924050633,0.011904761904761904
Edema,0.8121821146553274,0.5,0.9796200499464859,0.9993628544122332,0.017738359201773836,0.36363636363636365,0.017738359201773836,0.03382663847780127
Consolidation,0.7444340723009584,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
