Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.6286311577730899,-0.2904698422269101,No,0.198765,0.0608806231123827,-0.1378843768876173,No,0.863322,0.7027522935779816,-0.1605697064220184,No,0.820225,0.4730645736710667,-0.3471604263289333,No,0.819083,0.4673431144019379,-0.35173988559806213,No,0.112312,0.0318185594417213,-0.0804934405582787,No,0.865,0.7027522935779816,-0.16224770642201836,No,0.489469,0.1,-0.38946899999999995,No
Emphysema,0.916227,0.6261267071457537,-0.2901002928542463,No,0.184152,0.0556841191784784,-0.1284678808215216,No,0.864245,0.7638888888888888,-0.1003561111111112,No,0.82103,0.4176774884052801,-0.40335251159471996,No,0.819995,0.4097171532846715,-0.4102778467153285,No,0.103055,0.028895226658661,-0.074159773341339,No,0.866,0.7638888888888888,-0.10211111111111115,No,0.445399,0.1,-0.345399,No
Effusion,0.888239,0.7179672584237775,-0.1702717415762225,No,0.497818,0.2919055874116549,-0.20591241258834508,No,0.838296,0.8316869300911854,-0.006609069908814602,No,0.799491,0.5264002854084909,-0.273090714591509,No,0.794271,0.4858023443815683,-0.3084686556184317,No,0.354027,0.1770176289826945,-0.1770093710173055,No,0.839,0.8316869300911854,-0.007313069908814529,No,0.484694,0.1,-0.384694,No
Hernia,0.82202,0.7497339679157861,-0.07228603208421391,No,0.0142476,0.0100755667506297,-0.004172033249370299,No,0.695652,0.5128205128205128,-0.18283148717948727,No,0.802127,0.8247413485551195,0.022614348555119457,Yes,0.802346,0.8252847889211525,0.02293878892115253,Yes,0.00719748,0.0050877639277537,-0.0021097160722463003,No,0.717,0.5128205128205128,-0.2041794871794872,No,0.581222,0.85,0.26877799999999996,Yes
Infiltration,0.715871,0.6075797602094025,-0.10829123979059752,No,0.402838,0.3268734625307494,-0.07596453746925058,No,0.665575,0.6839066030630179,0.018331603063017843,Yes,0.648673,0.4996878344630753,-0.14898516553692476,No,0.645026,0.4598991377907923,-0.1851268622092077,No,0.288003,0.2147587511825922,-0.07324424881740782,No,0.666,0.6839066030630179,0.017906603063017834,Yes,0.476786,0.1,-0.37678599999999995,No
Mass,0.869582,0.6048115261185377,-0.26477047388146224,No,0.308678,0.1165678803274061,-0.1921101196725939,No,0.757089,0.7309734513274336,-0.02611554867256638,No,0.821655,0.4416696396717802,-0.37998536032821983,No,0.825244,0.4263172724711186,-0.39892672752888136,No,0.193864,0.0633338445023769,-0.1305301554976231,No,0.758,0.7309734513274336,-0.027026548672566375,No,0.585565,0.1,-0.485565,No
Nodule,0.792307,0.5302514466665831,-0.2620555533334169,No,0.228502,0.109073359073359,-0.11942864092664102,No,0.703614,0.6238170347003155,-0.0797969652996845,No,0.735723,0.4237424188369604,-0.3119805811630396,No,0.737614,0.4117508035545472,-0.3258631964454528,No,0.136427,0.0597612571773949,-0.07666574282260509,No,0.7,0.6238170347003155,-0.07618296529968449,No,0.485297,0.1,-0.385297,No
Atelectasis,0.818337,0.6094779529993707,-0.2088590470006293,No,0.345336,0.2100315418393221,-0.13530445816067788,No,0.799911,0.755338078291815,-0.044572921708185054,No,0.694521,0.4303870852657867,-0.2641339147342134,No,0.682717,0.3941812053925456,-0.28853579460745443,No,0.2282,0.1219739961209683,-0.10622600387903168,No,0.8,0.755338078291815,-0.04466192170818506,No,0.458412,0.1,-0.35841199999999995,No
Pneumothorax,0.886252,0.6906701806858486,-0.19558181931415142,No,0.277599,0.1382899628252788,-0.13930903717472118,No,0.830119,0.1812865497076023,-0.6488324502923978,No,0.789749,0.896628612201213,0.106879612201213,Yes,0.787684,0.93092812412375,0.14324412412374998,Yes,0.166667,0.1117788461538461,-0.054888153846153906,No,0.831,0.1812865497076023,-0.6497134502923977,No,0.465026,0.15,-0.31502600000000003,No
Pleural_Thickening,0.812256,0.608625754320434,-0.203630245679566,No,0.136327,0.0700389105058365,-0.06628808949416351,No,0.828691,0.7419847328244275,-0.0867062671755725,No,0.663107,0.4244559400642169,-0.23865105993578312,No,0.657618,0.4149019247553861,-0.24271607524461392,No,0.0742729,0.0367541405127429,-0.0375187594872571,No,0.83,0.7419847328244275,-0.08801526717557251,No,0.441709,0.1,-0.34170900000000004,No
