Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score
Cardiomegaly,0.919101,0.8827383805257523,-0.03636261947424768,No,0.489469,0.5,0.010531000000000013,Yes,0.820225,0.9725294327506244,0.15230443275062444,Yes,0.819083,0.9914529914529916,0.1723699914529916,Yes,0.863322,0.2128440366972477,-0.6504779633027523,No,0.112312,0.3828382838283828,0.27052628382838284,Yes,0.865,0.2128440366972477,-0.6521559633027523,No,0.198765,0.2735849056603773,0.0748199056603773,Yes
Emphysema,0.916227,0.8470310961215387,-0.0691959038784613,No,0.445399,0.5,0.05460100000000001,Yes,0.82103,0.9777470567249376,0.15671705672493752,Yes,0.819995,0.9966240875912408,0.17662908759124074,Yes,0.864245,0.1567460317460317,-0.7074989682539683,No,0.103055,0.5163398692810458,0.4132848692810458,Yes,0.866,0.1567460317460317,-0.7092539682539682,No,0.184152,0.2404870624048706,0.0563350624048706,Yes
Effusion,0.888239,0.8544955876986926,-0.033743412301307396,No,0.484694,0.5,0.015305999999999986,Yes,0.799491,0.8910542276132715,0.09156322761327151,Yes,0.794271,0.972766774454325,0.17849577445432507,Yes,0.838296,0.2765957446808511,-0.561700255319149,No,0.354027,0.574585635359116,0.22055863535911602,Yes,0.839,0.2765957446808511,-0.5624042553191488,No,0.497818,0.3734290843806104,-0.12438891561938958,No
Hernia,0.82202,0.8943866943866944,0.07236669438669441,Yes,0.581222,0.5,-0.08122200000000002,No,0.802127,0.9984391723153764,0.19631217231537634,Yes,0.802346,0.9998659816841636,0.19751998168416363,Yes,0.695652,0.1794871794871795,-0.5161648205128205,No,0.00719748,0.7,0.69280252,Yes,0.717,0.1794871794871795,-0.5375128205128205,No,0.0142476,0.2857142857142857,0.27146668571428567,Yes
Infiltration,0.715871,0.6843693296423033,-0.03150167035769669,No,0.476786,0.5,0.023214000000000012,Yes,0.648673,0.8202818408847663,0.17160884088476624,Yes,0.645026,0.9863890244563744,0.34136302445637445,Yes,0.665575,0.0512176751192568,-0.6143573248807432,No,0.288003,0.4483516483516483,0.1603486483516483,Yes,0.666,0.0512176751192568,-0.6147823248807432,No,0.402838,0.0919333032897701,-0.31090469671022986,No
Mass,0.869582,0.8055529996816586,-0.06402900031834136,No,0.585565,0.5,-0.085565,No,0.821655,0.9480021405636818,0.1263471405636818,Yes,0.825244,0.9903728749882597,0.16512887498825968,Yes,0.757089,0.1495575221238938,-0.6075314778761062,No,0.193864,0.4518716577540106,0.2580076577540106,Yes,0.758,0.1495575221238938,-0.6084424778761062,No,0.308678,0.2247340425531915,-0.08394395744680852,No
Nodule,0.792307,0.686522899888048,-0.10578410011195194,No,0.485297,0.5,0.014703000000000022,Yes,0.735723,0.9431858722797004,0.2074628722797004,Yes,0.737614,0.9979674796747968,0.26035347967479683,Yes,0.703614,0.029179810725552,-0.674434189274448,No,0.136427,0.4625,0.32607300000000006,Yes,0.7,0.029179810725552,-0.670820189274448,No,0.228502,0.0548961424332344,-0.1736058575667656,No
Atelectasis,0.818337,0.7620522696533847,-0.0562847303466153,No,0.458412,0.5,0.041588000000000014,Yes,0.694521,0.8995272921869426,0.20500629218694255,Yes,0.682717,0.9973731165741476,0.3146561165741476,Yes,0.799911,0.0213523131672597,-0.7785586868327403,No,0.2282,0.4752475247524752,0.24704752475247524,Yes,0.8,0.0213523131672597,-0.7786476868327403,No,0.345336,0.0408684546615581,-0.3044675453384419,No
Pneumothorax,0.886252,0.8468342352958967,-0.0394177647041033,No,0.465026,0.5,0.034974000000000005,Yes,0.789749,0.9536211202283268,0.16387212022832676,Yes,0.787684,0.9935507991401066,0.20586679914010653,Yes,0.830119,0.1208576998050682,-0.7092613001949318,No,0.166667,0.4732824427480916,0.3066154427480916,Yes,0.831,0.1208576998050682,-0.7101423001949317,No,0.277599,0.1925465838509316,-0.08505241614906839,No
Pleural_Thickening,0.812256,0.7381211604568301,-0.0741348395431699,No,0.441709,0.5,0.05829099999999998,Yes,0.663107,0.9707010346057796,0.3075940346057796,Yes,0.657618,0.9998162524691074,0.3421982524691074,Yes,0.828691,0.0030534351145038,-0.8256375648854961,No,0.0742729,0.3333333333333333,0.2590604333333333,Yes,0.83,0.0030534351145038,-0.8269465648854961,No,0.136327,0.0060514372163388,-0.1302755627836612,No
Pneumonia,0.765119,0.6545040522574717,-0.11061494774252834,No,0.51558,0.5,-0.015580000000000038,No,0.6968,0.985417409917945,0.28861740991794504,Yes,0.696425,0.9990052900483792,0.3025802900483793,Yes,0.726619,0.006514657980456,-0.720104342019544,No,0.0292288,0.0833333333333333,0.0541045333333333,Yes,0.73,0.006514657980456,-0.723485342019544,No,0.056197,0.0120845921450151,-0.044112407854984895,No
Fibrosis,0.826327,0.7089778486738292,-0.11734915132617085,No,0.585557,0.5,-0.085557,No,0.723782,0.9851944345344276,0.26141243453442753,Yes,0.722608,0.9990048851094626,0.2763968851094626,Yes,0.795252,0.0189873417721519,-0.7762646582278481,No,0.0419931,0.2142857142857142,0.17229261428571419,Yes,0.798,0.0189873417721519,-0.7790126582278482,No,0.0797738,0.0348837209302325,-0.044890079069767504,No
Edema,0.908537,0.8637211784710989,-0.04481582152890118,No,0.413506,0.5,0.08649400000000002,Yes,0.750156,0.9752943275062432,0.22513832750624319,Yes,0.746759,0.993400992126701,0.24664199212670102,Yes,0.908511,0.0931263858093126,-0.8153846141906873,No,0.0714644,0.2245989304812834,0.1531345304812834,Yes,0.911,0.0931263858093126,-0.8178736141906875,No,0.132596,0.1316614420062695,-0.0009345579937304893,No
Consolidation,0.812462,0.7823988704432144,-0.030063129556785584,No,0.546624,0.5,-0.046624,No,0.724462,0.9597306457367106,0.23526864573671058,Yes,0.722326,1.0,0.277674,Yes,0.772632,0.0,-0.772632,No,0.109814,0.0,-0.109814,No,0.774,0.0,-0.774,No,0.192298,0.0,-0.192298,No
