Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.6286311577730899,0.1,0.4730645736710667,0.46734311440193793,0.7027522935779816,0.03181855944172136,0.7027522935779816,0.06088062311238277,383,11654,10225,162
Emphysema,0.6261267071457537,0.1,0.4176774884052801,0.4097171532846715,0.7638888888888888,0.028895226658661063,0.7638888888888888,0.05568411917847845,385,12939,8981,119
Effusion,0.7179672584237775,0.1,0.5264002854084909,0.48580234438156833,0.8316869300911854,0.1770176289826945,0.8316869300911854,0.2919055874116549,2189,10177,9615,443
Hernia,0.7497339679157861,0.85,0.8247413485551195,0.8252847889211525,0.5128205128205128,0.005087763927753753,0.5128205128205128,0.010075566750629723,20,3911,18474,19
Infiltration,0.6075797602094025,0.1,0.4996878344630753,0.4598991377907923,0.6839066030630179,0.21475875118259224,0.6839066030630179,0.3268734625307494,2724,9960,8481,1259
Mass,0.6048115261185377,0.1,0.44166963967178025,0.4263172724711186,0.7309734513274336,0.06333384450237693,0.7309734513274336,0.11656788032740616,826,12216,9078,304
Nodule,0.5302514466665831,0.1,0.4237424188369604,0.4117508035545472,0.6238170347003155,0.059761257177394986,0.6238170347003155,0.10907335907335908,791,12445,8711,477
Atelectasis,0.6094779529993707,0.1,0.4303870852657867,0.3941812053925456,0.755338078291815,0.12197399612096832,0.755338078291815,0.21003154183932216,1698,12223,7953,550
Pneumothorax,0.6906701806858486,0.15,0.896628612201213,0.9309281241237499,0.18128654970760233,0.11177884615384616,0.18128654970760233,0.1382899628252788,186,1478,19920,840
Pleural_Thickening,0.608625754320434,0.1,0.4244559400642169,0.4149019247553861,0.7419847328244275,0.03675414051274295,0.7419847328244275,0.07003891050583658,486,12737,9032,169
Pneumonia,0.6367634135252571,0.15,0.9286032821976454,0.9396844056608039,0.13029315960912052,0.02911208151382824,0.13029315960912052,0.04759071980963712,40,1334,20783,267
Fibrosis,0.6082995473315118,0.1,0.32674812700677847,0.3197937398226886,0.8132911392405063,0.016802876757110168,0.8132911392405063,0.032925501249119214,257,15038,7070,59
Edema,0.7655719481568944,0.15,0.9307884409561185,0.9456605834433168,0.20620842572062084,0.07226107226107226,0.20620842572062084,0.10701956271576525,93,1194,20779,358
Consolidation,0.6803442855244071,0.1,0.5694791295041027,0.5628920589191952,0.7264673311184939,0.06518930736360926,0.7264673311184939,0.11964253146087908,656,9407,12114,247
