Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.911357461870144,-0.007743538129855954,No,0.198765,0.3417150225660864,0.14295002256608638,Yes,0.863322,0.4862385321100917,-0.3770834678899083,No,0.820225,0.954468426685694,0.134243426685694,Yes,0.819083,0.966131907308378,0.14704890730837794,Yes,0.112312,0.2634194831013916,0.15110748310139163,Yes,0.865,0.4862385321100917,-0.3787614678899083,No,0.489469,0.15,-0.339469,No
Emphysema,0.916227,0.909448544852856,-0.006778455147144036,No,0.184152,0.4355885078776645,0.2514365078776645,Yes,0.864245,0.4662698412698413,-0.39797515873015876,No,0.82103,0.972841598287549,0.15181159828754898,Yes,0.819995,0.9844890510948904,0.16449405109489035,Yes,0.103055,0.408695652173913,0.305640652173913,Yes,0.866,0.4662698412698413,-0.3997301587301587,No,0.445399,0.15,-0.29539899999999997,No
Effusion,0.888239,0.8751825021254481,-0.013056497874551876,No,0.497818,0.5280972724285244,0.030279272428524462,Yes,0.838296,0.6105623100303952,-0.22773368996960486,No,0.799491,0.8719229397074563,0.07243193970745632,Yes,0.794271,0.9066794664510912,0.11240846645109126,Yes,0.354027,0.4652576722640417,0.11123067226404171,Yes,0.839,0.6105623100303952,-0.22843768996960478,No,0.484694,0.3,-0.18469400000000002,No
Hernia,0.82202,0.7543272452363361,-0.06769275476366388,No,0.0142476,0.0,-0.0142476,No,0.695652,0.0,-0.695652,No,0.802127,0.9982607920085622,0.19613379200856218,Yes,0.802346,1.0,0.197654,Yes,0.00719748,0.0,-0.00719748,No,0.717,0.0,-0.717,No,0.581222,0.5,-0.08122200000000002,No
Infiltration,0.715871,0.7029074327782343,-0.012963567221765726,No,0.402838,0.4051188998185465,0.0022808998185465112,Yes,0.665575,0.5325131810193322,-0.13306181898066782,No,0.648673,0.7222172672136996,0.07354426721369955,Yes,0.645026,0.7631907163385934,0.11816471633859338,Yes,0.288003,0.3269112207151665,0.038908220715166475,Yes,0.666,0.5325131810193322,-0.13348681898066783,No,0.476786,0.2,-0.276786,No
Mass,0.869582,0.8605087976088657,-0.009073202391134294,No,0.308678,0.4042402826855124,0.09556228268551237,Yes,0.757089,0.5061946902654867,-0.2508943097345133,No,0.821655,0.9248127006778452,0.10315770067784513,Yes,0.825244,0.9470273316427162,0.12178333164271626,Yes,0.193864,0.3364705882352941,0.14260658823529407,Yes,0.758,0.5061946902654867,-0.2518053097345133,No,0.585565,0.15,-0.435565,No
Nodule,0.792307,0.7519277331739644,-0.04037926682603554,No,0.228502,0.2838874680306905,0.05538546803069047,Yes,0.703614,0.3501577287066246,-0.35345627129337537,No,0.735723,0.9001070281840885,0.16438402818408848,Yes,0.737614,0.9330686330119116,0.19545463301191157,Yes,0.136427,0.2387096774193548,0.10228267741935482,Yes,0.7,0.3501577287066246,-0.34984227129337536,No,0.485297,0.15,-0.33529699999999996,No
Atelectasis,0.818337,0.8037066629496727,-0.014630337050327236,No,0.345336,0.3787829482590302,0.03344694825903022,Yes,0.799911,0.5177935943060499,-0.28211740569395016,No,0.694521,0.8297359971459151,0.135214997145915,Yes,0.682717,0.86449246629659,0.18177546629659003,Yes,0.2282,0.2986146741918933,0.07041467419189332,Yes,0.8,0.5177935943060499,-0.28220640569395017,No,0.458412,0.2,-0.258412,No
Pneumothorax,0.886252,0.8842506049371177,-0.0020013950628823274,No,0.277599,0.4229418650019508,0.14534286500195082,Yes,0.830119,0.5282651072124757,-0.3018538927875244,No,0.789749,0.9340438815554762,0.1442948815554762,Yes,0.787684,0.953500327133377,0.1658163271333769,Yes,0.166667,0.3526350032530904,0.18596800325309037,Yes,0.831,0.5282651072124757,-0.3027348927875243,No,0.465026,0.15,-0.31502600000000003,No
Pleural_Thickening,0.812256,0.7836001120719674,-0.02865588792803253,No,0.136327,0.2132639791937581,0.07693697919375811,Yes,0.828691,0.250381679389313,-0.578309320610687,No,0.663107,0.9460399571887264,0.28293295718872635,Yes,0.657618,0.9669713813220636,0.3093533813220636,Yes,0.0742729,0.1857304643261608,0.1114575643261608,Yes,0.83,0.250381679389313,-0.579618320610687,No,0.441709,0.15,-0.291709,No
Pneumonia,0.765119,0.7447586635422307,-0.020360336457769246,No,0.056197,0.0681551116333725,0.0119581116333725,Yes,0.726619,0.0944625407166123,-0.6321564592833877,No,0.6968,0.9646361041740992,0.2678361041740992,Yes,0.696425,0.9767147443143284,0.2802897443143284,Yes,0.0292288,0.0533088235294117,0.0240800235294117,Yes,0.73,0.0944625407166123,-0.6355374592833877,No,0.51558,0.1,-0.41558000000000006,No
Fibrosis,0.826327,0.7946935698859227,-0.03163343011407738,No,0.0797738,0.1440922190201729,0.0643184190201729,Yes,0.795252,0.1582278481012658,-0.6370241518987342,No,0.723782,0.973510524438102,0.249728524438102,Yes,0.722608,0.9851637416319884,0.26255574163198836,Yes,0.0419931,0.1322751322751322,0.0902820322751322,Yes,0.798,0.1582278481012658,-0.6397721518987343,No,0.585557,0.15,-0.43555699999999997,No
