Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8680746608431443,-0.051026339156855616,No,0.198765,0.0251346499102333,-0.17363035008976668,No,0.863322,0.0128440366972477,-0.8504779633027524,No
Emphysema,0.916227,0.8751053162292898,-0.04112168377071024,No,0.184152,0.0462427745664739,-0.1379092254335261,No,0.864245,0.0238095238095238,-0.8404354761904762,No
Effusion,0.888239,0.8475512445696644,-0.04068775543033565,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.6710125255579801,-0.1510074744420199,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6787219483030633,-0.03714905169693672,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7696547326057197,-0.09992726739428026,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.6946927749576081,-0.09761422504239192,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7632322219274654,-0.055104778072534555,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8526773830860294,-0.03357461691397068,No,0.277599,0.0,-0.277599,No,0.830119,0.0,-0.830119,No
Pleural_Thickening,0.812256,0.7635434378812366,-0.0487125621187634,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.7173153317440164,-0.04780366825598359,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7762978290692641,-0.05002917093073589,No,0.0797738,0.0,-0.0797738,No,0.795252,0.0,-0.795252,No
Edema,0.908537,0.8770800447192649,-0.03145695528073511,No,0.132596,0.0,-0.132596,No,0.908511,0.0,-0.908511,No
Consolidation,0.812462,0.7676733940831852,-0.04478860591681477,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
