Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.7201149273464438,0.1,0.9377006778451659,0.9571735454088395,0.1559633027522936,0.08317025440313111,0.1559633027522936,0.10848755583918315,85,937,20942,460
Emphysema,0.7111063589821573,0.1,0.5450410274705673,0.5400091240875913,0.7638888888888888,0.036778754298815435,0.7638888888888888,0.07017863652934743,385,10083,11837,119
Effusion,0.7769347183351231,0.1,0.5625222975383518,0.5223827809215845,0.8643617021276596,0.19398021828103684,0.8643617021276596,0.3168523676880223,2275,9453,10339,357
Hernia,0.8143582870855597,0.05,0.9534873349982163,0.9546571364753182,0.28205128205128205,0.010721247563352826,0.28205128205128205,0.020657276995305163,11,1015,21370,28
Infiltration,0.6545099970247991,0.15,0.6266054227613271,0.6340220161596443,0.5922671353251318,0.25900307422046553,0.5922671353251318,0.3604002749980903,2359,6749,11692,1624
Mass,0.6351620091579248,0.1,0.5368355333571174,0.5301023762562224,0.6637168141592921,0.06972852361472666,0.6637168141592921,0.12619888944977284,750,10006,11288,380
Nodule,0.5891233173666195,0.2,0.46066714234748485,0.4471072036301758,0.6869085173501577,0.06930299172501592,0.6869085173501577,0.12590344030066494,871,11697,9459,397
Atelectasis,0.7101061151193342,0.15,0.8682215483410631,0.9426546391752577,0.2001779359430605,0.28002489110143125,0.2001779359430605,0.23346303501945526,450,1157,19019,1798
Pneumothorax,0.760544198351962,0.15,0.8505618979664645,0.8700813160108422,0.44346978557504874,0.14064914992272023,0.44346978557504874,0.21356489087068764,455,2780,18618,571
Pleural_Thickening,0.6719431897519373,0.15,0.8218872636460934,0.8360972024438421,0.34961832061068704,0.06031077166183829,0.34961832061068704,0.10287511230907458,229,3568,18201,426
Pneumonia,0.6539536775033693,0.1,0.8236264716375312,0.8302663109825021,0.34527687296416937,0.027461139896373058,0.34527687296416937,0.05087592992560595,106,3754,18363,201
Fibrosis,0.6815429806038481,0.2,0.9587941491259365,0.9715035281346119,0.06962025316455696,0.03374233128834356,0.06962025316455696,0.045454545454545456,22,630,21478,294
Edema,0.8325605311013123,0.1,0.7909828754905458,0.7924270695854002,0.720620842572062,0.06651657797789604,0.720620842572062,0.12179126850290425,325,4561,17412,126
Consolidation,0.7222487314793047,0.85,0.5374152693542633,0.5267877886715301,0.7906976744186046,0.0655166085520279,0.7906976744186046,0.12100669434793662,714,10184,11337,189
