iteration,avg_f1,avg_auc,avg_recall,avg_precision,Infiltration_f1,Infiltration_auc,Infiltration_precision,Infiltration_recall,Effusion_f1,Effusion_auc,Effusion_precision,Effusion_recall,Atelectasis_f1,Atelectasis_auc,Atelectasis_precision,Atelectasis_recall,Nodule_f1,Nodule_auc,Nodule_precision,Nodule_recall,Mass_f1,Mass_auc,Mass_precision,Mass_recall,Pneumonia_f1,Pneumonia_auc,Pneumonia_precision,Pneumonia_recall
17,0.005193482175132087,0.7705684025793665,0.07398523978506044,0.15813292039984875,0.0,0.6658200693329492,0.0,0.0,0.0,0.8388962727564236,0.0,0.0,0.0,0.7646143210212762,0.0,0.0,0.0,0.6885494930851663,0.0,0.0,0.0,0.7689153162093938,0.0,0.0,0.0,0.6614844742625059,0.0,0.0
18,0.00534641437672195,0.7801880603983522,0.07404668289334082,0.09893375295176936,0.0,0.6787219483030633,0.0,0.0,0.0,0.8475512445696644,0.0,0.0,0.0,0.7632322219274654,0.0,0.0,0.0,0.6946927749576081,0.0,0.0,0.0,0.7696547326057197,0.0,0.0,0.0,0.7173153317440164,0.0,0.0
19,0.029733477434674003,0.7517015097091588,0.08875940521469661,0.2198697091854682,0.0,0.6752345589791264,0.0,0.0,0.0,0.8332766873508808,0.0,0.0,0.0,0.7638426420453744,0.0,0.0,0.0031496062992125,0.6810460285110518,1.0,0.001577287066246,0.0,0.7686018787958883,0.0,0.0,0.0,0.6458641111919008,0.0,0.0
20,0.024613428296597722,0.7665263928104711,0.0852923511195611,0.17094530356743895,0.0,0.6747604029342046,0.0,0.0,0.0,0.840557239823035,0.0,0.0,0.0,0.7661418264821175,0.0,0.0,0.0,0.6874473082040996,0.0,0.0,0.0,0.7702138663847309,0.0,0.0,0.0,0.6495383818275299,0.0,0.0
21,0.019186752040695313,0.7595744705076893,0.08216963017230956,0.16470459976172255,0.0,0.6739924572061814,0.0,0.0,0.0015186028853454,0.8421815509720546,1.0,0.0007598784194528,0.0,0.7632003736337314,0.0,0.0,0.0,0.6893441383014447,0.0,0.0,0.0,0.773234618418417,0.0,0.0,0.0,0.6146926789553748,0.0,0.0
23,0.028291226750895213,0.7551423196219526,0.0875858297959373,0.1530774861813866,0.0,0.6675393768236005,0.0,0.0,0.0,0.8384668542968452,0.0,0.0,0.0,0.7678284411238044,0.0,0.0,0.0,0.680825923304901,0.0,0.0,0.0,0.7718228409515,0.0,0.0,0.0,0.6286313577525741,0.0,0.0
24,0.032692159220137955,0.7560684223419937,0.09118703836176985,0.24628151252574665,0.0,0.6677178439472362,0.0,0.0,0.0007595898214963,0.8345306671910667,1.0,0.0003799392097264,0.0,0.7566371888237602,0.0,0.0,0.0,0.6858406091626392,0.0,0.0,0.0,0.7763690341123969,0.0,0.0,0.0125786163522012,0.6178972090830539,0.1818181818181818,0.006514657980456
25,0.026919427605313323,0.7531404977700096,0.08680112009128739,0.1981465313724686,0.0,0.6739917220172066,0.0,0.0,0.0,0.8429908414532415,0.0,0.0,0.0,0.7556019594296173,0.0,0.0,0.0,0.6862191998093776,0.0,0.0,0.0052910052910052,0.7708971158937121,0.75,0.0026548672566371,0.0,0.5838766265105666,0.0,0.0
26,0.03418995300208098,0.7569524464925205,0.09157392558699384,0.2458307836893368,0.0,0.6762840616625866,0.0,0.0,0.0,0.8417095352455813,0.0,0.0,0.0,0.7534055405844934,0.0,0.0,0.0,0.6950941049007732,0.0,0.0,0.0017683465959328,0.7739865648306764,1.0,0.0008849557522123,0.0,0.6286528602182146,0.0,0.0
27,0.02544509642255063,0.7564423267682331,0.0858276034967711,0.16189987957335816,0.0,0.6758983597430231,0.0,0.0,0.0,0.8436874670586255,0.0,0.0,0.0,0.7589900269972992,0.0,0.0,0.0,0.6810628034018584,0.0,0.0,0.0,0.7720564852287113,0.0,0.0,0.0,0.6108620736123656,0.0,0.0
28,0.03265505939632548,0.756249403530075,0.09133051890684914,0.22164317971903194,0.0,0.6756305943881692,0.0,0.0,0.0007595898214963,0.8444269490850743,1.0,0.0003799392097264,0.0,0.7608448786797181,0.0,0.0,0.0,0.6847168033111994,0.0,0.0,0.0,0.7687323738208693,0.0,0.0,0.0,0.6121723985219852,0.0,0.0
30,0.005498311223207415,0.720693472371771,0.0742684168568598,0.07865129214135823,0.0005018820577164,0.665840443597779,0.5,0.0002510670348983,0.0,0.8021798762602188,0.0,0.0,0.0,0.7355287592848414,0.0,0.0,0.0,0.6070676976440001,0.0,0.0,0.0,0.6783633845921117,0.0,0.0,0.0,0.679509210640068,0.0,0.0
31,0.16720179546582542,0.7054847295593297,0.5211617109136041,0.11587434937894049,0.3706713454612614,0.6562300056678986,0.2931638913234005,0.5038915390409239,0.3764974329720479,0.7750898477908853,0.2690363606717756,0.6268996960486323,0.2780109783661608,0.7056918578255128,0.2181956411556006,0.3830071174377224,0.1061977415740022,0.5831653607600561,0.0561685055165496,0.9716088328075708,0.1377772823542526,0.636368880344374,0.078816477490116,0.5469026548672566,0.0479498705898379,0.6750878029620089,0.0250213249928916,0.5732899022801303
32,0.2385450327012448,0.7784941413219909,0.4579995667439512,0.1876912766033471,0.3954478325080358,0.6902101609841937,0.3023379383634431,0.5714285714285714,0.4710056275997064,0.8570164762926533,0.3473475279682425,0.7313829787234043,0.3416225030574806,0.7705706685085836,0.245940129133242,0.5591637010676157,0.2080413131685725,0.6755209013648349,0.1954261954261954,0.222397476340694,0.2843340234644582,0.8025389801938474,0.1921044451352191,0.5469026548672566,0.0671923208776139,0.7054006093445297,0.0375478927203065,0.3192182410423452
33,0.14922529383852898,0.6921451065821234,0.4743259471354735,0.1052566964123428,0.3584675451439726,0.6646449106005441,0.3486826489437455,0.3688174742656289,0.3583828232069438,0.7518594791607797,0.2562050947093403,0.5961246200607903,0.2307599662772491,0.6973810185668607,0.1334447694664995,0.8523131672597865,0.1174277726001863,0.5853243078456388,0.0628394103956555,0.8943217665615142,0.1229293809938971,0.5903419967068708,0.0735396383866481,0.3743362831858407,0.0509259259259259,0.6608351292555921,0.0270658191511174,0.4299674267100977
34,0.23911848983095577,0.7895707811021077,0.43193000519870406,0.18241507711211247,0.3959410300593529,0.6923711400587685,0.3199752436948785,0.5192066281697213,0.4470538001707942,0.8533517291841227,0.3108669833729216,0.7955927051671733,0.3313311373764774,0.7734675183121625,0.2935118434603501,0.3803380782918149,0.2630155510480054,0.7272955394297909,0.2301775147928994,0.306782334384858,0.2641652454045859,0.8064069732551692,0.1680733060043404,0.6168141592920354,0.0567619047619047,0.6967666330040166,0.0301436374671252,0.4853420195439739
35,0.18752574375158435,0.7498377878087341,0.3728024944908718,0.13745933712259054,0.3739779084779802,0.6809366710531581,0.2617732704086756,0.6545317599799146,0.4148787061994609,0.8211123457514381,0.2896281800391389,0.7310030395136778,0.3137136835766972,0.7455647640620193,0.2370875995449374,0.4635231316725978,0.1518105849582172,0.6456800108313606,0.1359102244389027,0.1719242902208202,0.1950277576635288,0.6981819217013228,0.1340856289412545,0.3575221238938053,0.0559210526315789,0.6960214105646916,0.0374037403740374,0.1107491856677524
36,0.18456281269980807,0.7509795003713968,0.44426288910307316,0.13292914602010883,0.3842829866345091,0.6752669345232394,0.3203753351206434,0.4800401707255837,0.4374322860238353,0.8212461748844517,0.3398569023569023,0.6136018237082067,0.3196110210696921,0.749864625459656,0.2514023457419684,0.4386120996441281,0.1586445899114362,0.6395929807594238,0.1049414161996943,0.3249211356466877,0.2056111438100843,0.7193994776874287,0.1320897403579531,0.463716814159292,0.053449951409135,0.6769026994283733,0.0314106225014277,0.1791530944625407
37,0.2274391335835746,0.7852170340360123,0.45260697776569875,0.1701631807868205,0.3486768243785084,0.6777110430407808,0.2215052302676266,0.8187296008034145,0.4547840610832737,0.8478376675172554,0.3314782608695652,0.7241641337386018,0.3316278188364601,0.7665597457674951,0.2888742159128425,0.3892348754448398,0.2291981845688351,0.7245635247967182,0.220203488372093,0.2389589905362776,0.2780403953588311,0.805160849663913,0.1835981838819523,0.5725663716814159,0.0523266679125397,0.6879029042909054,0.0277557494052339,0.4560260586319218
38,0.2531763713298209,0.7993071042717644,0.39933913803338983,0.20664384922239457,0.3836048344718865,0.6912397182630594,0.2736131934032983,0.6414762741652021,0.4608454608454608,0.8590970523535959,0.3310653833388649,0.7579787234042553,0.3569699066067104,0.7865116049053029,0.2920203735144312,0.4590747330960854,0.261963190184049,0.7294758092654655,0.2143574297188755,0.3367507886435331,0.3430308293530178,0.8244603781363481,0.3367433930093776,0.3495575221238938,0.067079463364293,0.7185970112456423,0.0398528510116492,0.2117263843648208
39,0.22406532760392647,0.7825376174364884,0.40517662703702534,0.17214118562831787,0.3931088488645262,0.6886642151381863,0.3007989347536617,0.5671604318353001,0.4706321088942756,0.8516544037473002,0.4621017942145734,0.479483282674772,0.3351574851027605,0.77345433362566,0.2306276150627615,0.6129893238434164,0.2479595802565099,0.7177756211481122,0.2444444444444444,0.251577287066246,0.2683961087553005,0.7861693143857883,0.1868704411253907,0.4761061946902655,0.0661608497723824,0.7109331495707092,0.036479250334672,0.3550488599348534
40,0.18779690311532085,0.739850963045838,0.4524350122838835,0.13514021112981242,0.3627229986475172,0.6734733116803843,0.2439362439362439,0.707004770273663,0.423780487804878,0.7930158776657175,0.3335514834205934,0.5809270516717325,0.2989482200647249,0.7326974911702288,0.1934554973821989,0.6574733096085409,0.1573725624358535,0.6521771124284496,0.0919877349686708,0.5441640378548895,0.2050084889643463,0.7141947625780165,0.1348408710217755,0.427433628318584,0.0442812398747164,0.6708573401243814,0.022899910634495,0.6677524429967426
41,0.14412213701647109,0.7095863599435497,0.4949028091359211,0.09977903817908386,0.3604002749980903,0.6545099970247991,0.2590030742204655,0.5922671353251318,0.3168523676880223,0.7769347183351231,0.1939802182810368,0.8643617021276596,0.2334630350194552,0.7101061151193342,0.2800248911014312,0.2001779359430605,0.1259034403006649,0.5891233173666195,0.0693029917250159,0.6869085173501577,0.1261988894497728,0.6351620091579248,0.0697285236147266,0.6637168141592921,0.0508759299256059,0.6539536775033693,0.027461139896373,0.3452768729641693
42,0.14392687781711036,0.7000829112898496,0.4447658710348013,0.09520512673725583,0.3321008403361344,0.663711098071037,0.2053200332502078,0.8681898066783831,0.3454106280193236,0.7596178159392638,0.2865731462925852,0.4346504559270516,0.2538707008627822,0.6839583021722013,0.1728633510381458,0.4777580071174377,0.1284370477568741,0.5840728450751604,0.0833333333333333,0.279968454258675,0.1231198968629136,0.6080206024215554,0.07006603081438,0.5070796460176992,0.0426770126091173,0.6654239174281754,0.025071225071225,0.1433224755700325
43,0.1515471085787436,0.7123579194475658,0.5202018728467414,0.10103524239318551,0.3706300711209055,0.6705146321462223,0.3083333333333333,0.464474014561888,0.3615898698557861,0.769545791428424,0.2614888926572833,0.5858662613981763,0.2444034764287595,0.7083226437421861,0.1434312210200927,0.8256227758007118,0.1327447580009459,0.5974797105831817,0.0829556650246305,0.3320189274447949,0.103638368246968,0.6463750227535114,0.0547868835842075,0.9566371681415928,0.039718129404228,0.6651488773282863,0.0204331450094161,0.7068403908794788
44,0.18885301310647631,0.7519208117743172,0.41411123017869045,0.13617314187344537,0.3460839777858515,0.6782761038409773,0.2181366134519759,0.8370574943509917,0.4128093158660844,0.8105235367272522,0.3345917885795186,0.5387537993920972,0.3054218800128328,0.7478764937941137,0.2010418133183162,0.6352313167259787,0.1461318051575931,0.6341597427372924,0.0839604891815616,0.5630914826498423,0.2124369747899159,0.7303936212036961,0.1712737127371273,0.279646017699115,0.0571631457482691,0.7025964521815357,0.0302290649643259,0.5244299674267101
45,0.15709053226127503,0.707067732603028,0.3982127093886521,0.11092996895604704,0.366724361748161,0.6618209612533218,0.3221820946588101,0.4255586241526488,0.3682144307567348,0.7640443419311601,0.2860147213459516,0.5167173252279635,0.2591613146958821,0.7133488204159271,0.1560935651224174,0.7629003558718861,0.1215778628201354,0.5807300566678177,0.0747376040535649,0.3257097791798107,0.1322934719815136,0.6170071589404469,0.0981989708404802,0.2026548672566371,0.0477257745550428,0.6727762142670626,0.0248694696345149,0.5895765472312704
46,0.20632903235368355,0.7682407685758575,0.4401469424733568,0.15045374928351335,0.3872230625500489,0.6870347028120419,0.2998897464167585,0.5463218679387396,0.4616368286445013,0.8438770623296878,0.3479182729375482,0.685790273556231,0.3032854397364327,0.760026116262301,0.1909206129738449,0.7370996441281139,0.1782661782661782,0.6642458262580573,0.1291121330031835,0.2878548895899053,0.1993437243642329,0.7453394990154693,0.1857798165137614,0.2150442477876106,0.0615202602780242,0.6936053287233618,0.0338321405335068,0.3387622149837133
47,0.22681944294279255,0.7848429136293965,0.4965229175257414,0.17700802970444954,0.3778705636743215,0.689215389035525,0.3933713664765009,0.3635450665327642,0.4497134953566489,0.8409348274486269,0.4685055578427336,0.432370820668693,0.3451094120748748,0.7721347405288974,0.2452229299363057,0.5822953736654805,0.2198898830006882,0.7179603126958934,0.140625,0.5039432176656151,0.2931906036277134,0.7957645013635483,0.2207792207792207,0.4362831858407079,0.05207798871216,0.7148924015146573,0.0271064227533716,0.6612377850162866
48,0.26663037708713777,0.7829063672165875,0.3731648209102719,0.22121629736891996,0.3779047619047619,0.6827827577981326,0.2712754320717567,0.6226462465478283,0.4952380952380952,0.852102759657889,0.4203551550490326,0.6025835866261399,0.3391608391608391,0.7704223628334006,0.2638476755687438,0.474644128113879,0.2278738555442523,0.6968498208888992,0.1998810232004759,0.2649842271293375,0.3339422725611984,0.8122436957188489,0.2843808338518979,0.4044247787610619,0.0664451827242525,0.6973432230929413,0.0445930880713489,0.1302931596091205
49,0.274612494353461,0.7763271950346751,0.3701119822798452,0.2291547247761146,0.3660931730693691,0.6605282812018319,0.2664075005716899,0.5849861913130806,0.4604505837855616,0.8303860625428469,0.4059147579008408,0.5319148936170213,0.3379599741768883,0.761172919412374,0.2651975683890577,0.4657473309608541,0.217479218153224,0.699627630973874,0.1520578071002199,0.3817034700315457,0.3226233852268963,0.8027954818798931,0.2578083642138697,0.4309734513274336,0.0554298642533936,0.6501824248566147,0.0335386721423682,0.1596091205211726
50,0.27175806936764774,0.8002247652961415,0.5232507375063629,0.20165658226604627,0.3611508322370302,0.696974246725036,0.2338518518518518,0.7926186291739895,0.5080016413623307,0.8718557880375356,0.3968796751442616,0.7055471124620061,0.3515877771120431,0.7885807297913592,0.2406101361325242,0.6525800711743772,0.2966202783300198,0.744299649799924,0.2991178829190056,0.2941640378548896,0.3837772397094431,0.8544479270823724,0.2916283348666053,0.5610619469026549,0.0964467005076142,0.7474100942883117,0.0651428571428571,0.1856677524429967
51,0.2539877918812934,0.7741984731734044,0.4207785175302291,0.2151849940547241,0.372760736196319,0.6957568690850218,0.2466509702037833,0.7627416520210897,0.502095099289488,0.8639247106073377,0.4823241162058103,0.5235562310030395,0.3530364372469635,0.7845038064498604,0.3239227340267459,0.3879003558718861,0.2449689440993789,0.7245921166661597,0.1788175553137468,0.388801261829653,0.361145703611457,0.821791131491608,0.3401094605160281,0.3849557522123893,0.0478632478632478,0.666204118193457,0.0503597122302158,0.0456026058631921
52,0.254783581845886,0.7695694991345066,0.46221060286978943,0.21063485545237515,0.3861378743744865,0.6972255588229259,0.2748245800552839,0.6490082852121516,0.49401936586292,0.8606526396560706,0.4937381404174573,0.4943009118541033,0.3298846000795861,0.7841432008644216,0.2124551512045105,0.7375444839857651,0.2411947027331642,0.7169643687899353,0.1876370013152126,0.3375394321766561,0.3338775510204081,0.801151867949009,0.3098484848484849,0.3619469026548672,0.0518238993710691,0.6461173542718257,0.0280806979280261,0.3355048859934853
53,0.2621193253182808,0.770136458326863,0.43098464469569386,0.2170064544804067,0.3946684550255679,0.696107213860741,0.29624968537629,0.5910118001506403,0.5066944879151452,0.8667303040527259,0.4671369028534787,0.5535714285714286,0.3504672897196261,0.7820679135705436,0.2474340175953079,0.6005338078291815,0.2594957983193277,0.7184809866677642,0.2261277094317516,0.3044164037854889,0.3543046357615894,0.8176695250895386,0.3328149300155521,0.3787610619469027,0.036979969183359,0.6156750912639753,0.0350877192982456,0.0390879478827361
54,0.25732711207367615,0.7675759851071525,0.43828263046648136,0.21270444305311087,0.3531342977326356,0.6944336582691613,0.2219070337180065,0.86417273412001,0.4837630387718953,0.8606730744422847,0.5018374846876276,0.4669452887537993,0.3487898089171974,0.7834680479044197,0.244377008211353,0.6089857651245552,0.2513536620119692,0.7255237754627932,0.1967871485943775,0.3477917981072555,0.3667392883079157,0.8058122442567645,0.3109605911330049,0.4469026548672566,0.0481099656357388,0.6520092507730946,0.0371024734982332,0.0684039087947882
55,0.256147689351936,0.7770150102131897,0.4384904642435342,0.2095963760045673,0.3824247355573637,0.6984140939102895,0.2619600557361821,0.7080090384132564,0.4966723711732268,0.8669684955298017,0.4971450323563,0.4962006079027355,0.3687310937748766,0.7929324480161766,0.2871311678651128,0.5151245551601423,0.2502685284640172,0.7253422897830328,0.1897394136807817,0.3675078864353312,0.3453012800499532,0.8104707504128879,0.2667631452001929,0.4893805309734513,0.0493666774926924,0.6621827152871779,0.0274170274170274,0.247557003257329
56,0.2719383767508687,0.7907304304984095,0.4438088205664593,0.23243499419173097,0.3744292237442922,0.698666202462902,0.4025411492925209,0.3499874466482551,0.4925704526046114,0.8625008792045172,0.4474092460440583,0.5478723404255319,0.3400089007565643,0.7848306345441256,0.2267062314540059,0.6797153024911032,0.2916804772953265,0.7457334369947031,0.2515723270440251,0.3470031545741325,0.362147406733394,0.8437587845178042,0.3726591760299625,0.3522123893805309,0.0792227204783258,0.7107567115307266,0.0514064015518913,0.1726384364820846
57,0.2697248443515384,0.7955239184972969,0.45776446495894907,0.2334378097667398,0.3663441805922017,0.6975344743384534,0.238984088127295,0.7843334170223449,0.5013720109760879,0.8591841953428113,0.5178137651821862,0.4859422492401216,0.359375,0.7891725744939196,0.2769749518304432,0.5115658362989324,0.2874642711310739,0.7442670505954565,0.2980524978831498,0.277602523659306,0.3825441039925719,0.8444095557267783,0.40234375,0.3646017699115044,0.0600150037509377,0.6708680177186208,0.0389863547758284,0.1302931596091205
58,0.27831535758572,0.7903619466860595,0.462596723517374,0.23225753508011077,0.3817589576547231,0.6906341880327219,0.2682058584214808,0.6620637710268642,0.4979606970708194,0.8670032413851778,0.4862418537291817,0.5102583586626139,0.3711093375897845,0.7952972472138421,0.3364688856729377,0.4137010676156583,0.2793962793962794,0.7242749966748439,0.2517394054395951,0.3138801261829653,0.4001626677511183,0.8451498240810699,0.3702031602708803,0.4353982300884956,0.0670835702103467,0.7203771503017931,0.040633608815427,0.1921824104234527
59,0.269022508324236,0.791259410346571,0.4462083782059314,0.22630341090091624,0.3656012876523338,0.6758675907229662,0.3372216330858961,0.3991965854883254,0.5070322236069076,0.8698333776902891,0.4770519262981574,0.541033434650456,0.3564889606892838,0.7843059148884831,0.2988263617213361,0.4417259786476868,0.2596701649175412,0.7223757248989482,0.2094823415578132,0.3414826498422713,0.3667914256549847,0.8210193822515128,0.2979546710889994,0.4769911504424778,0.0855555555555555,0.7319964347144643,0.0515740120562625,0.250814332247557
60,0.2677537272286193,0.7736050664161356,0.354143176951082,0.2224779779032368,0.3619107877254033,0.6557438415363881,0.2641727283223646,0.5744413758473512,0.4856115107913669,0.8303528140226747,0.4262342135476464,0.564209726443769,0.3411061285500747,0.75133962367818,0.2568662764520486,0.5075622775800712,0.2421441774491682,0.7064301287774818,0.198685540950455,0.3099369085173502,0.3579952267303102,0.8062162593476412,0.2911813643926789,0.4646017699115044,0.0647419072615923,0.6431173184834752,0.0442583732057416,0.1205211726384364
61,0.27695515280015215,0.7694797604852618,0.3359677769430354,0.24983062539047632,0.3574660633484163,0.6564690237723763,0.286188679245283,0.4760230981672106,0.4694416914436736,0.8201557789153089,0.4152542372881356,0.5398936170212766,0.3504885993485342,0.7477964706843125,0.276464542651593,0.4786476868327402,0.2456846950517836,0.7109520242596234,0.1933876811594203,0.3367507886435331,0.3539462978030919,0.7968286176420962,0.3275602409638554,0.3849557522123893,0.0472727272727272,0.6419649483300169,0.0534979423868312,0.0423452768729641
62,0.271501576051831,0.775344892289741,0.3515054102301631,0.23496696406474515,0.3597650513950073,0.6515107391436107,0.2664652567975831,0.5536028119507909,0.4670750382848392,0.8242093532617644,0.3912262698819908,0.5794072948328267,0.3366591567428387,0.7455031179358301,0.2637418053454362,0.4653024911032028,0.2403433476394849,0.7212511362192707,0.2198952879581152,0.2649842271293375,0.3560325684678016,0.8081559806202419,0.3059796437659033,0.4256637168141592,0.0565417488494411,0.643063194126469,0.0354200988467874,0.1400651465798045
63,0.27366702987248115,0.7579967835629493,0.3396269822181213,0.24093825914362482,0.3461832061068702,0.6456622631978436,0.2792057872864399,0.4554356013055485,0.4892803722785441,0.8225480406562597,0.4348596750369276,0.5592705167173252,0.3453357896499748,0.7423645121330865,0.2769272092398603,0.4586298932384341,0.254841997961264,0.7019831797797107,0.2238805970149253,0.2957413249211356,0.3415147265077138,0.7864292446831588,0.2828106852497096,0.4309734513274336,0.0414507772020725,0.6045203926585869,0.0344086021505376,0.0521172638436482
64,0.09271694609431591,0.475453086738053,0.6832266253236338,0.05279787819218253,0.3015818562988374,0.5736919323751942,0.1777817724249505,0.9932211900577456,0.2106267369032311,0.5484694124364515,0.1182194906178702,0.9646656534954408,0.182230869001297,0.4511673165820494,0.1002497324295397,1.0,0.1070900722097884,0.4558701456448208,0.0565743095524918,1.0,0.0960108755682059,0.4572448011862579,0.0504261680574769,1.0,0.0202020202020202,0.5172081581532857,0.026595744680851,0.01628664495114
