Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8382616484073581,-0.08083935159264188,No,0.198765,0.1383647798742138,-0.06040022012578619,No,0.863322,0.0807339449541284,-0.7825880550458716,No
Emphysema,0.916227,0.8647773107113892,-0.05144968928861082,No,0.184152,0.1060329067641681,-0.07811909323583191,No,0.864245,0.0575396825396825,-0.8067053174603176,No
Effusion,0.888239,0.8636085521183223,-0.024630447881677675,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.6883873702055521,-0.1336326297944479,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6952384723628101,-0.020632527637189924,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.8051295350138099,-0.06445246498619006,No,0.308678,0.0035304501323918,-0.3051475498676082,No,0.757089,0.0017699115044247,-0.7553190884955753,No
Nodule,0.792307,0.7210815979895182,-0.07122540201048178,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7906162866419635,-0.027720713358036497,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8674550480843248,-0.01879695191567521,No,0.277599,0.0451977401129943,-0.2324012598870057,No,0.830119,0.023391812865497,-0.8067271871345031,No
Pleural_Thickening,0.812256,0.7476750502062075,-0.06458094979379247,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.6349260572916996,-0.1301929427083004,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7248931024453029,-0.10143389755469712,No,0.0797738,0.0246153846153846,-0.055158415384615404,No,0.795252,0.0126582278481012,-0.7825937721518987,No
Edema,0.908537,0.8547502816145153,-0.053786718385484766,No,0.132596,0.0413223140495867,-0.0912736859504133,No,0.908511,0.0221729490022172,-0.8863380509977827,No
Consolidation,0.812462,0.7584341246848284,-0.054027875315171614,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
