Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.7944154903679999,-0.12468550963200009,No,0.198765,0.1768115942028985,-0.021953405797101505,No,0.863322,0.1119266055045871,-0.7513953944954129,No
Emphysema,0.916227,0.8315411923589386,-0.08468580764106137,No,0.184152,0.2771428571428571,0.09299085714285707,Yes,0.864245,0.1924603174603174,-0.6717846825396827,No
Effusion,0.888239,0.8395430063849444,-0.04869599361505561,No,0.497818,0.0759312320916905,-0.4218867679083095,No,0.838296,0.040273556231003,-0.798022443768997,No
Hernia,0.82202,0.7560276742094925,-0.06599232579050751,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6878021856433032,-0.028068814356696836,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7569468652518346,-0.11263513474816533,No,0.308678,0.132501948558067,-0.17617605144193302,No,0.757089,0.0752212389380531,-0.6818677610619469,No
Nodule,0.792307,0.6866241083959148,-0.10568289160408517,No,0.228502,0.023130300693909,-0.205371699306091,No,0.703614,0.0118296529968454,-0.6917843470031546,No
Atelectasis,0.818337,0.774306101855275,-0.04403089814472494,No,0.345336,0.0008892841262783,-0.34444671587372166,No,0.799911,0.0004448398576512,-0.7994661601423488,No
Pneumothorax,0.886252,0.8093031731117681,-0.0769488268882319,No,0.277599,0.2367409684857801,-0.04085803151421988,No,0.830119,0.1500974658869395,-0.6800215341130605,No
Pleural_Thickening,0.812256,0.6645232260035018,-0.1477327739964982,No,0.136327,0.0515603799185888,-0.0847666200814112,No,0.828691,0.0290076335877862,-0.7996833664122137,No
Pneumonia,0.765119,0.5708227889021945,-0.19429621109780548,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.6733934734662748,-0.15293352653372527,No,0.0797738,0.0120845921450151,-0.0676892078549849,No,0.795252,0.0063291139240506,-0.7889228860759494,No
Edema,0.908537,0.7226422712090821,-0.18589472879091795,No,0.132596,0.0553359683794466,-0.0772600316205534,No,0.908511,0.0310421286031042,-0.8774688713968958,No
Consolidation,0.812462,0.6658711573948504,-0.14659084260514965,No,0.192298,0.0309597523219814,-0.1613382476780186,No,0.772632,0.0166112956810631,-0.7560207043189369,No
