Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.8565821777910284,0.15,0.9485818765608277,0.9613327848621966,0.43669724770642204,0.21955719557195572,0.43669724770642204,0.2922038060159607,238,846,21033,307
Emphysema,0.8309727019609549,0.2,0.9681145201569746,0.9830748175182482,0.31746031746031744,0.3013182674199623,0.31746031746031744,0.30917874396135264,160,371,21549,344
Effusion,0.8194479040992892,0.15,0.835087406350339,0.8688358932902183,0.581306990881459,0.37081919534658264,0.581306990881459,0.4527966854098846,1530,2596,17196,1102
Hernia,0.6154275699730246,0.95,0.28264359614698537,0.28143846325664507,0.9743589743589743,0.002356881473671153,0.9743589743589743,0.004702388318277441,38,16085,6300,1
Infiltration,0.6504362128057857,0.15,0.5795130217623974,0.56374383167941,0.6525232237007281,0.24417512213453588,0.6525232237007281,0.35537020578382444,2599,8045,10396,1384
Mass,0.7777863804752845,0.15,0.9205761683910096,0.9505494505494505,0.35575221238938054,0.27628865979381445,0.35575221238938054,0.31102514506769824,402,1053,20241,728
Nodule,0.6808950358550243,0.15,0.8461023902961113,0.8761107959916808,0.34542586750788645,0.14318404707420726,0.34542586750788645,0.20244973422694706,438,2621,18535,830
Atelectasis,0.732223470823303,0.15,0.7762219051016768,0.8057097541633624,0.5115658362989324,0.22682445759368836,0.5115658362989324,0.31429352282044276,1150,3920,16256,1098
Pneumothorax,0.841093117408907,0.2,0.9233410631466286,0.9459762594635013,0.4512670565302144,0.2859789993823348,0.4512670565302144,0.3500945179584121,463,1156,20242,563
Pleural_Thickening,0.6858938703717276,0.15,0.8872636460934713,0.905094400293996,0.29465648854961835,0.08543603364320496,0.29465648854961835,0.13246396705559368,193,2066,19703,462
Pneumonia,0.6481071423679722,0.05,0.8810203353549768,0.8897680517249175,0.250814332247557,0.03061630218687873,0.250814332247557,0.05457122608079376,77,2438,19679,230
Fibrosis,0.7242849687265965,0.49999999999999994,0.9759632536567963,0.9890085037090646,0.06329113924050633,0.07604562737642585,0.06329113924050633,0.0690846286701209,20,243,21865,296
Edema,0.8591761931570322,0.2,0.9643239386371745,0.9787921540071907,0.25942350332594233,0.2006861063464837,0.25942350332594233,0.2263056092843327,117,466,21507,334
Consolidation,0.6967226839601363,0.2,0.8781216553692472,0.9026067561916268,0.29457364341085274,0.1126164267569856,0.29457364341085274,0.16294027565084226,266,2096,19425,637
