Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.5340217317011705,0.1,0.899393506956832,0.9194204488322135,0.09541284403669725,0.02865013774104683,0.09541284403669725,0.04406779661016949,52,1763,20116,493
Emphysema,0.6882338644855752,0.1,0.6072065643952907,0.6052007299270074,0.6944444444444444,0.038871612616614835,0.6944444444444444,0.0736222128733698,350,8654,13266,154
Effusion,0.7619526222409104,0.1,0.6021227256510882,0.5714935327405012,0.8324468085106383,0.20530359820089955,0.8324468085106383,0.329374624173181,2191,8481,11311,441
Hernia,0.28734500552682374,0.5,0.9982607920085622,1.0,0.0,0.0,0.0,0.0,0,0,22385,39
Infiltration,0.6396625833862567,0.15,0.5596236175526222,0.5363591996095657,0.6673361787597288,0.23715203426124196,0.6673361787597288,0.34994404581660193,2658,8550,9891,1325
Mass,0.6550145414679112,0.1,0.5872279700321085,0.5841081994928149,0.6460176991150443,0.07615272272063425,0.6460176991150443,0.1362448674878686,730,8856,12438,400
Nodule,0.6765105267285891,0.2,0.7761327149482697,0.7963225562488183,0.4392744479495268,0.11446773530620633,0.4392744479495268,0.18161069448972939,557,4309,16847,711
Atelectasis,0.7147271713547119,0.15,0.7203442739921513,0.7399385408406027,0.5444839857651246,0.18915159944367177,0.5444839857651246,0.2807661429062966,1224,5247,14929,1024
Pneumothorax,0.7518434161652169,0.15,0.8907420620763468,0.9197121226282831,0.28654970760233917,0.14612326043737575,0.28654970760233917,0.1935483870967742,294,1718,19680,732
Pleural_Thickening,0.6855064927049777,0.15,0.8657688191223689,0.8827690752905508,0.300763358778626,0.07166242269916333,0.300763358778626,0.11574618096357227,197,2552,19217,458
Pneumonia,0.6258717519310613,0.1,0.7803692472351053,0.785956504046661,0.3778501628664495,0.023917525773195877,0.3778501628664495,0.04498739577273609,116,4734,17383,191
Fibrosis,0.6599394543014384,0.15,0.9433642525865145,0.9545865749954767,0.15822784810126583,0.04743833017077799,0.15822784810126583,0.072992700729927,50,1004,21104,266
Edema,0.724852098771088,0.1,0.7131198715661791,0.7152414326673645,0.6097560975609756,0.042100428658909984,0.6097560975609756,0.07876270943720463,275,6257,15716,176
Consolidation,0.5692560044496444,0.9,0.8499821619693186,0.8750058082802844,0.25359911406423036,0.07845152449468996,0.25359911406423036,0.11983254840397697,229,2690,18831,674
