Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.9051789009695108,0.5,0.9756956831965751,1.0,0.0,0.0,0.0,0.0
Emphysema,0.8776629572905805,0.5,0.9781484124152694,0.9996806569343065,0.041666666666666664,0.75,0.041666666666666664,0.07894736842105263
Effusion,0.8667031024631856,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.6279703097884917,0.5,0.0017392079914377453,0.0,1.0,0.0017392079914377453,1.0,0.003472376797400169
Infiltration,0.6929432259980576,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.8229420851442635,0.5,0.949607563325009,1.0,0.0,0.0,0.0,0.0
Nodule,0.6973775589536761,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7663801099258906,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8490499467349246,0.5,0.9542454513021762,1.0,0.0,0.0,0.0,0.0
Pleural_Thickening,0.7595611660113355,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.7199066734080333,0.5,0.9863093114520157,1.0,0.0,0.0,0.0,0.0
Fibrosis,0.7754185150916215,0.5,0.9859079557616839,1.0,0.0,0.0,0.0,0.0
Edema,0.891964266162978,0.5,0.9798876204067071,1.0,0.0,0.0,0.0,0.0
Consolidation,0.783408752212614,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
