Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.9085937627761697,0.3,0.9608901177310025,0.9739476210064445,0.43669724770642204,0.29455445544554454,0.43669724770642204,0.3518107908351811,238,570,21309,307
Emphysema,0.8709479275286757,0.3,0.9751605422761327,0.9897810218978103,0.3392857142857143,0.43291139240506327,0.3392857142857143,0.3804226918798665,171,224,21696,333
Effusion,0.8591841953428113,0.25,0.8865501248662148,0.9398241713823767,0.4859422492401216,0.5178137651821862,0.4859422492401216,0.5013720109760879,1279,1191,18601,1353
Hernia,0.6763119763119763,0.95,0.10274705672493757,0.10118382845655573,1.0,0.0019346197728061908,1.0,0.003861768491929894,39,20120,2265,0
Infiltration,0.6975344743384534,0.15,0.5180610060649304,0.4605498617211648,0.7843334170223449,0.238984088127295,0.7843334170223449,0.3663441805922017,3124,9948,8493,859
Mass,0.8444095557267783,0.25,0.9406885479843026,0.9712595097210481,0.36460176991150445,0.40234375,0.36460176991150445,0.38254410399257194,412,612,20682,718
Nodule,0.7442670505954565,0.2,0.9221815911523368,0.9608148988466629,0.277602523659306,0.29805249788314986,0.277602523659306,0.2874642711310739,352,829,20327,916
Atelectasis,0.7891725744939196,0.2,0.817160185515519,0.8512093576526566,0.5115658362989324,0.2769749518304432,0.5115658362989324,0.359375,1150,3002,17174,1098
Pneumothorax,0.8630253105216333,0.2,0.9108098465929362,0.9279839237311899,0.5526315789473685,0.2689753320683112,0.5526315789473685,0.3618379068283344,567,1541,19857,459
Pleural_Thickening,0.7690489908087661,0.2,0.9089368533713879,0.9248931967476687,0.3786259541984733,0.13170472650026555,0.3786259541984733,0.1954294720252167,248,1635,20134,407
Pneumonia,0.6708680177186208,0.2,0.9441223688904745,0.9554189085318986,0.13029315960912052,0.03898635477582846,0.13029315960912052,0.06001500375093773,40,986,21131,267
Fibrosis,0.7810035831006819,0.15,0.9442561541205851,0.9531843676497196,0.31962025316455694,0.08890845070422536,0.31962025316455694,0.13911845730027547,101,1035,21073,215
Edema,0.8738843771478059,0.3,0.9591955048162683,0.9740590724980658,0.23503325942350334,0.15680473372781065,0.23503325942350334,0.1881100266193434,106,570,21403,345
Consolidation,0.7890830625504061,0.2,0.807260078487335,0.8162724780447005,0.592469545957918,0.11918021831142793,0.592469545957918,0.19844213649851633,535,3954,17567,368
