Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.9083937469258572,0.1,0.959507670353193,0.9725307372366195,0.43669724770642204,0.2836710369487485,0.43669724770642204,0.3439306358381503,238,601,21278,307
Emphysema,0.9079854774939173,0.2,0.9724402425972173,0.9841240875912409,0.4642857142857143,0.4020618556701031,0.4642857142857143,0.430939226519337,234,348,21572,270
Effusion,0.8728045802485668,0.15,0.8691134498751338,0.905517380759903,0.5953647416413373,0.4559208612161769,0.5953647416413373,0.5163947932114022,1567,1870,17922,1065
Hernia,0.7485953849590214,0.5,0.9982607920085622,1.0,0.0,0.0,0.0,0.0,0,0,22385,39
Infiltration,0.6925146993207112,0.15,0.7462986086336069,0.811778103139743,0.443133316595531,0.33708938120702825,0.443133316595531,0.3829048703763966,1765,3471,14970,2218
Mass,0.8597901398956539,0.1,0.9289600428112736,0.952240067624683,0.4902654867256637,0.3526416295353278,0.4902654867256637,0.4102184376156979,554,1017,20277,576
Nodule,0.7487623485562858,0.1,0.8897163753121655,0.9205426356589147,0.3753943217665615,0.22067686601761707,0.3753943217665615,0.27795620437956203,476,1681,19475,792
Atelectasis,0.8022057693895145,0.1,0.8139939350695683,0.843080888183981,0.5529359430604982,0.28192333862553864,0.5529359430604982,0.3734414901607331,1243,3166,17010,1005
Pneumothorax,0.8803188552900774,0.15,0.9318141277202997,0.951397326852977,0.5233918128654971,0.34051997463538364,0.5233918128654971,0.41260084517864004,537,1040,20358,489
Pleural_Thickening,0.7827481757622278,0.1,0.9366749910809846,0.9559465294685102,0.2961832061068702,0.16825672159583693,0.2961832061068702,0.21460176991150443,194,959,20810,461
Pneumonia,0.7428453859317026,0.1,0.9788619336425258,0.9919066781209025,0.03908794788273615,0.06282722513089005,0.03908794788273615,0.04819277108433735,12,179,21938,295
Fibrosis,0.7963004685857458,0.05,0.9365858009275776,0.9452234485254206,0.3322784810126582,0.0797872340425532,0.3322784810126582,0.12867647058823528,105,1211,20897,211
Edema,0.8885142549972892,0.1,0.9614252586514449,0.9742866244936969,0.3348115299334812,0.21089385474860337,0.3348115299334812,0.258783204798629,151,565,21408,300
Consolidation,0.8042411689568658,0.35,0.8791473421334285,0.8968914083918034,0.45625692137320045,0.15659445077917142,0.45625692137320045,0.23316355404640635,412,2219,19302,491
