Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score
Cardiomegaly,0.919101,0.9019705125479544,-0.017130487452045595,No,0.489469,0.25,-0.239469,No,0.820225,0.9750267570460222,0.15480175704602217,Yes,0.819083,0.995840760546643,0.17675776054664294,Yes,0.863322,0.1394495412844036,-0.7238724587155965,No,0.112312,0.4550898203592814,0.3427778203592814,Yes,0.865,0.1394495412844036,-0.7255504587155964,No,0.198765,0.2134831460674157,0.0147181460674157,Yes
Emphysema,0.916227,0.838710706682308,-0.07751629331769205,No,0.445399,0.25,-0.195399,No,0.82103,0.97752408134142,0.15649408134141995,Yes,0.819995,0.9998631386861314,0.17986813868613138,Yes,0.864245,0.0059523809523809,-0.8582926190476191,No,0.103055,0.5,0.396945,Yes,0.866,0.0059523809523809,-0.8600476190476191,No,0.184152,0.0117647058823529,-0.1723872941176471,No
Effusion,0.888239,0.8481484701534254,-0.040090529846574574,No,0.484694,0.35,-0.13469400000000004,No,0.799491,0.8827595433464146,0.08326854334641465,Yes,0.794271,0.9999494745351656,0.20567847453516563,Yes,0.838296,0.0015197568389057,-0.8367762431610943,No,0.354027,0.8,0.44597300000000006,Yes,0.839,0.0015197568389057,-0.8374802431610943,No,0.497818,0.0030337504740235,-0.4947842495259765,No
Hernia,0.82202,0.6321443503261684,-0.18987564967383153,No,0.581222,0.15,-0.431222,No,0.802127,0.0017392079914377,-0.8003877920085624,No,0.802346,0.0,-0.802346,No,0.695652,1.0,0.30434799999999995,Yes,0.00719748,0.0017392079914377,-0.0054582720085623,No,0.717,1.0,0.28300000000000003,Yes,0.0142476,0.0034723767974001,-0.010775223202599899,No
Infiltration,0.715871,0.6907926552933203,-0.02507834470667969,No,0.476786,0.45,-0.026785999999999976,No,0.648673,0.8223778094898323,0.17370480948983225,Yes,0.645026,1.0,0.354974,Yes,0.665575,0.0,-0.665575,No,0.288003,0.0,-0.288003,No,0.666,0.0,-0.666,No,0.402838,0.0,-0.402838,No
Mass,0.869582,0.7972445393650296,-0.07233746063497037,No,0.585565,0.35,-0.23556500000000002,No,0.821655,0.9496521584017124,0.12799715840171233,Yes,0.825244,0.9998591152437306,0.17461511524373063,Yes,0.757089,0.0035398230088495,-0.7535491769911505,No,0.193864,0.5714285714285714,0.37756457142857136,Yes,0.758,0.0035398230088495,-0.7544601769911505,No,0.308678,0.0070360598065083,-0.3016419401934917,No
Nodule,0.792307,0.6885309847889763,-0.10377601521102364,No,0.485297,0.35,-0.135297,No,0.735723,0.9434534427399216,0.20773044273992158,Yes,0.737614,1.0,0.262386,Yes,0.703614,0.0,-0.703614,No,0.136427,0.0,-0.136427,No,0.7,0.0,-0.7,No,0.228502,0.0,-0.228502,No
Atelectasis,0.818337,0.7664412930446942,-0.051895706955305765,No,0.458412,0.35,-0.10841200000000001,No,0.694521,0.8997502675704602,0.20522926757046012,Yes,0.682717,1.0,0.317283,Yes,0.799911,0.0,-0.799911,No,0.2282,0.0,-0.2282,No,0.8,0.0,-0.8,No,0.345336,0.0,-0.345336,No
Pneumothorax,0.886252,0.8384220064289771,-0.04782999357102291,No,0.465026,0.25,-0.215026,No,0.789749,0.9542454513021762,0.16449645130217616,Yes,0.787684,0.9999532666604356,0.21226926666043555,Yes,0.830119,0.0009746588693957,-0.8291443411306043,No,0.166667,0.5,0.333333,Yes,0.831,0.0009746588693957,-0.8300253411306042,No,0.277599,0.0019455252918287,-0.2756534747081713,No
Pleural_Thickening,0.812256,0.7392632355205017,-0.07299276447949832,No,0.441709,0.25,-0.19170900000000002,No,0.663107,0.9707902247591866,0.30768322475918664,Yes,0.657618,1.0,0.34238199999999996,Yes,0.828691,0.0,-0.828691,No,0.0742729,0.0,-0.0742729,No,0.83,0.0,-0.83,No,0.136327,0.0,-0.136327,No
