Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.824439714509871,0.15,0.962361755262219,0.9810320398555693,0.21284403669724772,0.2184557438794727,0.21284403669724772,0.21561338289962825,116,415,21464,429
Emphysema,0.7784086794693548,0.15,0.9376114876917588,0.9527372262773722,0.27976190476190477,0.11979609175870858,0.27976190476190477,0.16775728732897086,141,1036,20884,363
Effusion,0.8438770623296878,0.15,0.8122547270781306,0.8290723524656427,0.685790273556231,0.3479182729375482,0.685790273556231,0.4616368286445013,1805,3383,16409,827
Hernia,0.8322021958385595,0.05,0.9757848733499822,0.9771275407639044,0.20512820512820512,0.015384615384615385,0.20512820512820512,0.028622540250447227,8,512,21873,31
Infiltration,0.6870347028120419,0.2,0.6928737067427756,0.724526869475625,0.5463218679387396,0.29988974641675853,0.5463218679387396,0.38722306255004896,2176,5080,13361,1807
Mass,0.7453394990154693,0.2,0.9129504102747057,0.9499859115243731,0.2150442477876106,0.18577981651376146,0.2150442477876106,0.19934372436423298,243,1065,20229,887
Nodule,0.6642458262580573,0.25,0.849937566892615,0.8836263944034789,0.28785488958990535,0.12911213300318358,0.28785488958990535,0.17826617826617827,365,2462,18694,903
Atelectasis,0.760026116262301,0.15,0.6604976810560114,0.6519627279936558,0.7370996441281139,0.1909206129738449,0.7370996441281139,0.3032854397364327,1657,7022,13154,591
Pneumothorax,0.825561273785038,0.15,0.8381644666428826,0.8480231797364239,0.6325536062378168,0.16636759805178158,0.6325536062378168,0.2634463162167648,649,3252,18146,377
Pleural_Thickening,0.7427293661867372,0.2,0.8920799143774527,0.9079884239055538,0.36335877862595417,0.10620258813029898,0.36335877862595417,0.1643646408839779,238,2003,19766,417
Pneumonia,0.6936053287233618,0.15,0.8584998216196932,0.8657141565311751,0.33876221498371334,0.03383214053350683,0.33876221498371334,0.06152026027802426,104,2970,19147,203
Fibrosis,0.7378401884420096,0.15,0.7765340706386015,0.7798082142210965,0.5474683544303798,0.034318587581829,0.5474683544303798,0.0645883890237073,173,4868,17240,143
Edema,0.8620595948081009,0.2,0.9499643239386372,0.9614071815409821,0.3924611973392461,0.17268292682926828,0.3924611973392461,0.23983739837398374,177,848,21125,274
Consolidation,0.7580012116214182,0.7999999999999999,0.6802978951123796,0.6787324009107384,0.717607973421927,0.08569161597460989,0.717607973421927,0.15310100413467218,648,6914,14607,255
