Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8521904670852323,-0.06691053291476767,No,0.198765,0.0767946577629382,-0.1219703422370618,No,0.863322,0.0422018348623853,-0.8211201651376148,No
Emphysema,0.916227,0.8826238178513497,-0.033603182148650323,No,0.184152,0.1234567901234567,-0.06069520987654331,No,0.864245,0.0694444444444444,-0.7948005555555556,No
Effusion,0.888239,0.8620007116565471,-0.026238288343452876,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.7472884200156928,-0.07473157998430713,No,0.0142476,0.0034728406055209,-0.010774759394479099,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.685265327590745,-0.030605672409255047,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.800884581721886,-0.06869741827811393,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.7094646506081009,-0.08284234939189905,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7786161824873498,-0.03972081751265022,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8680431092738442,-0.018208890726155835,No,0.277599,0.0077369439071566,-0.26986205609284336,No,0.830119,0.0038986354775828,-0.8262203645224172,No
Pleural_Thickening,0.812256,0.7683019378701907,-0.043954062129809235,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.6723377701560209,-0.09278122984397907,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7326018074675987,-0.0937251925324013,No,0.0797738,0.0062305295950155,-0.07354327040498451,No,0.795252,0.0031645569620253,-0.7920874430379746,No
Edema,0.908537,0.8590450606433636,-0.04949193935663643,No,0.132596,0.0339702760084925,-0.09862572399150749,No,0.908511,0.0177383592017738,-0.8907726407982262,No
Consolidation,0.812462,0.7631787499736923,-0.049283250026307734,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
