Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.8680746608431443,0.5,0.9757848733499822,0.9997714703597057,0.012844036697247707,0.5833333333333334,0.012844036697247707,0.025134649910233394
Emphysema,0.8751053162292898,0.5,0.9779254370317517,0.9998631386861314,0.023809523809523808,0.8,0.023809523809523808,0.046242774566473986
Effusion,0.8475512445696644,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.6710125255579801,0.5,0.0017392079914377453,0.0,1.0,0.0017392079914377453,1.0,0.003472376797400169
Infiltration,0.6787219483030633,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.7696547326057197,0.5,0.949607563325009,1.0,0.0,0.0,0.0,0.0
Nodule,0.6946927749576081,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7632322219274654,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8526773830860294,0.5,0.9542454513021762,1.0,0.0,0.0,0.0,0.0
Pleural_Thickening,0.7635434378812366,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.7173153317440164,0.5,0.9863093114520157,1.0,0.0,0.0,0.0,0.0
Fibrosis,0.7762978290692641,0.5,0.9859079557616839,1.0,0.0,0.0,0.0,0.0
Edema,0.8770800447192649,0.5,0.9798876204067071,1.0,0.0,0.0,0.0,0.0
Consolidation,0.7676733940831852,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
