Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.6547470638134426,0.05,0.48952015697467,0.4832487773664244,0.7412844036697248,0.034500426985482495,0.7412844036697248,0.06593227254181966,404,11306,10573,141
Emphysema,0.6909031126897232,0.15,0.9297181591152337,0.9477645985401459,0.14484126984126985,0.05993431855500821,0.14484126984126985,0.08478513356562137,73,1145,20775,431
Effusion,0.7518594791607797,0.1,0.7494648590795576,0.7698565076798707,0.5961246200607903,0.2562050947093403,0.5961246200607903,0.3583828232069438,1569,4555,15237,1063
Hernia,0.7294227476045657,0.5,0.9982607920085622,1.0,0.0,0.0,0.0,0.0,0,0,22385,39
Infiltration,0.6646449106005441,0.15,0.7655190866928291,0.8512011279214793,0.36881747426562894,0.34868264894374557,0.36881747426562894,0.35846754514397267,1469,2744,15697,2514
Mass,0.5903419967068708,0.1,0.7308241170174813,0.7497417112801729,0.3743362831858407,0.07353963838664812,0.3743362831858407,0.12292938099389712,423,5329,15965,707
Nodule,0.5853243078456388,0.15,0.23983232251159473,0.20060502930610702,0.8943217665615142,0.06283941039565555,0.8943217665615142,0.11742777260018639,1134,16912,4244,134
Atelectasis,0.6973810185668607,0.1,0.4303424901890831,0.3833267248215702,0.8523131672597865,0.13344476946649952,0.8523131672597865,0.23075996627724918,1916,12442,7734,332
Pneumothorax,0.763167300618538,0.15,0.8530146271851587,0.8731657164220955,0.4327485380116959,0.14059531348955034,0.4327485380116959,0.21223709369024857,444,2714,18684,582
Pleural_Thickening,0.6648081398753533,0.15,0.8428023546200499,0.8581009692682254,0.33435114503816793,0.06620314389359129,0.33435114503816793,0.1105223315669947,219,3089,18680,436
Pneumonia,0.6608351292555921,0.1,0.7805922226186229,0.7854591490708505,0.42996742671009774,0.02706581915111749,0.42996742671009774,0.05092592592592592,132,4745,17372,175
Fibrosis,0.667120256027373,0.1,0.5481626828398145,0.5460014474398408,0.6993670886075949,0.02154416065509846,0.6993670886075949,0.04180064308681672,221,10037,12071,95
Edema,0.8402030994902734,0.15,0.962272565108812,0.977972966822919,0.1973392461197339,0.15532286212914484,0.1973392461197339,0.173828125,89,484,21489,362
Consolidation,0.7292729298941727,0.85,0.759052800570817,0.7667859300218391,0.574750830564784,0.09371614301191766,0.574750830564784,0.16115510013972986,519,5019,16502,384
