Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.5411055635016779,-0.377995436498322,No,0.198765,0.0434983803794539,-0.1552666196205461,No,0.863322,0.0862385321100917,-0.7770834678899083,No,0.820225,0.9078219764537996,0.0875969764537996,Yes,0.819083,0.9282873988756342,0.10920439887563416,Yes,0.112312,0.0290841584158415,-0.0832278415841585,No,0.865,0.0862385321100917,-0.7787614678899083,No,0.489469,0.1,-0.38946899999999995,No
Emphysema,0.916227,0.6644504547561116,-0.25177654524388837,No,0.184152,0.0777364110201042,-0.10641558897989581,No,0.864245,0.5178571428571429,-0.34638785714285714,No,0.82103,0.7238226899750267,-0.09720731002497329,No,0.819995,0.728558394160584,-0.09143660583941604,No,0.103055,0.0420222186443406,-0.06103278135565939,No,0.866,0.5178571428571429,-0.3481428571428571,No,0.445399,0.1,-0.345399,No
Effusion,0.888239,0.7499859192901004,-0.1382530807098996,No,0.497818,0.3454845922037523,-0.15233340779624766,No,0.838296,0.6751519756838906,-0.16314402431610942,No,0.799491,0.6997413485551195,-0.09974965144488046,No,0.794271,0.7030113177041228,-0.09125968229587711,No,0.354027,0.2321358589157413,-0.12189114108425869,No,0.839,0.6751519756838906,-0.16384802431610934,No,0.484694,0.1,-0.384694,No
Hernia,0.82202,0.2934760571124207,-0.5285439428875793,No,0.0142476,0.0,-0.0142476,No,0.695652,0.0,-0.695652,No,0.802127,0.9982607920085622,0.19613379200856218,Yes,0.802346,1.0,0.197654,Yes,0.00719748,0.0,-0.00719748,No,0.717,0.0,-0.717,No,0.581222,0.5,-0.08122200000000002,No
Infiltration,0.715871,0.6529413828520685,-0.06292961714793155,No,0.402838,0.3609455004559164,-0.04189249954408358,No,0.665575,0.6459954807933719,-0.01957951920662815,No,0.648673,0.5936942561541206,-0.05497874384587942,No,0.645026,0.5823979176834229,-0.06262808231657713,No,0.288003,0.2504379988320031,-0.037565001167996936,No,0.666,0.6459954807933719,-0.020004519206628157,No,0.476786,0.15,-0.326786,No
Mass,0.869582,0.6367805630569415,-0.23280143694305844,No,0.308678,0.139912222369996,-0.168765777630004,No,0.757089,0.4654867256637168,-0.2916022743362832,No,0.821655,0.711603638958259,-0.11005136104174107,No,0.825244,0.7246642246642246,-0.10057977533577533,No,0.193864,0.0823290029738613,-0.11153499702613871,No,0.758,0.4654867256637168,-0.2925132743362832,No,0.585565,0.1,-0.485565,No
Nodule,0.792307,0.6413382963152499,-0.15096870368475013,No,0.228502,0.1596786341953301,-0.06882336580466991,No,0.703614,0.250788643533123,-0.45282535646687694,No,0.735723,0.8507402782732786,0.11501727827327857,Yes,0.737614,0.8866988088485536,0.14908480884855357,Yes,0.136427,0.1171270718232044,-0.019299928176795586,No,0.7,0.250788643533123,-0.44921135646687693,No,0.485297,0.2,-0.28529699999999997,No
Atelectasis,0.818337,0.6783554938957106,-0.1399815061042894,No,0.345336,0.2262573032420666,-0.11907869675793337,No,0.799911,0.87855871886121,0.07864771886120991,Yes,0.694521,0.3976097038886907,-0.29691129611130934,No,0.682717,0.34402260111023,-0.33869439888977004,No,0.2282,0.1298487836949375,-0.0983512163050625,No,0.8,0.87855871886121,0.07855871886120991,Yes,0.458412,0.1,-0.35841199999999995,No
Pneumothorax,0.886252,0.746356758123721,-0.139895241876279,No,0.277599,0.1702321347291761,-0.1073668652708239,No,0.830119,0.182261208576998,-0.647857791423002,No,0.789749,0.9187031751694612,0.12895417516946117,Yes,0.787684,0.954014393868586,0.16633039386858595,Yes,0.166667,0.1596925704526046,-0.006974429547395411,No,0.831,0.182261208576998,-0.648738791423002,No,0.465026,0.15,-0.31502600000000003,No
Pleural_Thickening,0.812256,0.6633999464887915,-0.14885605351120845,No,0.136327,0.0946135831381733,-0.04171341686182671,No,0.828691,0.1541984732824427,-0.6744925267175572,No,0.663107,0.9137977167320728,0.25069071673207277,Yes,0.657618,0.936653038724792,0.27903503872479196,Yes,0.0742729,0.0682432432432432,-0.006029656756756804,No,0.83,0.1541984732824427,-0.6758015267175572,No,0.441709,0.15,-0.291709,No
Pneumonia,0.765119,0.6334682343044151,-0.13165076569558487,No,0.056197,0.0512969979597784,-0.004900002040221597,No,0.726619,0.2866449511400651,-0.4399740488599349,No,0.6968,0.8548430253300036,0.15804302533000358,Yes,0.696425,0.8627300266763124,0.16630502667631242,Yes,0.0292288,0.028169014084507,-0.001059785915492998,No,0.73,0.2866449511400651,-0.4433550488599349,No,0.51558,0.1,-0.41558000000000006,No
Fibrosis,0.826327,0.6265871452684519,-0.1997398547315481,No,0.0797738,0.0415607383663092,-0.03821306163369081,No,0.795252,0.5949367088607594,-0.20031529113924051,No,0.723782,0.6133160899036746,-0.11046591009632545,No,0.722608,0.6135787950063325,-0.10902920499366753,No,0.0419931,0.0215324705073874,-0.020460629492612598,No,0.798,0.5949367088607594,-0.2030632911392406,No,0.585557,0.1,-0.485557,No
Edema,0.908537,0.7697418006355916,-0.13879519936440843,No,0.132596,0.0688836104513064,-0.06371238954869358,No,0.908511,0.0643015521064301,-0.8442094478935699,No,0.750156,0.965037459864431,0.21488145986443097,Yes,0.746759,0.9835252355163154,0.23676623551631548,Yes,0.0714644,0.0741687979539642,0.0027043979539641966,Yes,0.911,0.0643015521064301,-0.84669844789357,No,0.413506,0.15,-0.263506,No
Consolidation,0.812462,0.5639635612036825,-0.2484984387963175,No,0.192298,0.11605415860735,-0.07624384139265,No,0.772632,0.2325581395348837,-0.5400738604651163,No,0.724462,0.8573403496254014,0.13287834962540135,Yes,0.722326,0.8835555968588821,0.16122959685888205,Yes,0.109814,0.0773195876288659,-0.032494412371134096,No,0.774,0.2325581395348837,-0.5414418604651163,No,0.546624,0.9,0.353376,Yes
