Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8878066228309078,-0.031294377169092114,No,0.198765,0.0,-0.198765,No,0.863322,0.0,-0.863322,No
Emphysema,0.916227,0.7718818792723903,-0.14434512072760974,No,0.184152,0.0,-0.184152,No,0.864245,0.0,-0.864245,No
Effusion,0.888239,0.8332853546181198,-0.05495364538188019,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.5044363498908954,-0.3175836501091046,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.676071952836048,-0.039799047163951995,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7393928324152967,-0.13018916758470322,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.6270672629879406,-0.1652397370120594,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.753210978266698,-0.06512602173330195,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8119083973707623,-0.07434360262923778,No,0.277599,0.0,-0.277599,No,0.830119,0.0,-0.830119,No
Pleural_Thickening,0.812256,0.7286753451139814,-0.08358065488601862,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.7011728711343979,-0.06394612886560214,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7330172736600302,-0.09330972633996981,No,0.0797738,0.0,-0.0797738,No,0.795252,0.0,-0.795252,No
Edema,0.908537,0.8710272625454563,-0.03750973745454378,No,0.132596,0.0,-0.132596,No,0.908511,0.0,-0.908511,No
Consolidation,0.812462,0.7595572904324875,-0.052904709567512476,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
