Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8511482461293578,-0.06795275387064215,No,0.198765,0.1023102310231023,-0.0964547689768977,No,0.863322,0.0568807339449541,-0.806441266055046,No
Emphysema,0.916227,0.8702319853580118,-0.045995014641988186,No,0.184152,0.0602636534839924,-0.12388834651600761,No,0.864245,0.0317460317460317,-0.8324989682539683,No
Effusion,0.888239,0.8630874410741007,-0.025151558925899264,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.7572842391024209,-0.06473576089757904,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6761438584021678,-0.039727141597832194,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.8321595222718436,-0.03742247772815632,No,0.308678,0.0840197693574958,-0.2246582306425042,No,0.757089,0.0451327433628318,-0.7119562566371682,No
Nodule,0.792307,0.7441593185189427,-0.0481476814810573,No,0.228502,0.003147128245476,-0.225354871754524,No,0.703614,0.001577287066246,-0.7020367129337539,No
Atelectasis,0.818337,0.792621725964537,-0.02571527403546303,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8589040767687567,-0.027347923231243354,No,0.277599,0.0873521383075523,-0.1902468616924477,No,0.830119,0.0467836257309941,-0.7833353742690059,No
Pleural_Thickening,0.812256,0.7481436765426289,-0.06411232345737106,No,0.136327,0.0377358490566037,-0.0985911509433963,No,0.828691,0.0198473282442748,-0.8088436717557251,No
Pneumonia,0.765119,0.6544721667519157,-0.11064683324808433,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7502193632867877,-0.0761076367132123,No,0.0797738,0.0913705583756345,0.011596758375634494,Yes,0.795252,0.0569620253164556,-0.7382899746835444,No
Edema,0.908537,0.8341243834526609,-0.0744126165473391,No,0.132596,0.0498960498960499,-0.08269995010395009,No,0.908511,0.0266075388026607,-0.8819034611973393,No
Consolidation,0.812462,0.7606286383440769,-0.051833361655923116,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
