Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.8654409930178953,-0.0536600069821046,No,0.198765,0.2667660208643815,0.0680010208643815,Yes,0.863322,0.3284403669724771,-0.534881633027523,No,0.820225,0.9561184445237246,0.13589344452372465,Yes,0.819083,0.9717537364596188,0.15267073645961882,Yes,0.112312,0.2245922208281054,0.1122802208281054,Yes,0.865,0.3284403669724771,-0.5365596330275229,No,0.489469,0.15,-0.339469,No
Emphysema,0.916227,0.8132180240557293,-0.10300897594427072,No,0.184152,0.1849056603773584,0.0007536603773583839,Yes,0.864245,0.3888888888888889,-0.47535611111111115,No,0.82103,0.9229397074562968,0.1019097074562968,Yes,0.819995,0.9352189781021898,0.11522397810218976,Yes,0.103055,0.1212871287128712,0.018232128712871207,Yes,0.866,0.3888888888888889,-0.4771111111111111,No,0.445399,0.1,-0.345399,No
Effusion,0.888239,0.8516544037473002,-0.03658459625269983,No,0.497818,0.4706321088942756,-0.02718589110572439,No,0.838296,0.479483282674772,-0.358812717325228,No,0.799491,0.8733945772386729,0.07390357723867291,Yes,0.794271,0.925778092158448,0.13150709215844802,Yes,0.354027,0.4621017942145734,0.10807479421457344,Yes,0.839,0.479483282674772,-0.35951671732522794,No,0.484694,0.15,-0.33469400000000005,No
Hernia,0.82202,0.7733864824773916,-0.04863351752260836,No,0.0142476,0.0,-0.0142476,No,0.695652,0.0,-0.695652,No,0.802127,0.9982607920085622,0.19613379200856218,Yes,0.802346,1.0,0.197654,Yes,0.00719748,0.0,-0.00719748,No,0.717,0.0,-0.717,No,0.581222,0.5,-0.08122200000000002,No
Infiltration,0.715871,0.6886642151381863,-0.027206784861813715,No,0.402838,0.3931088488645262,-0.00972915113547379,No,0.665575,0.5671604318353001,-0.09841456816469996,No,0.648673,0.6889493399928648,0.04027633999286473,Yes,0.645026,0.7152540534678162,0.07022805346781624,Yes,0.288003,0.3007989347536617,0.012795934753661697,Yes,0.666,0.5671604318353001,-0.09883956816469996,No,0.476786,0.15,-0.326786,No
Mass,0.869582,0.7861693143857883,-0.08341268561421167,No,0.308678,0.2683961087553005,-0.0402818912446995,No,0.757089,0.4761061946902655,-0.2809828053097345,No,0.821655,0.8692026400285409,0.04754764002854084,Yes,0.825244,0.890062928524467,0.06481892852446702,Yes,0.193864,0.1868704411253907,-0.0069935588746093125,No,0.758,0.4761061946902655,-0.2818938053097345,No,0.585565,0.1,-0.485565,No
Nodule,0.792307,0.7177756211481122,-0.07453137885188776,No,0.228502,0.2479595802565099,0.0194575802565099,Yes,0.703614,0.251577287066246,-0.45203671293375397,No,0.735723,0.9137085265786656,0.17798552657866562,Yes,0.737614,0.953393836263944,0.21577983626394404,Yes,0.136427,0.2444444444444444,0.10801744444444442,Yes,0.7,0.251577287066246,-0.44842271293375396,No,0.485297,0.2,-0.28529699999999997,No
Atelectasis,0.818337,0.77345433362566,-0.04488266637434002,No,0.345336,0.3351574851027605,-0.010178514897239477,No,0.799911,0.6129893238434164,-0.18692167615658362,No,0.694521,0.756198715661791,0.06167771566179092,Yes,0.682717,0.7721550356859636,0.08943803568596354,Yes,0.2282,0.2306276150627615,0.0024276150627615123,Yes,0.8,0.6129893238434164,-0.18701067615658362,No,0.458412,0.15,-0.308412,No
Pneumothorax,0.886252,0.8270763722976424,-0.059175627702357625,No,0.277599,0.2892107892107892,0.011611789210789203,Yes,0.830119,0.564327485380117,-0.26579151461988304,No,0.789749,0.8730824117017482,0.08333341170174813,Yes,0.787684,0.8878867183848957,0.1002027183848957,Yes,0.166667,0.1944257891202149,0.0277587891202149,Yes,0.831,0.564327485380117,-0.26667251461988295,No,0.465026,0.1,-0.36502599999999996,No
Pleural_Thickening,0.812256,0.7484538031004941,-0.06380219689950584,No,0.136327,0.1287639327898852,-0.007563067210114793,No,0.828691,0.5908396946564886,-0.2378513053435114,No,0.663107,0.7664555833036033,0.1033485833036033,Yes,0.657618,0.7717396297487252,0.1141216297487252,Yes,0.0742729,0.0722554144884242,-0.002017485511575809,No,0.83,0.5908396946564886,-0.2391603053435114,No,0.441709,0.1,-0.34170900000000004,No
Pneumonia,0.765119,0.7109331495707092,-0.054185850429290805,No,0.056197,0.0661608497723824,0.009963849772382405,Yes,0.726619,0.3550488599348534,-0.3715701400651466,No,0.6968,0.8627809489832322,0.16598094898323223,Yes,0.696425,0.8698286386037889,0.17340363860378893,Yes,0.0292288,0.036479250334672,0.007250450334672004,Yes,0.73,0.3550488599348534,-0.37495114006514657,No,0.51558,0.1,-0.41558000000000006,No
Fibrosis,0.826327,0.7521571319620824,-0.07416986803791759,No,0.0797738,0.1069958847736625,0.02722208477366249,Yes,0.795252,0.1234177215189873,-0.6718342784810126,No,0.723782,0.9709686050660008,0.24718660506600076,Yes,0.722608,0.9830830468608648,0.26047504686086476,Yes,0.0419931,0.0944309927360774,0.0524378927360774,Yes,0.798,0.1234177215189873,-0.6745822784810127,No,0.585557,0.15,-0.43555699999999997,No
Edema,0.908537,0.8785623618100948,-0.0299746381899052,No,0.132596,0.1918819188191882,0.05928591881918821,Yes,0.908511,0.5764966740576497,-0.33201432594235025,No,0.750156,0.902336782019265,0.152180782019265,Yes,0.746759,0.9090247121467256,0.1622657121467257,Yes,0.0714644,0.115095174856131,0.043630774856131,Yes,0.911,0.5764966740576497,-0.3345033259423503,No,0.413506,0.15,-0.263506,No
Consolidation,0.812462,0.7685804377737514,-0.043881562226248616,No,0.192298,0.1869753979739508,-0.0053226020260492,No,0.772632,0.3576965669988926,-0.4149354330011074,No,0.724462,0.8747324295397788,0.15027042953977876,Yes,0.722326,0.8964267459690535,0.17410074596905345,Yes,0.109814,0.1265673981191222,0.016753398119122215,Yes,0.774,0.3576965669988926,-0.41630343300110745,No,0.546624,0.9,0.353376,Yes
