Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8793715728416214,-0.03972942715837857,No,0.198765,0.0,-0.198765,No,0.863322,0.0,-0.863322,No
Emphysema,0.916227,0.806574864586954,-0.10965213541304597,No,0.184152,0.0,-0.184152,No,0.864245,0.0,-0.864245,No
Effusion,0.888239,0.8458769454607554,-0.042362054539244576,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.5608970063515518,-0.26112299364844815,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6824752309728908,-0.03339576902710928,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7823311814121889,-0.08725081858781103,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.6749491198923065,-0.11735788010769344,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.759545294116402,-0.058791705883597944,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8295968525232451,-0.05665514747675493,No,0.277599,0.0,-0.277599,No,0.830119,0.0,-0.830119,No
Pleural_Thickening,0.812256,0.7326233571866149,-0.07963264281338511,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.7008676392163147,-0.06425136078368532,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.741795168940506,-0.08453183105949402,No,0.0797738,0.0,-0.0797738,No,0.795252,0.0,-0.795252,No
Edema,0.908537,0.8793959286659307,-0.02914107133406929,No,0.132596,0.0,-0.132596,No,0.908511,0.0,-0.908511,No
Consolidation,0.812462,0.7704001340368415,-0.04206186596315853,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
