Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.9105933342306792,-0.008507665769320716,No,0.198765,0.209366391184573,0.010601391184573011,Yes,0.863322,0.1394495412844036,-0.7238724587155965,No,0.820225,0.9744024259721726,0.15417742597217265,Yes,0.819083,0.9952008775538188,0.1761178775538188,Yes,0.112312,0.4198895027624309,0.3075775027624309,Yes,0.865,0.1394495412844036,-0.7255504587155964,No,0.489469,0.5,0.010531000000000013,Yes
Emphysema,0.916227,0.9088217616730392,-0.007405238326960828,No,0.184152,0.3532536520584329,0.1691016520584329,Yes,0.864245,0.2638888888888889,-0.6003561111111111,No,0.82103,0.97828219764538,0.15725219764538,Yes,0.819995,0.9947080291970803,0.17471302919708032,Yes,0.103055,0.5341365461847389,0.43108154618473893,Yes,0.866,0.2638888888888889,-0.602111111111111,No,0.445399,0.5,0.05460100000000001,Yes
Effusion,0.888239,0.8748149255294577,-0.01342407447054228,No,0.497818,0.4232013940751805,-0.0746166059248195,No,0.838296,0.3229483282674772,-0.5153476717325228,No,0.799491,0.8966732072779166,0.0971822072779166,Yes,0.794271,0.972968876313662,0.17869787631366207,Yes,0.354027,0.6137184115523465,0.25969141155234654,Yes,0.839,0.3229483282674772,-0.5160516717325228,No,0.484694,0.5,0.015305999999999986,Yes
Hernia,0.82202,0.7350904623631896,-0.08692953763681033,No,0.0142476,0.0194174757281553,0.005169875728155301,Yes,0.695652,0.0769230769230769,-0.6187289230769232,No,0.802127,0.9864876917588298,0.18436069175882974,Yes,0.802346,0.9880723698905516,0.18572636989055158,Yes,0.00719748,0.0111111111111111,0.003913631111111099,Yes,0.717,0.0769230769230769,-0.6400769230769231,No,0.581222,0.1418367346938775,-0.43938526530612254,No
Infiltration,0.715871,0.7007806740275148,-0.015090325972485275,No,0.402838,0.0196463654223968,-0.3831916345776032,No,0.665575,0.0100426813959327,-0.6555323186040674,No,0.648673,0.8219764537995006,0.17330345379950052,Yes,0.645026,0.997342877284312,0.35231687728431205,Yes,0.288003,0.449438202247191,0.161435202247191,Yes,0.666,0.0100426813959327,-0.6559573186040674,No,0.476786,0.5,0.023214000000000012,Yes
Mass,0.869582,0.8602587998946066,-0.009323200105393337,No,0.308678,0.2862770847012475,-0.02240091529875249,No,0.757089,0.1929203539823009,-0.5641686460176991,No,0.821655,0.9515251516232608,0.12987015162326077,Yes,0.825244,0.9917817225509532,0.16653772255095323,Yes,0.193864,0.55470737913486,0.36084337913486,Yes,0.758,0.1929203539823009,-0.5650796460176991,No,0.585565,0.5,-0.085565,No
Nodule,0.792307,0.750956578828865,-0.041350421171134966,No,0.228502,0.1079187105816398,-0.1205832894183602,No,0.703614,0.0607255520504731,-0.6428884479495268,No,0.735723,0.9432304673564038,0.2075074673564038,Yes,0.737614,0.996124031007752,0.25851003100775205,Yes,0.136427,0.4842767295597484,0.34784972955974836,Yes,0.7,0.0607255520504731,-0.6392744479495268,No,0.485297,0.5,0.014703000000000022,Yes
Atelectasis,0.818337,0.8025926671800611,-0.015744332819938922,No,0.345336,0.0981996726677577,-0.24713632733224228,No,0.799911,0.0533807829181494,-0.7465302170818506,No,0.694521,0.9017124509454156,0.20719145094541558,Yes,0.682717,0.996233148295004,0.31351614829500396,Yes,0.2282,0.6122448979591837,0.38404489795918373,Yes,0.8,0.0533807829181494,-0.7466192170818506,No,0.458412,0.5,0.041588000000000014,Yes
Pneumothorax,0.886252,0.8839279353684291,-0.0023240646315709768,No,0.277599,0.2450229709035222,-0.03257602909647778,No,0.830119,0.1559454191033138,-0.6741735808966862,No,0.789749,0.9560292543703176,0.16628025437031757,Yes,0.787684,0.9943919992522664,0.20670799925226635,Yes,0.166667,0.5714285714285714,0.4047615714285714,Yes,0.831,0.1559454191033138,-0.6750545808966861,No,0.465026,0.5,0.034974000000000005,Yes
Pleural_Thickening,0.812256,0.7845789183371971,-0.027677081662802916,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No,0.663107,0.9706118444523724,0.30750484445237236,Yes,0.657618,0.9998162524691074,0.3421982524691074,Yes,0.0742729,0.0,-0.0742729,No,0.83,0.0,-0.83,No,0.441709,0.5,0.05829099999999998,Yes
Pneumonia,0.765119,0.7474959568737124,-0.017623043126287596,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No,0.6968,0.9863093114520156,0.28950931145201564,Yes,0.696425,1.0,0.30357500000000004,Yes,0.0292288,0.0,-0.0292288,No,0.73,0.0,-0.73,No,0.51558,0.5,-0.015580000000000038,No
Fibrosis,0.826327,0.7918244555496263,-0.03450254445037371,No,0.0797738,0.0583090379008746,-0.021464762099125408,No,0.795252,0.0316455696202531,-0.7636064303797468,No,0.723782,0.9855957902247592,0.26181379022475915,Yes,0.722608,0.9992310475845848,0.2766230475845848,Yes,0.0419931,0.3703703703703703,0.3283772703703703,Yes,0.798,0.0316455696202531,-0.7663544303797469,No,0.585557,0.5,-0.085557,No
Edema,0.908537,0.8861518010967503,-0.022385198903249748,No,0.132596,0.0613496932515337,-0.0712463067484663,No,0.908511,0.0332594235033259,-0.8752515764966741,No,0.750156,0.9795308597930787,0.2293748597930787,Yes,0.746759,0.9989532608200974,0.25219426082009744,Yes,0.0714644,0.3947368421052631,0.3232724421052631,Yes,0.911,0.0332594235033259,-0.8777405764966741,No,0.413506,0.5,0.08649400000000002,Yes
Consolidation,0.812462,0.8024540968328702,-0.01000790316712985,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No,0.724462,0.9597306457367106,0.23526864573671058,Yes,0.722326,1.0,0.277674,Yes,0.109814,0.0,-0.109814,No,0.774,0.0,-0.774,No,0.546624,0.5,-0.046624,No
