Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.8521904670852323,0.5,0.9753389225829469,0.998583116230175,0.04220183486238532,0.42592592592592593,0.04220183486238532,0.07679465776293823
Emphysema,0.8826238178513497,0.5,0.9778362468783446,0.9987226277372263,0.06944444444444445,0.5555555555555556,0.06944444444444445,0.12345679012345678
Effusion,0.8620007116565471,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.7472884200156928,0.5,0.001872993221548341,0.00013401831583649765,1.0,0.0017394407029124482,1.0,0.003472840605520926
Infiltration,0.685265327590745,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.800884581721886,0.5,0.949607563325009,1.0,0.0,0.0,0.0,0.0
Nodule,0.7094646506081009,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7786161824873498,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8680431092738442,0.5,0.9542454513021762,0.9998130666417422,0.003898635477582846,0.5,0.003898635477582846,0.007736943907156673
Pleural_Thickening,0.7683019378701907,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.6723377701560209,0.5,0.9861755262219051,0.9998643577338698,0.0,0.0,0.0,0.0
Fibrosis,0.7326018074675987,0.5,0.9857741705315733,0.9998190700199023,0.0031645569620253164,0.2,0.0031645569620253164,0.006230529595015576
Edema,0.8590450606433636,0.5,0.979709240099893,0.9994538752104856,0.017738359201773836,0.4,0.017738359201773836,0.03397027600849257
Consolidation,0.7631787499736923,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
