Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.8793715728416214,0.5,0.9756956831965751,1.0,0.0,0.0,0.0,0.0
Emphysema,0.806574864586954,0.5,0.9775240813414199,1.0,0.0,0.0,0.0,0.0
Effusion,0.8458769454607554,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.5608970063515518,0.5,0.0017392079914377453,0.0,1.0,0.0017392079914377453,1.0,0.003472376797400169
Infiltration,0.6824752309728908,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.7823311814121889,0.5,0.949607563325009,1.0,0.0,0.0,0.0,0.0
Nodule,0.6749491198923065,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.759545294116402,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8295968525232451,0.5,0.9542454513021762,1.0,0.0,0.0,0.0,0.0
Pleural_Thickening,0.7326233571866149,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.7008676392163147,0.5,0.9863093114520157,1.0,0.0,0.0,0.0,0.0
Fibrosis,0.741795168940506,0.5,0.9859079557616839,1.0,0.0,0.0,0.0,0.0
Edema,0.8793959286659307,0.5,0.9798876204067071,1.0,0.0,0.0,0.0,0.0
Consolidation,0.7704001340368415,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
