Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.5240715930947988,0.1,0.8905190866928291,0.9098679098679099,0.11376146788990826,0.03048180924287119,0.11376146788990826,0.04808065141527724,62,1972,19907,483
Emphysema,0.6647751383095818,0.1,0.5647966464502319,0.5624087591240876,0.6686507936507936,0.03394098096485044,0.6686507936507936,0.06460270296175596,337,9592,12328,167
Effusion,0.7479249237664414,0.1,0.502006778451659,0.4498787388843977,0.8939969604863222,0.1777056113586587,0.8939969604863222,0.2964782964782965,2353,10888,8904,279
Hernia,0.2891049981959073,0.5,0.9982607920085622,1.0,0.0,0.0,0.0,0.0,0,0,22385,39
Infiltration,0.6387468919035175,0.15,0.4810024973242954,0.42302478173634833,0.7494350991714788,0.21908256880733945,0.7494350991714788,0.33905043162199,2985,10640,7801,998
Mass,0.6536264941472566,0.1,0.569077773813771,0.5638207945900253,0.668141592920354,0.07517674001792293,0.668141592920354,0.13514722992929384,755,9288,12006,375
Nodule,0.6629887718573099,0.2,0.7909828754905458,0.815418793722821,0.3832807570977918,0.11068093828285129,0.3832807570977918,0.17176179537020675,486,3905,17251,782
Atelectasis,0.7006646008012056,0.15,0.6407420620763468,0.6373413957176843,0.6712633451957295,0.1709721278042148,0.6712633451957295,0.2725302510384685,1509,7317,12859,739
Pneumothorax,0.7458693375908954,0.15,0.8734391723153764,0.8980745864099449,0.35964912280701755,0.14470588235294118,0.35964912280701755,0.2063758389261745,369,2181,19217,657
Pleural_Thickening,0.6675388596221463,0.15,0.8613985016054228,0.8790941246726998,0.2732824427480916,0.06367840626111704,0.2732824427480916,0.10328909405654933,179,2632,19137,476
Pneumonia,0.6216945297874686,0.1,0.7523635390652872,0.7572455577157843,0.4006514657980456,0.02239621267297888,0.4006514657980456,0.04242110708742887,123,5369,16748,184
Fibrosis,0.661681621063914,0.15,0.9276667855868712,0.9384385742717568,0.17405063291139242,0.03884180790960452,0.17405063291139242,0.06351039260969978,55,1361,20747,261
Edema,0.7366600795998071,0.15,0.9453710310381734,0.9625449415191372,0.10864745011086474,0.05619266055045872,0.10864745011086474,0.07407407407407407,49,823,21150,402
Consolidation,0.5734489781877785,0.9,0.8665715305030325,0.8931741090098044,0.23255813953488372,0.08369868473495416,0.23255813953488372,0.123094958968347,210,2299,19222,693
