Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.9083937469258572,-0.010707253074142775,No,0.198765,0.3439306358381503,0.14516563583815031,Yes,0.863322,0.436697247706422,-0.42662475229357805,No,0.820225,0.959507670353193,0.13928267035319297,Yes,0.819083,0.9725307372366196,0.15344773723661964,Yes,0.112312,0.2836710369487485,0.17135903694874852,Yes,0.865,0.436697247706422,-0.428302752293578,No,0.489469,0.1,-0.38946899999999995,No
Emphysema,0.916227,0.9079854774939172,-0.008241522506082788,No,0.184152,0.430939226519337,0.24678722651933702,Yes,0.864245,0.4642857142857143,-0.39995928571428574,No,0.82103,0.9724402425972172,0.15141024259721714,Yes,0.819995,0.9841240875912408,0.16412908759124079,Yes,0.103055,0.4020618556701031,0.2990068556701031,Yes,0.866,0.4642857142857143,-0.4017142857142857,No,0.445399,0.2,-0.24539899999999998,No
Effusion,0.888239,0.8728045802485668,-0.015434419751433226,No,0.497818,0.5163947932114022,0.018576793211402265,Yes,0.838296,0.5953647416413373,-0.2429312583586627,No,0.799491,0.8691134498751338,0.06962244987513388,Yes,0.794271,0.905517380759903,0.11124638075990301,Yes,0.354027,0.4559208612161769,0.10189386121617694,Yes,0.839,0.5953647416413373,-0.24363525835866262,No,0.484694,0.15,-0.33469400000000005,No
Hernia,0.82202,0.7485953849590214,-0.07342461504097852,No,0.0142476,0.0,-0.0142476,No,0.695652,0.0,-0.695652,No,0.802127,0.9982607920085622,0.19613379200856218,Yes,0.802346,1.0,0.197654,Yes,0.00719748,0.0,-0.00719748,No,0.717,0.0,-0.717,No,0.581222,0.5,-0.08122200000000002,No
Infiltration,0.715871,0.6925146993207112,-0.023356300679288844,No,0.402838,0.3829048703763966,-0.019933129623603385,No,0.665575,0.443133316595531,-0.22244168340446901,No,0.648673,0.7462986086336069,0.09762560863360681,Yes,0.645026,0.811778103139743,0.16675210313974298,Yes,0.288003,0.3370893812070282,0.049086381207028185,Yes,0.666,0.443133316595531,-0.22286668340446902,No,0.476786,0.15,-0.326786,No
Mass,0.869582,0.8597901398956539,-0.009791860104346073,No,0.308678,0.4102184376156979,0.10154043761569786,Yes,0.757089,0.4902654867256637,-0.2668235132743363,No,0.821655,0.9289600428112736,0.10730504281127362,Yes,0.825244,0.952240067624683,0.12699606762468307,Yes,0.193864,0.3526416295353278,0.15877762953532779,Yes,0.758,0.4902654867256637,-0.2677345132743363,No,0.585565,0.1,-0.485565,No
Nodule,0.792307,0.7487623485562858,-0.04354465144371422,No,0.228502,0.277956204379562,0.04945420437956197,Yes,0.703614,0.3753943217665615,-0.32821967823343845,No,0.735723,0.8897163753121655,0.1539933753121655,Yes,0.737614,0.9205426356589148,0.18292863565891482,Yes,0.136427,0.220676866017617,0.084249866017617,Yes,0.7,0.3753943217665615,-0.32460567823343844,No,0.485297,0.1,-0.385297,No
Atelectasis,0.818337,0.8022057693895145,-0.016131230610485492,No,0.345336,0.3734414901607331,0.028105490160733104,Yes,0.799911,0.5529359430604982,-0.24697505693950184,No,0.694521,0.8139939350695683,0.11947293506956824,Yes,0.682717,0.843080888183981,0.16036388818398095,Yes,0.2282,0.2819233386255386,0.0537233386255386,Yes,0.8,0.5529359430604982,-0.24706405693950184,No,0.458412,0.1,-0.35841199999999995,No
Pneumothorax,0.886252,0.8803188552900774,-0.0059331447099226775,No,0.277599,0.41260084517864,0.13500184517864,Yes,0.830119,0.5233918128654971,-0.306727187134503,No,0.789749,0.9318141277202996,0.14206512772029956,Yes,0.787684,0.951397326852977,0.1637133268529769,Yes,0.166667,0.3405199746353836,0.17385297463538357,Yes,0.831,0.5233918128654971,-0.3076081871345029,No,0.465026,0.15,-0.31502600000000003,No
Pleural_Thickening,0.812256,0.7827481757622278,-0.029507824237772207,No,0.136327,0.2146017699115044,0.0782747699115044,Yes,0.828691,0.2961832061068702,-0.5325077938931297,No,0.663107,0.9366749910809846,0.2735679910809846,Yes,0.657618,0.9559465294685102,0.2983285294685102,Yes,0.0742729,0.1682567215958369,0.0939838215958369,Yes,0.83,0.2961832061068702,-0.5338167938931297,No,0.441709,0.1,-0.34170900000000004,No
Pneumonia,0.765119,0.7428453859317026,-0.02227361406829742,No,0.056197,0.0481927710843373,-0.008004228915662694,No,0.726619,0.0390879478827361,-0.687531052117264,No,0.6968,0.9788619336425258,0.28206193364252585,Yes,0.696425,0.9919066781209024,0.2954816781209024,Yes,0.0292288,0.06282722513089,0.033598425130889994,Yes,0.73,0.0390879478827361,-0.6909120521172639,No,0.51558,0.1,-0.41558000000000006,No
Fibrosis,0.826327,0.7963004685857458,-0.030026531414254265,No,0.0797738,0.1286764705882352,0.04890267058823519,Yes,0.795252,0.3322784810126582,-0.46297351898734174,No,0.723782,0.9365858009275776,0.21280380092757756,Yes,0.722608,0.9452234485254206,0.2226154485254206,Yes,0.0419931,0.0797872340425532,0.0377941340425532,Yes,0.798,0.3322784810126582,-0.4657215189873418,No,0.585557,0.05,-0.535557,No
Edema,0.908537,0.8885142549972892,-0.02002274500271084,No,0.132596,0.258783204798629,0.126187204798629,Yes,0.908511,0.3348115299334812,-0.5736994700665188,No,0.750156,0.9614252586514448,0.21126925865144475,Yes,0.746759,0.9742866244936969,0.2275276244936969,Yes,0.0714644,0.2108938547486033,0.1394294547486033,Yes,0.911,0.3348115299334812,-0.5761884700665189,No,0.413506,0.1,-0.31350599999999995,No
Consolidation,0.812462,0.8042411689568658,-0.008220831043134202,No,0.192298,0.2331635540464063,0.040865554046406294,Yes,0.772632,0.4562569213732004,-0.3163750786267996,No,0.724462,0.8791473421334285,0.15468534213342844,Yes,0.722326,0.8968914083918034,0.17456540839180335,Yes,0.109814,0.1565944507791714,0.046780450779171395,Yes,0.774,0.4562569213732004,-0.3177430786267996,No,0.546624,0.35,-0.19662400000000002,No
